subj_id,F q1,R q2,F q3,R q4,F q5,R q6,F q7
s010,4,4,4,4,5,3,6
s148,4,2,5,3,4,3,7
s067,5,6,4,4,2,4,5
s136,7,2,7,3,NA,2,6
s280,5,2,2,5,2,4,2
s285,4,4,5,2,2,5,6
s145,4,5,3,4,3,5,3
s289,4,4,4,4,4,5,5
s273,5,5,4,5,4,4,6
s156,4,6,4,6,3,5,4
s036,5,3,6,5,6,4,4
s152,3,2,5,3,5,5,3
s003,4,NA,4,4,3,4,4
s193,3,5,2,6,3,4,4
s112,4,2,5,4,4,3,2
s132,6,4,3,3,6,4,2
s043,3,3,4,5,6,3,7
s121,6,3,3,4,4,3,5
s233,3,5,5,4,3,3,3
s279,6,3,5,4,3,4,4
s284,2,4,6,4,5,4,6
s256,6,4,4,4,4,3,7
s229,3,4,3,4,4,3,5
s196,4,4,4,6,4,6,3
s084,4,2,4,2,3,3,5
s090,6,4,4,3,3,5,2
s158,4,4,7,3,4,4,6
s022,2,3,3,6,3,4,3
s204,2,7,3,6,3,5,1
s205,4,5,3,4,4,3,4
s076,NA,4,5,4,3,4,4
s231,NA,2,2,2,5,4,5
s048,3,5,4,5,3,6,3
s079,5,3,5,2,6,4,6
s153,5,2,3,6,4,5,4
s311,4,4,4,4,4,3,4
s268,4,4,4,4,5,NA,3
s028,5,2,4,3,5,2,4
s068,4,6,4,3,7,3,4
s135,5,4,6,5,5,3,3
s054,3,2,4,2,4,7,5
s170,1,5,1,7,1,7,1
s189,6,3,5,2,6,3,3
s232,2,3,2,4,6,3,5
s247,5,5,5,4,5,3,7
s177,4,6,4,2,1,4,5
s033,3,4,4,4,5,3,3
s216,1,3,4,4,3,4,3
s290,3,6,6,4,1,5,2
s071,5,6,3,3,5,3,6
s002,4,4,3,3,4,5,2
s258,1,6,2,4,5,4,3
s206,2,5,3,7,1,5,1
s078,2,7,2,7,1,4,3
s021,5,5,4,4,4,3,4
s240,5,4,4,4,5,2,4
s208,5,3,7,2,5,4,6
s301,4,1,6,4,5,4,4
s160,2,4,5,4,4,4,6
s295,3,2,3,7,4,4,5
s119,7,4,4,4,5,2,5
s172,1,5,4,6,1,7,2
s105,4,6,2,4,4,3,4
s118,2,4,3,5,2,4,6
s098,3,5,2,4,3,5,4
s122,3,4,5,4,5,3,5
s127,3,5,4,3,3,6,4
s286,4,7,2,5,2,5,4
