subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R,q7_F
s027,6,4,5,4,5,6,4
s234,5,3,6,5,2,5,2
s345,4,4,7,1,2,4,4
s050,5,4,2,4,4,4,3
s007,5,2,4,4,2,4,2
s344,4,7,4,2,6,3,NA
s066,7,2,6,2,7,4,5
s317,6,4,4,2,6,3,5
s167,5,5,3,6,4,5,2
s107,7,3,6,3,7,2,5
s200,4,6,2,5,4,6,4
s180,3,5,5,5,3,2,4
s140,3,5,4,3,4,5,3
s191,7,1,7,1,7,4,6
s243,2,7,3,NA,5,4,4
s326,5,5,4,4,7,3,4
s127,5,3,5,3,4,5,5
s240,5,4,5,5,5,5,6
s342,1,7,4,6,3,5,3
s100,6,1,4,1,4,2,4
s184,5,4,4,6,4,4,7
s246,2,5,5,4,4,4,4
s209,5,4,3,5,5,7,5
s023,4,4,5,4,5,4,6
s031,7,2,7,4,7,5,5
s222,4,2,4,4,4,6,5
s157,3,5,5,3,4,4,6
s022,4,6,2,5,4,6,3
s269,5,3,6,3,5,4,6
s045,1,5,4,4,5,5,5
s290,4,5,3,3,3,6,5
s235,6,5,5,5,3,6,5
s043,5,NA,6,4,6,5,5
s053,4,5,4,5,3,3,5
s143,5,5,6,6,4,5,6
s350,3,4,4,4,4,4,4
s183,2,6,3,3,5,7,4
s347,6,5,4,4,2,4,4
s207,7,4,6,1,5,5,4
s237,2,6,1,3,1,4,3
s289,2,3,4,3,5,5,5
s019,3,4,5,5,2,4,3
s142,5,5,5,5,3,4,3
s284,4,3,6,4,3,2,5
s162,4,6,4,4,5,4,4
s129,3,5,2,6,2,5,1
s051,5,3,6,4,6,4,6
s103,7,2,5,5,5,5,3
s025,5,6,5,2,3,4,7
s203,2,6,4,5,3,4,2
s221,4,4,3,3,4,4,4
s095,6,1,3,4,4,4,3
s258,3,5,3,4,4,4,4
s265,6,5,5,6,5,5,5
s250,5,5,4,5,6,3,4
s175,4,4,1,3,5,4,3
s315,6,6,2,3,4,3,4
s032,4,5,4,5,3,7,3
s256,4,5,1,4,3,5,3
s301,4,6,4,5,4,3,2
s161,6,4,3,5,4,4,5
