subj_id,gender,age,language
s002,male,19,bilingual
s006,male,21,bilingual
s010,female,21,monolingual
s014,male,21,monolingual
s018,male,25,bilingual
s022,female,20,bilingual
s026,male,22,monolingual
s030,male,22,monolingual
s034,male,20,monolingual
s038,female,26,monolingual
s042,male,20,monolingual
s046,male,20,bilingual
s050,nonbinary,22,monolingual
s054,female,18,monolingual
s058,male,19,monolingual
s062,male,21,monolingual
s066,NA,21,monolingual
s070,female,20,monolingual
s074,female,21,bilingual
s078,male,18,bilingual
s082,female,24,monolingual
s086,NA,24,monolingual
s090,male,19,monolingual
s094,male,21,monolingual
s098,female,21,monolingual
s102,female,19,bilingual
s106,female,20,monolingual
s110,male,missing,bilingual
s114,female,19,monolingual
s118,male,21,monolingual
s122,nonbinary,21,bilingual
s126,NA,18,monolingual
s130,NA,22,monolingual
s134,male,23,monolingual
s138,female,18,monolingual
s142,female,22,bilingual
s146,male,19,monolingual
s150,female,21,monolingual
s154,female,missing,monolingual
s158,male,22,monolingual
s162,female,20,monolingual
s166,male,22,monolingual
s170,male,19,monolingual
s174,male,20,monolingual
s178,male,21,monolingual
s182,male,21,monolingual
s186,female,20,monolingual
s190,male,22,monolingual
s194,nonbinary,24,bilingual
s198,NA,20,bilingual
s202,male,22,monolingual
s206,female,19,monolingual
s210,female,21,monolingual
s214,male,20,monolingual
s218,nonbinary,20,monolingual
s222,male,22,bilingual
s226,male,19,bilingual
s230,female,21,monolingual
s234,female,21,monolingual
s238,male,18,monolingual
s242,male,21,monolingual
s246,female,22,monolingual
s250,female,21,monolingual
s254,NA,19,monolingual
s258,male,20,monolingual
s262,male,19,monolingual
s266,male,26,monolingual
s270,nonbinary,20,monolingual
s274,male,20,bilingual
s278,female,19,monolingual
s282,female,19,monolingual
s286,female,22,monolingual
s290,male,24,monolingual
s294,female,23,monolingual
s298,male,21,monolingual
s302,male,21,monolingual
s306,male,18,monolingual
s310,male,22,monolingual
s314,nonbinary,24,monolingual
s318,male,23,monolingual
s322,female,19,monolingual
s326,male,21,bilingual
s330,nonbinary,19,monolingual
s334,male,20,monolingual
s338,female,21,bilingual
s342,male,22,monolingual
s346,nonbinary,20,monolingual
s350,male,20,monolingual
