subj_id,q1_F,q2_R,q3_F,q4_R,q5_F
s339,3,2,4,4,4
s264,4,4,4,4,3
s215,4,4,3,4,2
s068,4,4,5,5,1
s092,4,5,5,4,4
s084,4,6,4,5,4
s326,3,5,4,4,4
s044,5,3,5,4,5
s013,4,5,5,4,4
s066,6,5,4,4,5
s028,4,7,5,5,2
s250,4,4,7,4,4
s139,4,4,3,4,3
s299,7,4,4,6,4
s031,2,6,3,5,4
s285,5,7,5,4,4
s086,5,4,4,5,6
s222,1,5,4,4,2
s288,4,5,2,6,1
s216,6,5,7,4,6
s340,7,4,6,4,3
s255,6,4,6,3,2
s309,4,5,4,4,6
s130,4,5,4,7,4
s232,3,5,3,5,2
s248,4,2,3,6,4
s171,4,1,4,5,5
s270,1,4,1,7,3
s015,3,5,3,5,5
s056,5,4,5,4,3
s334,6,2,4,2,7
s184,4,5,5,5,3
s051,5,3,4,3,2
s012,4,3,2,4,3
s158,5,5,6,3,4
s283,5,4,4,4,1
s280,6,5,4,4,4
s293,4,4,5,5,6
s256,4,5,4,6,4
s077,5,4,4,2,7
s003,3,7,3,5,5
s304,5,5,6,5,4
s004,3,4,4,7,3
s005,2,7,3,5,3
s206,4,4,5,4,3
s127,5,3,7,6,4
s295,5,4,6,6,5
s017,4,4,5,5,4
s233,4,4,4,7,5
s042,4,4,5,3,4
s282,5,1,5,2,4
s319,3,3,5,7,3
s030,4,4,1,4,4
s195,7,2,6,3,6
s211,3,6,1,7,1
s014,3,3,4,4,4
s217,5,1,7,2,6
s161,2,3,2,4,3
s183,4,5,2,4,2
s079,4,1,6,4,6
s008,4,5,7,3,2
s155,5,2,5,2,5
s072,5,3,6,6,6
s096,4,5,3,7,3
s227,4,4,6,2,3
s047,4,4,4,4,4
s025,3,4,3,7,4
s010,6,3,3,3,3
s323,2,6,5,5,3
s219,3,4,2,6,3
s307,1,2,3,4,2
s200,5,4,6,3,4
s278,2,3,4,4,3
s185,5,4,7,3,5
s235,6,2,7,5,6
