subj_id,Fq01,Rq02,Fq03,Rq04,Fq05,Rq06,Fq07,Rq08,Fq09,Rq10,Fq11,Rq12
s003,7,1,7,2,5,5,5,3,6,2,7,2
s109,5,6,NA,4,3,4,3,4,4,7,4,7
s117,5,7,3,4,5,4,4,4,6,3,6,2
s200,4,5,6,3,3,4,7,4,3,6,7,2
s042,1,7,2,5,1,6,3,3,3,6,5,6
s276,5,7,3,7,1,5,2,5,3,6,4,5
s159,2,7,3,5,1,7,4,4,4,7,2,7
s317,4,3,4,2,5,1,4,4,5,1,5,4
s232,3,5,4,6,3,5,4,4,4,7,2,6
s082,3,4,6,5,3,5,3,5,4,6,3,5
s350,5,2,3,6,5,7,3,4,3,7,5,5
s173,4,6,7,4,3,2,4,6,2,5,4,5
s369,1,5,4,1,3,4,4,4,3,3,5,3
s289,7,3,3,3,5,4,5,4,6,1,6,3
s205,3,5,6,4,5,5,4,2,3,5,5,5
s033,2,4,3,1,4,5,4,4,3,4,5,4
s100,3,6,4,5,3,6,1,3,2,5,4,6
s237,5,3,6,1,4,4,5,3,5,3,6,6
s296,4,7,4,3,4,7,3,5,4,4,2,5
s105,4,7,4,5,4,6,2,3,2,5,3,4
s072,4,4,5,4,5,6,2,4,4,5,5,4
s339,3,4,4,5,2,6,4,5,4,4,4,5
s308,3,6,4,6,3,5,2,5,2,6,4,4
s121,2,6,5,5,1,6,5,4,3,4,5,4
s352,4,5,3,6,2,2,5,4,2,4,5,4
s306,4,5,5,4,4,6,6,7,3,5,5,NA
s101,4,4,4,3,5,NA,3,2,5,5,6,4
s128,3,4,3,3,4,6,2,7,3,7,5,5
s287,5,4,5,5,4,4,5,6,3,2,6,5
s250,3,5,5,4,6,5,1,7,1,5,6,3
s150,5,4,7,5,3,5,4,4,3,4,5,4
s047,5,3,5,7,2,3,1,6,2,6,4,6
s126,5,3,6,2,5,2,5,3,4,5,7,5
s297,5,5,4,5,3,3,3,4,4,4,3,5
s067,3,5,5,6,4,5,3,4,4,5,3,5
s368,3,5,5,7,2,5,4,7,6,6,5,4
s228,3,3,6,4,6,5,6,4,6,4,6,3
s172,2,3,6,5,1,5,5,4,4,5,3,5
s346,2,5,4,4,3,4,4,4,3,3,3,4
s377,4,5,4,4,4,3,5,3,4,3,6,5
s169,4,3,4,4,3,4,4,5,4,7,3,5
s373,7,3,4,7,2,7,3,6,2,6,5,4
s106,6,5,5,5,1,5,3,4,2,5,3,4
s023,5,2,7,3,4,3,4,3,6,3,6,3
s088,4,5,4,6,5,4,5,3,4,3,7,5
s257,5,2,5,5,2,4,5,5,4,5,6,4
s046,1,4,7,4,2,4,5,4,2,4,4,4
s043,5,3,4,4,5,2,4,4,5,5,5,3
s294,3,7,3,6,2,4,3,5,2,6,3,4
s329,4,6,4,5,4,5,2,4,4,4,4,4
s370,5,6,3,6,3,3,2,5,5,6,3,7
s247,6,4,6,3,5,1,6,4,5,3,7,1
s246,4,6,5,6,3,6,3,3,4,6,3,5
s238,4,4,4,3,7,4,4,4,5,3,7,4
s191,4,4,4,4,7,2,5,2,5,2,5,5
s002,4,4,4,6,3,7,3,6,4,6,4,5
s320,6,4,6,3,4,2,4,4,3,3,6,1
s086,1,6,6,7,1,6,4,5,5,6,3,5
s139,4,4,4,4,3,2,3,7,3,5,2,4
s058,7,5,3,5,4,5,1,6,2,5,6,5
s119,5,2,7,4,6,1,6,1,6,2,7,3
s209,4,5,4,4,5,5,4,4,3,2,4,4
s062,7,4,5,4,4,5,2,2,4,6,4,5
s288,5,3,5,4,4,4,5,1,7,5,5,3
s012,3,4,5,3,4,7,7,3,5,5,4,2
s220,3,7,4,7,4,4,3,5,1,5,5,7
s001,7,2,5,2,7,5,4,1,3,2,5,2
