subj_id,gender,age,language
s002,male,19,bilingual
s006,female,21,monolingual
s010,male,22,monolingual
s014,female,18,bilingual
s018,male,21,monolingual
s022,male,21,bilingual
s026,male,21,monolingual
s030,male,18,monolingual
s034,male,23,monolingual
s038,male,22,monolingual
s042,female,21,monolingual
s046,male,21,bilingual
s050,male,24,monolingual
s054,female,23,bilingual
s058,male,22,monolingual
s062,male,19,monolingual
s066,NA,22,monolingual
s070,male,22,monolingual
s074,male,22,monolingual
s078,male,21,monolingual
s082,male,18,bilingual
s086,female,20,monolingual
s090,male,21,bilingual
s094,male,22,monolingual
s098,male,missing,monolingual
s102,female,21,monolingual
s106,male,21,bilingual
s110,male,23,monolingual
s114,male,23,bilingual
s118,male,20,monolingual
s122,male,20,monolingual
s126,male,21,bilingual
s130,male,21,bilingual
s134,female,20,bilingual
s138,male,20,bilingual
s142,male,22,bilingual
s146,male,20,monolingual
s150,nonbinary,22,monolingual
s154,female,21,monolingual
s158,male,19,monolingual
s162,male,21,bilingual
s166,male,missing,monolingual
s170,male,21,monolingual
s174,male,18,monolingual
s178,male,21,monolingual
s182,male,21,monolingual
s186,female,21,monolingual
s190,male,22,monolingual
s194,female,missing,bilingual
s198,male,22,monolingual
s202,male,21,monolingual
s206,male,21,monolingual
s210,male,22,monolingual
s214,female,20,monolingual
s218,nonbinary,23,bilingual
s222,nonbinary,22,monolingual
s226,nonbinary,21,monolingual
s230,female,22,monolingual
s234,female,20,monolingual
s238,female,20,monolingual
s242,nonbinary,21,monolingual
s246,male,21,monolingual
s250,female,22,monolingual
s254,female,22,bilingual
s258,male,24,monolingual
s262,male,29,monolingual
s266,male,19,monolingual
s270,NA,20,monolingual
s274,female,23,bilingual
s278,female,21,bilingual
s282,male,22,monolingual
s286,NA,20,bilingual
s290,nonbinary,19,bilingual
s294,nonbinary,19,monolingual
s298,female,20,bilingual
s302,male,24,monolingual
s306,male,19,bilingual
s310,female,23,monolingual
s314,male,missing,bilingual
s318,male,21,monolingual
s322,male,19,monolingual
s326,male,missing,bilingual
s330,female,20,monolingual
s334,male,19,monolingual
s338,female,20,monolingual
s342,male,20,bilingual
s346,nonbinary,19,bilingual
s350,male,22,monolingual
s354,male,19,monolingual
s358,male,21,monolingual
s362,male,24,monolingual
s366,female,19,bilingual
s370,NA,21,monolingual
s374,female,22,bilingual
