subj_id,q01F,q02R,q03F,q04R,q05F,q06R,q07F,q08R,q09F,q10R
s207,5,4,5,1,7,1,5,1,5,3
s168,4,3,3,4,6,4,5,3,4,5
s087,7,1,6,1,7,1,7,2,5,2
s072,4,4,4,3,3,5,3,4,3,4
s361,5,4,4,2,6,5,4,4,5,2
s338,6,5,5,4,5,2,4,2,5,4
s214,6,5,4,4,6,2,4,2,4,5
s153,4,4,4,7,5,4,4,4,2,5
s237,4,2,4,5,5,3,4,4,4,3
s364,5,3,5,2,5,1,4,3,5,3
s105,3,4,4,2,4,4,4,4,3,6
s071,4,3,4,4,6,3,4,5,2,4
s372,3,4,5,4,1,4,3,3,3,5
s111,3,2,4,3,6,4,5,6,4,3
s203,4,4,3,5,3,4,6,3,3,5
s116,3,4,5,6,6,3,3,4,1,3
s184,5,5,4,4,5,3,3,3,3,4
s348,2,5,1,5,4,6,2,6,1,5
s083,2,6,4,4,6,1,7,3,6,4
s256,4,3,4,3,4,3,5,1,4,2
s254,2,4,3,4,5,5,5,3,2,4
s296,3,5,5,5,5,3,1,5,4,5
s155,7,5,4,3,7,3,5,3,2,5
s102,3,3,6,2,3,2,4,4,4,7
s079,4,6,4,5,3,5,1,3,3,5
s288,1,3,1,4,3,5,4,4,2,6
s035,2,4,3,4,5,6,3,4,3,5
s008,3,5,4,4,6,3,3,4,3,3
s100,4,2,5,5,5,1,6,2,4,3
s133,4,3,1,6,4,4,4,6,4,5
s209,4,3,7,3,2,2,4,3,4,3
s048,5,4,2,5,6,5,3,3,4,5
s017,3,4,3,5,6,4,5,4,4,6
s024,4,4,2,4,3,4,3,4,2,5
s343,2,5,3,4,3,4,4,4,1,3
s045,2,4,3,5,3,3,6,4,2,5
s216,5,3,6,5,3,3,4,1,6,3
s201,2,4,3,5,4,3,4,3,5,6
s274,3,5,3,7,5,5,4,3,2,5
s118,5,4,3,5,4,3,3,2,5,5
s335,3,4,4,6,7,1,7,4,7,3
s322,2,3,3,6,6,5,4,5,2,4
s356,4,2,4,6,5,4,4,3,4,4
s189,2,2,4,3,3,2,4,4,4,4
s270,6,1,7,1,5,2,4,3,5,1
s173,5,3,5,3,3,6,2,2,4,3
s097,4,5,4,5,3,5,4,3,4,5
s362,2,4,NA,4,3,4,4,3,1,4
s061,1,5,4,4,3,2,4,2,1,5
s331,3,6,2,5,2,5,2,3,4,6
s291,3,4,4,4,4,3,3,5,3,6
s304,7,3,1,3,6,3,5,4,3,4
s135,5,3,4,4,4,2,3,3,4,4
s016,4,4,2,6,3,2,4,7,3,7
s313,2,4,2,5,4,6,5,5,1,7
s124,4,4,3,4,4,5,3,5,3,5
s337,2,4,2,6,NA,4,1,4,3,4
s228,4,3,4,5,5,4,6,6,5,4
s113,4,2,4,4,6,2,7,3,5,2
s060,4,3,6,3,5,1,6,2,4,5
s028,2,4,5,5,4,1,5,4,3,4
s021,5,3,3,4,7,2,2,4,4,4
s067,2,5,5,6,4,4,3,4,2,4
s360,6,4,3,2,6,3,5,5,4,2
s297,3,3,1,4,6,3,5,5,4,4
s006,2,5,3,6,4,4,1,3,3,6
s090,4,3,2,3,7,4,4,5,4,4
s352,4,2,3,2,3,3,3,4,4,5
s179,3,3,3,6,4,4,3,3,5,4
s226,5,5,4,3,4,1,5,2,6,4
s156,5,5,4,6,4,4,4,2,4,5
s148,4,5,5,6,4,5,5,6,2,4
s258,5,1,7,3,7,1,7,2,6,4
s044,4,3,4,5,6,3,3,2,3,5
s279,3,5,4,6,4,2,4,5,2,3
s142,4,5,3,6,2,3,1,7,1,6
s273,2,NA,1,4,5,6,1,4,2,4
s363,1,5,1,6,3,6,3,7,1,4
s175,4,5,5,4,6,1,6,4,3,5
s367,3,5,5,5,5,5,4,NA,4,4
s218,4,4,3,6,4,6,3,3,4,5
s238,4,4,4,4,4,4,3,4,4,5
s284,7,4,4,3,4,2,3,3,3,5
s106,4,2,3,4,7,3,5,3,3,6
s261,6,NA,6,4,6,1,7,4,7,3
s003,4,5,2,6,3,4,2,5,2,7
s248,5,3,5,5,6,4,6,5,4,2
s076,4,6,3,5,4,4,4,7,1,3
s004,3,2,3,6,2,1,3,5,4,2
s255,3,4,6,3,6,4,4,4,3,3
s171,6,4,6,5,4,3,6,2,4,3
s215,2,4,4,4,4,3,4,5,4,6
s233,3,5,5,4,3,NA,5,3,4,NA
s013,4,4,4,4,5,3,4,5,5,3
s149,5,4,3,4,3,4,4,5,3,1
s292,2,6,1,4,3,2,4,4,5,5
s150,4,3,5,6,6,3,2,3,5,2
s174,4,5,5,4,5,3,2,4,4,5
s332,1,5,3,5,2,4,4,7,3,6
s231,4,2,4,5,5,4,2,6,4,6
s252,4,1,5,1,4,3,5,2,5,4
s301,5,4,3,5,7,4,4,4,3,4
s049,1,5,2,6,2,4,1,5,2,5
s185,NA,3,4,4,3,3,4,1,3,4
s110,3,5,1,4,2,5,4,5,4,5
s242,2,4,3,5,6,5,3,4,2,4
s166,6,4,5,4,5,4,4,3,5,4
s212,6,2,4,3,7,1,4,1,4,2
s324,3,7,4,7,5,4,1,5,3,6
s325,5,3,7,3,5,4,7,4,4,4
s349,1,5,2,6,5,5,1,5,2,5
s058,6,3,5,2,5,4,4,5,5,3
s107,3,5,3,5,3,2,5,7,4,7
s130,5,4,5,4,4,4,5,4,5,3
s309,4,2,4,4,4,3,5,3,5,3
s303,3,5,3,5,4,6,1,6,3,5
s054,7,2,4,5,4,2,4,2,3,3
s271,5,6,1,6,1,4,2,5,2,5
s015,7,2,5,3,4,4,2,2,4,2
s164,2,4,3,7,5,6,4,4,4,7
s353,7,3,4,5,5,2,4,3,6,4
s160,5,2,4,4,5,5,4,2,3,5
s234,4,4,2,4,4,3,5,3,4,3
s112,6,1,4,2,7,1,7,1,4,4
s147,4,4,4,2,5,3,6,3,5,4
s198,3,2,7,3,5,2,3,5,5,3
s224,4,5,5,4,2,4,5,5,2,5
s020,4,2,5,3,5,3,3,3,4,4
