subj_id,gender,age,language
s002,nonbinary,22,monolingual
s006,female,missing,bilingual
s010,male,21,bilingual
s014,male,19,monolingual
s018,male,20,monolingual
s022,female,23,monolingual
s026,male,21,bilingual
s030,NA,21,monolingual
s034,female,22,monolingual
s038,female,21,monolingual
s042,NA,24,monolingual
s046,male,20,monolingual
s050,female,20,bilingual
s054,male,22,monolingual
s058,female,20,bilingual
s062,male,20,monolingual
s066,male,21,monolingual
s070,nonbinary,20,monolingual
s074,nonbinary,21,monolingual
s078,male,21,bilingual
s082,female,22,bilingual
s086,female,23,bilingual
s090,NA,20,bilingual
s094,female,20,monolingual
s098,female,21,monolingual
s102,nonbinary,23,monolingual
s106,male,23,monolingual
s110,male,21,monolingual
s114,male,21,bilingual
s118,male,22,monolingual
s122,female,21,bilingual
s126,male,24,monolingual
s130,female,21,monolingual
s134,male,21,monolingual
s138,male,missing,bilingual
s142,female,21,monolingual
s146,male,21,monolingual
s150,male,20,bilingual
s154,nonbinary,20,bilingual
s158,male,18,monolingual
s162,NA,20,monolingual
s166,male,21,monolingual
s170,female,23,monolingual
s174,male,20,bilingual
s178,male,22,monolingual
s182,female,23,bilingual
s186,male,missing,monolingual
s190,male,20,monolingual
s194,male,20,monolingual
s198,male,20,monolingual
s202,nonbinary,21,monolingual
s206,nonbinary,21,bilingual
s210,nonbinary,18,bilingual
s214,male,18,monolingual
s218,female,missing,bilingual
s222,male,20,bilingual
s226,male,22,monolingual
s230,female,22,monolingual
s234,female,18,monolingual
s238,male,22,bilingual
s242,male,missing,monolingual
s246,female,22,monolingual
s250,nonbinary,23,monolingual
s254,male,25,monolingual
s258,male,22,monolingual
s262,female,20,monolingual
s266,nonbinary,23,bilingual
s270,male,20,monolingual
s274,male,20,bilingual
s278,female,24,monolingual
s282,male,18,monolingual
s286,male,23,bilingual
s290,NA,22,monolingual
s294,nonbinary,20,monolingual
s298,female,missing,monolingual
s302,male,23,monolingual
s306,nonbinary,23,monolingual
s310,male,19,bilingual
s314,male,21,bilingual
s318,female,19,monolingual
s322,male,21,monolingual
s326,female,22,monolingual
s330,male,19,bilingual
s334,NA,missing,bilingual
s338,female,21,bilingual
s342,NA,20,monolingual
s346,male,20,monolingual
s350,male,24,monolingual
s354,male,18,monolingual
s358,male,20,monolingual
s362,male,22,monolingual
s366,male,19,bilingual
s370,male,20,bilingual
s374,male,21,monolingual
