subj_id,F q01,R q02,F q03,R q04,F q05,R q06,F q07,R q08,F q09,R q10,F q11,R q12
s032,2,7,2,5,1,6,NA,7,2,6,4,4
s198,4,5,4,4,5,3,4,1,5,4,3,3
s186,5,4,5,1,3,5,6,3,4,1,6,2
s290,7,4,6,3,7,3,4,3,5,NA,7,1
s304,4,6,3,1,4,4,4,6,3,2,3,4
s236,4,6,4,3,4,4,3,3,2,5,2,4
s159,4,4,4,4,4,4,NA,4,NA,5,3,4
s120,4,6,3,4,3,4,2,5,2,5,3,7
s129,5,7,3,4,NA,2,1,4,3,2,3,4
s096,2,6,4,2,5,6,NA,4,3,1,5,2
s206,3,4,4,5,4,1,1,4,1,6,5,3
s297,4,4,3,4,6,1,3,3,5,2,4,2
s225,3,4,5,1,5,5,5,3,4,4,4,2
s094,5,3,5,1,6,1,5,2,7,1,7,2
s040,4,3,3,5,3,1,3,3,5,3,5,3
s092,1,4,3,4,2,6,1,4,3,3,6,5
s239,5,4,3,4,2,3,3,7,2,4,4,4
s150,4,2,4,4,5,2,3,3,2,3,7,1
s234,3,6,4,3,3,4,3,4,3,3,4,3
s307,4,5,3,3,2,3,3,3,1,7,5,2
s242,3,5,2,4,4,4,3,3,4,4,6,2
s075,4,2,3,3,3,4,2,5,4,5,4,6
s269,6,5,6,1,5,3,4,4,5,2,3,1
s036,5,4,4,2,2,3,5,2,5,2,4,3
s073,4,4,2,7,1,4,4,6,4,3,5,4
s123,4,4,3,2,5,3,2,4,4,1,6,4
s008,4,4,4,1,5,4,4,2,5,2,7,3
s054,5,6,2,4,3,4,3,5,3,3,5,4
s276,5,5,3,1,4,3,2,3,3,3,5,3
s053,3,6,5,2,4,3,7,3,5,1,6,1
s116,2,6,2,5,3,4,2,5,2,7,3,5
s013,5,4,4,1,5,4,5,6,3,1,6,2
s127,1,5,3,5,2,5,1,4,1,5,4,4
s037,3,5,4,3,5,3,3,3,4,3,5,2
s074,3,4,4,3,5,5,2,4,4,1,4,4
s042,4,6,4,1,3,1,5,4,5,4,3,3
s077,4,5,3,3,2,4,4,3,2,4,5,4
s015,4,3,5,3,5,2,5,2,5,1,7,3
s068,5,6,4,6,3,6,2,4,3,3,2,3
s299,5,3,2,4,6,4,2,4,4,4,4,5
s158,5,7,3,3,3,2,4,4,3,2,6,4
s243,3,7,3,3,4,5,3,6,1,3,4,7
s176,4,4,2,3,4,5,2,5,2,3,4,3
s288,5,4,6,3,4,2,5,4,5,3,7,2
s172,1,5,6,2,2,6,1,4,6,NA,4,5
s091,4,6,5,4,1,7,2,5,1,3,4,4
s079,4,4,5,3,3,2,4,3,1,4,5,3
s280,4,6,4,4,2,4,3,5,3,2,3,6
s283,4,5,2,6,5,5,3,7,3,4,3,5
s010,2,5,4,3,3,5,3,6,NA,5,4,3
s268,2,5,4,5,4,3,4,5,1,2,4,2
s103,4,5,4,4,2,3,5,4,4,5,4,4
s241,2,6,2,5,2,3,1,6,4,5,2,7
s202,4,3,1,3,5,4,4,4,3,4,1,4
s093,3,5,6,5,4,4,5,3,2,4,4,2
s124,4,7,3,5,5,7,3,4,1,3,3,3
s086,4,6,3,2,4,3,2,4,3,4,5,5
s138,7,3,7,3,5,3,6,3,4,1,6,1
s147,6,7,5,5,4,5,3,1,5,1,4,4
s259,4,4,4,4,4,2,5,3,4,2,5,2
s061,4,6,5,2,6,5,5,4,5,3,5,1
s118,5,5,5,5,4,5,3,5,3,5,4,2
s041,2,5,3,4,4,4,3,4,3,3,5,3
s169,4,7,6,3,5,4,4,7,2,3,3,5
s298,3,1,4,2,5,1,4,1,4,2,4,3
s201,4,5,2,5,2,5,1,4,5,5,4,5
s207,5,2,4,3,4,4,4,3,4,2,5,4
s246,5,3,5,2,5,5,5,4,4,2,5,3
s167,6,3,4,1,4,1,7,3,5,2,7,2
s319,5,5,6,3,4,4,3,3,3,4,3,4
s302,1,5,5,3,3,3,1,5,4,3,5,3
s320,3,5,5,4,5,2,2,4,4,5,7,5
s019,5,4,4,1,3,6,1,4,4,4,4,3
s024,4,7,4,3,3,3,4,4,3,3,5,5
s266,4,3,5,1,5,3,5,2,6,1,6,3
s155,5,5,4,2,4,4,2,6,4,3,2,1
s146,2,3,1,4,1,7,3,6,3,5,4,4
s110,4,4,3,6,5,4,5,4,4,3,5,1
s274,1,4,4,3,4,1,3,4,4,2,5,2
s160,5,4,4,1,1,4,5,4,4,1,5,5
s219,4,5,4,4,4,4,3,4,4,4,6,5
s064,4,7,4,5,1,4,1,6,1,6,3,6
s177,4,3,2,4,3,2,2,3,4,3,NA,4
s025,4,2,4,2,4,5,4,2,4,2,4,1
s308,6,6,5,6,4,3,2,3,4,1,4,5
s232,5,5,4,2,4,3,4,5,5,2,5,4
s134,3,3,1,4,3,4,1,5,3,3,4,6
s112,6,5,4,2,5,2,3,3,5,1,5,3
s144,4,4,4,1,4,3,4,4,4,3,5,3
s291,3,4,4,6,4,4,1,5,3,5,5,7
s035,4,6,1,4,3,4,3,5,1,4,3,3
s014,4,6,3,7,4,4,3,5,4,4,4,5
s166,6,5,1,3,2,6,2,5,2,4,5,4
s221,4,2,4,2,4,2,3,4,3,2,4,3
s256,6,3,4,4,3,5,3,5,4,1,4,6
s084,5,4,3,2,3,2,3,2,5,3,5,2
s226,6,2,4,2,7,2,5,1,5,3,4,1
s088,5,2,5,4,5,3,4,2,3,3,6,2
s228,3,5,5,2,3,4,4,3,5,4,3,5
s022,6,3,5,4,7,1,5,2,4,3,5,1
s044,6,2,4,3,4,4,2,6,3,2,5,3
s173,4,5,7,3,7,3,5,4,5,3,6,4
s070,4,7,2,1,2,5,1,4,2,4,2,5
s080,5,4,5,4,5,4,5,1,5,1,6,2
s275,3,6,2,3,3,7,1,5,1,3,1,5
