subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R,q7_F,q8_R,q9_F
s222,6,4,5,3,6,5,3,3,3
s166,4,5,5,4,4,4,2,4,4
s126,4,4,5,6,2,4,3,7,3
s053,5,1,5,3,7,3,5,3,7
s098,7,3,4,4,6,5,6,4,5
s205,2,7,3,7,4,7,3,5,2
s299,5,4,5,4,3,6,4,3,7
s327,5,2,5,4,4,4,2,3,4
s112,4,4,2,4,4,5,3,5,4
s223,5,3,5,5,3,6,4,4,5
s051,6,2,7,3,7,4,6,1,6
s308,7,4,4,3,3,4,4,1,5
s231,7,1,7,2,5,3,5,3,6
s097,6,4,5,3,7,5,4,4,6
s242,2,7,2,7,3,7,1,7,2
s063,5,3,5,4,5,2,3,4,3
s344,2,6,1,5,3,5,2,5,3
s163,4,4,5,2,7,3,4,4,4
s147,3,4,3,3,3,5,3,5,4
s322,6,3,4,4,6,4,5,5,5
s079,5,3,5,2,3,5,4,5,3
s012,2,3,4,3,4,3,5,4,4
s108,4,4,3,4,3,7,2,4,3
s005,6,5,4,5,5,6,4,3,5
s043,5,2,4,3,7,4,5,5,4
s204,1,3,2,5,4,5,4,6,2
s208,7,2,7,1,7,3,7,1,7
s087,4,2,7,4,4,4,5,4,4
s075,4,3,5,4,6,3,5,3,4
s290,2,6,2,6,3,6,3,7,2
s090,5,3,6,2,6,3,5,4,7
s258,5,2,5,6,3,4,4,3,4
s189,4,3,5,3,6,4,5,4,4
s296,NA,5,3,4,5,7,3,5,4
s015,3,5,1,6,4,5,3,4,3
s067,5,4,3,3,2,5,5,4,3
s196,5,5,3,4,6,4,3,6,3
s345,6,4,4,4,6,4,4,3,5
s370,6,1,4,4,4,4,5,3,4
s195,4,5,3,3,6,6,4,3,3
s263,6,6,4,4,3,5,3,4,4
s197,4,3,5,3,4,4,4,2,6
s306,7,3,6,4,6,6,5,3,4
s259,4,4,4,5,5,5,2,5,4
s039,4,4,1,5,3,7,1,6,3
s212,4,4,4,4,5,5,4,4,4
s144,4,4,1,3,4,5,7,7,4
s187,4,4,6,6,4,4,6,5,4
s224,5,3,3,3,4,4,4,4,4
s183,3,6,4,NA,3,5,3,5,1
s134,4,4,4,4,4,5,5,4,3
s132,5,6,4,4,2,5,2,4,5
s085,6,4,4,5,6,6,2,4,4
s357,4,4,5,4,5,6,5,6,3
s238,4,5,3,5,3,5,2,5,4
s103,7,4,7,2,7,3,7,3,6
s260,2,6,2,4,2,6,2,5,1
s056,4,6,2,4,3,6,3,7,1
s365,5,4,3,2,7,4,5,5,6
s179,6,1,4,1,5,2,7,2,5
s334,6,3,4,4,4,6,5,7,4
s105,4,5,6,3,5,4,3,6,1
s339,6,3,6,3,6,4,4,6,6
s236,3,7,4,4,3,7,3,4,2
s064,1,4,3,4,7,7,6,4,5
s068,5,1,3,2,5,3,5,1,4
s057,4,2,2,4,5,5,NA,5,2
s003,5,4,4,2,5,4,3,3,4
s255,4,4,4,3,4,5,4,7,2
s081,3,5,3,7,4,7,4,7,1
s218,4,3,3,5,6,3,3,4,6
s348,4,3,5,1,7,5,4,1,6
s304,3,4,5,4,4,7,5,5,4
s030,4,3,3,2,4,5,5,5,3
s149,5,2,6,3,5,4,4,2,4
s287,5,2,1,4,3,6,3,5,2
s020,4,6,3,4,5,5,2,7,3
s007,5,3,4,5,4,6,6,3,5
s180,4,6,4,4,5,4,5,7,3
s129,5,5,3,4,6,4,5,5,NA
s141,6,5,3,3,5,4,4,3,5
s273,2,5,2,6,3,7,4,5,3
s019,5,3,5,3,4,6,4,4,3
s301,4,2,1,4,3,4,4,3,1
s343,7,4,4,4,6,5,2,3,4
s355,4,4,6,5,4,6,4,5,4
s136,2,5,3,7,3,7,2,6,2
s119,5,2,7,4,6,3,2,2,5
s252,7,3,7,4,5,4,6,5,5
s016,3,4,5,7,3,5,4,6,5
s146,3,4,6,4,5,7,4,5,3
s032,3,4,5,4,4,6,5,4,5
s341,5,4,5,3,5,4,5,5,6
s346,7,3,5,3,7,4,6,2,4
s215,4,4,3,6,5,5,5,5,3
s122,7,3,4,3,5,5,4,5,3
s178,5,3,5,4,4,4,7,7,6
s084,3,4,3,3,6,6,4,4,2
s160,4,1,7,2,7,2,7,3,7
s046,5,4,7,1,5,4,4,3,6
s285,5,3,6,2,4,5,4,5,4
s028,6,1,7,2,6,3,7,2,7
s210,5,3,3,4,4,4,3,4,2
s219,5,1,3,3,6,3,4,3,6
s167,4,4,6,5,6,6,5,3,5
s264,2,4,3,4,3,6,2,6,2
s164,4,2,5,5,4,3,3,4,3
s095,3,5,5,4,6,5,3,6,4
s192,5,2,3,5,5,6,5,3,4
s050,3,5,4,6,1,6,4,5,3
s368,7,5,3,4,2,3,5,3,3
s336,4,3,3,5,4,3,4,3,5
s104,5,3,4,3,3,4,5,3,4
s216,5,4,5,2,4,6,7,3,4
s288,4,7,2,2,4,4,4,5,4
s194,3,6,2,4,1,7,2,6,2
s181,5,2,5,3,7,4,6,3,1
s307,3,6,NA,4,3,7,2,7,1
s083,6,6,2,5,5,7,4,4,5
s165,6,3,6,3,5,5,5,3,4
s123,2,4,3,5,4,5,3,5,4
s139,2,5,2,5,3,5,4,5,3
s319,4,5,3,6,6,7,NA,4,2
s010,6,4,3,2,6,7,2,4,3
s135,3,4,4,6,4,7,4,4,1
s211,4,3,5,3,7,3,6,4,4
s206,3,6,1,5,4,7,2,4,2
s352,4,4,5,4,5,6,4,4,4
s176,5,1,4,3,4,3,3,4,6
s191,4,2,4,3,6,3,3,3,4
