subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11,R-q12,F-q13,R-q14
s298,7,2,6,1,5,1,6,3,4,2,6,3,2,3
s100,4,5,1,4,4,5,4,4,2,6,4,4,3,4
s228,1,6,2,6,2,6,1,7,3,4,1,6,1,5
s039,3,4,3,4,2,3,5,4,3,3,5,4,5,5
s360,4,2,4,4,5,4,3,2,2,4,6,6,4,7
s186,2,6,3,6,1,2,1,6,2,5,1,6,4,3
s044,4,3,2,4,2,6,2,4,4,6,3,7,2,5
s253,4,3,4,5,6,1,6,5,5,3,4,2,5,4
s174,5,4,7,2,5,4,6,3,5,3,4,4,5,4
s063,5,4,3,3,4,4,3,4,5,2,4,5,6,3
s179,4,4,4,5,4,4,5,4,4,4,4,4,5,4
s312,4,4,2,5,2,7,4,5,3,5,4,5,3,5
s330,5,4,4,3,7,3,3,3,4,4,4,4,7,1
s224,3,4,6,7,2,5,2,7,3,5,1,6,4,5
s199,5,3,4,4,3,2,2,5,4,4,5,6,3,4
s207,NA,5,7,5,4,5,4,4,4,3,5,4,6,2
s059,1,4,7,5,5,4,4,5,4,5,5,4,5,3
s185,2,7,2,5,3,5,3,4,2,3,4,5,3,3
s137,2,4,4,5,5,5,1,5,3,6,5,4,5,2
s214,5,2,5,3,4,3,4,6,3,6,4,4,5,3
s300,5,3,7,3,6,1,6,1,4,3,5,2,7,1
s291,5,4,4,2,5,4,1,6,1,5,4,5,6,4
s120,4,4,2,4,2,3,2,7,3,5,3,5,4,6
s003,3,5,2,5,4,5,4,4,1,4,2,6,4,5
s176,3,5,5,6,3,5,3,4,3,5,2,5,4,1
s332,3,6,3,4,4,3,4,6,1,4,5,3,3,4
s193,4,4,2,6,4,4,3,4,5,6,4,4,4,5
s304,4,5,4,2,4,4,2,4,4,5,3,2,4,3
s046,6,5,3,6,3,5,3,7,4,4,3,4,2,5
s019,4,4,2,7,1,3,2,6,1,4,4,7,1,4
s264,5,2,4,3,3,4,4,3,2,NA,2,5,2,3
s324,4,4,1,4,5,2,4,3,4,4,3,4,5,5
s248,1,7,1,7,1,5,1,6,2,6,3,7,3,3
s068,5,1,5,2,6,1,4,1,6,2,6,4,4,2
s130,5,4,3,4,3,3,3,5,3,4,3,6,3,5
s038,3,5,2,2,4,4,3,4,4,4,3,5,6,6
s076,3,3,4,7,2,6,2,6,2,6,3,5,1,5
s337,5,5,2,3,4,4,3,5,4,3,4,4,4,3
s262,6,2,3,3,4,3,5,4,4,3,6,3,5,3
s099,2,5,1,7,2,6,1,6,3,7,3,7,4,5
s283,3,4,4,5,4,4,3,3,3,6,3,5,3,5
s363,4,7,4,4,5,3,1,3,2,6,6,7,5,3
s002,4,2,4,5,4,3,3,4,4,4,7,5,5,4
s072,5,3,3,3,5,4,4,4,7,2,4,4,4,4
s011,3,4,4,4,4,5,2,5,1,5,2,4,4,4
s030,5,4,4,2,5,2,4,2,5,3,5,3,5,4
s313,6,4,3,4,5,4,5,4,4,4,4,5,5,4
s027,3,2,4,5,4,4,4,6,4,3,4,7,5,3
s045,5,4,4,5,4,2,4,2,2,3,4,4,4,2
s180,4,2,4,2,5,3,6,3,4,3,4,5,7,3
s157,3,6,4,7,2,6,3,6,1,5,3,5,3,6
s075,3,5,4,3,4,3,2,4,4,4,5,4,6,3
s318,6,5,5,2,4,3,5,3,6,3,5,4,5,2
