subj_id,gender,age,language
s003,male,27,monolingual
s007,female,22,monolingual
s011,male,22,bilingual
s015,nonbinary,18,monolingual
s019,female,20,bilingual
s023,female,20,bilingual
s027,male,19,monolingual
s031,female,23,monolingual
s035,NA,22,monolingual
s039,male,23,monolingual
s043,male,19,monolingual
s047,female,21,bilingual
s051,male,19,monolingual
s055,female,20,bilingual
s059,male,20,monolingual
s063,female,19,bilingual
s067,female,25,monolingual
s071,male,22,monolingual
s075,female,18,monolingual
s079,male,21,monolingual
s083,male,19,monolingual
s087,nonbinary,19,monolingual
s091,male,21,monolingual
s095,male,19,monolingual
s099,male,18,monolingual
s103,male,22,monolingual
s107,female,18,bilingual
s111,male,20,bilingual
s115,male,21,bilingual
s119,male,20,monolingual
s123,male,18,bilingual
s127,male,24,monolingual
s131,female,19,monolingual
s135,female,24,bilingual
s139,male,22,bilingual
s143,female,23,monolingual
s147,female,missing,bilingual
s151,female,20,monolingual
s155,male,20,monolingual
s159,female,20,monolingual
s163,female,22,monolingual
s167,female,21,bilingual
s171,nonbinary,20,monolingual
s175,female,21,monolingual
s179,male,20,bilingual
s183,male,23,bilingual
s187,male,20,monolingual
s191,male,22,monolingual
s195,nonbinary,21,bilingual
s199,nonbinary,missing,bilingual
s203,male,19,monolingual
s207,male,21,bilingual
s211,female,24,monolingual
s215,female,21,monolingual
s219,male,missing,monolingual
s223,male,20,monolingual
s227,female,18,monolingual
s231,nonbinary,missing,monolingual
s235,female,21,monolingual
s239,male,18,monolingual
s243,male,22,monolingual
s247,female,23,monolingual
s251,male,missing,bilingual
s255,male,25,monolingual
s259,nonbinary,19,bilingual
s263,nonbinary,missing,monolingual
s267,male,19,monolingual
s271,female,20,bilingual
s275,female,22,monolingual
s279,male,missing,monolingual
s283,female,20,monolingual
s287,male,22,monolingual
s291,female,22,monolingual
s295,male,20,monolingual
s299,nonbinary,20,monolingual
s303,female,20,monolingual
s307,male,21,monolingual
s311,female,21,monolingual
s315,male,21,bilingual
s319,female,26,monolingual
s323,male,21,bilingual
s327,female,22,bilingual
s331,male,20,monolingual
s335,female,20,monolingual
s339,male,21,monolingual
s343,male,21,monolingual
s347,female,21,monolingual
s351,male,21,monolingual
s355,male,19,bilingual
s359,male,22,monolingual
s363,female,20,monolingual
