subj_id,q01 F,q02 R,q03 F,q04 R,q05 F,q06 R,q07 F,q08 R,q09 F,q10 R
s052,5,5,6,4,5,5,1,6,3,5
s269,5,3,4,2,3,6,6,2,6,6
s230,3,2,6,4,3,4,6,3,6,3
s053,5,4,3,4,4,3,4,7,3,4
s057,4,1,6,2,4,3,6,1,7,4
s270,5,4,3,5,3,6,3,4,4,6
s031,3,5,4,5,1,4,4,4,4,5
s095,4,4,3,3,6,3,2,5,4,6
s296,4,6,5,4,2,7,2,6,3,7
s284,6,5,7,2,6,3,4,4,4,3
s206,4,3,7,4,2,3,4,3,3,4
s088,2,5,4,7,4,7,3,3,4,4
s173,2,6,4,5,1,7,1,5,3,4
s047,6,4,3,2,3,6,3,5,2,4
s069,2,3,5,4,1,5,3,5,6,6
s225,4,3,3,4,4,3,5,3,5,7
s154,2,4,3,5,5,5,4,6,4,4
s174,4,5,1,7,3,6,2,6,2,7
s002,1,5,2,6,3,7,1,6,1,4
s021,4,4,4,5,1,5,4,4,1,7
s301,4,6,4,4,2,6,4,1,4,6
s124,4,4,3,5,3,4,4,4,3,5
s251,3,3,3,3,4,3,4,4,3,4
s070,5,5,6,5,3,6,6,6,4,3
s169,4,5,5,4,3,3,1,5,2,5
s159,6,5,6,3,2,5,5,4,4,3
s001,3,2,6,3,4,3,6,4,7,3
s272,5,4,4,4,3,5,4,7,3,5
s254,4,4,5,7,2,4,2,4,3,6
s179,2,6,3,5,1,4,4,7,4,6
s247,2,6,5,7,2,4,2,3,2,6
s081,4,4,4,4,5,3,5,6,5,3
s256,4,4,7,3,4,3,3,3,4,3
s172,4,3,6,4,4,4,4,4,6,5
s040,4,4,6,2,3,3,6,4,3,2
s221,6,4,5,4,1,4,3,4,6,4
s162,4,4,5,3,4,2,5,3,5,4
s280,4,6,6,5,2,7,2,4,3,7
s056,3,4,7,6,3,4,4,1,5,3
s187,2,4,5,4,4,5,6,3,1,4
s078,4,4,5,3,2,5,2,1,4,2
s101,5,2,6,4,4,4,5,2,6,7
s241,3,5,4,4,1,4,1,4,4,4
s092,3,3,7,4,2,5,3,NA,4,3
s038,5,4,4,6,3,6,4,4,4,6
s110,1,3,3,4,2,7,2,7,3,5
s188,5,4,2,2,3,6,3,5,3,5
s262,3,2,4,4,5,4,3,6,4,2
s036,2,4,4,6,2,4,2,4,4,7
s136,5,4,5,4,2,4,6,6,5,4
s029,4,5,5,5,2,3,2,4,6,4
s028,4,2,3,3,4,4,3,5,4,3
s118,2,4,NA,7,2,6,5,4,2,6
s274,1,4,2,4,4,4,6,6,3,5
s086,4,4,5,3,5,4,2,4,3,4
s060,2,5,4,5,1,5,4,7,4,7
s290,4,4,3,5,5,3,3,4,4,4
s128,7,1,5,3,6,2,6,2,6,2
s042,4,4,5,3,3,4,4,4,4,5
s286,4,2,3,4,6,3,4,5,4,5
s032,5,1,4,1,4,3,6,1,2,3
s214,2,4,3,5,2,5,5,4,3,2
s293,4,2,3,3,3,6,3,2,6,4
s061,4,5,7,5,5,4,5,7,3,3
s184,4,4,5,3,4,2,6,3,6,2
s201,3,3,3,5,3,4,4,2,2,5
s170,3,6,4,5,4,6,4,5,1,2
s253,6,4,7,5,5,4,2,3,4,4
s055,4,1,4,3,4,7,4,6,4,5
s106,3,7,4,3,2,6,4,3,3,4
s273,4,2,7,5,4,3,5,4,4,3
s149,4,4,2,5,2,4,1,3,6,5
s264,2,4,6,5,6,4,5,6,6,3
s165,6,3,5,2,4,5,4,4,5,3
s304,3,6,4,2,2,3,3,5,5,4
s085,3,3,6,4,3,4,5,6,6,4
s157,3,5,4,6,3,4,3,4,2,4
s215,1,5,3,4,1,6,4,4,3,5
s074,2,4,4,4,3,4,4,5,4,4
s148,1,7,5,5,4,4,3,3,4,4
s208,5,5,6,3,3,4,3,4,4,5
s204,1,4,6,4,5,4,2,5,6,6
s308,4,3,3,1,5,4,7,4,4,4
s010,2,5,4,4,3,7,2,5,2,5
s044,3,2,3,7,1,6,2,5,4,6
s197,4,3,1,4,6,6,3,5,3,5
s233,3,5,4,5,5,4,3,6,4,7
s249,4,4,6,4,3,3,4,3,5,2
s090,3,4,4,4,4,4,3,7,4,5
s041,3,5,4,5,2,5,3,2,3,7
s100,2,4,5,3,2,4,4,5,5,4
s007,3,6,4,5,3,6,4,5,4,7
s020,3,1,3,2,4,4,3,2,6,3
s075,7,1,5,3,6,3,5,1,5,6
s048,5,3,5,4,5,3,4,3,5,6
s239,2,4,4,6,3,5,3,4,4,5
s300,1,3,4,3,3,4,2,4,3,7
s192,2,2,6,4,4,3,2,5,4,5
s120,4,4,4,4,5,5,2,5,3,4
s285,4,2,5,4,7,5,4,4,4,2
s265,4,1,4,3,3,4,5,5,5,5
s161,4,2,6,3,2,6,4,6,4,5
s045,4,1,6,1,4,4,4,4,5,4
s024,6,1,6,4,6,3,4,4,4,3
s283,4,5,6,4,4,4,3,4,3,5
s094,4,4,3,5,2,6,4,4,5,6
s013,4,5,7,3,4,5,4,4,6,2
s083,3,6,6,4,5,4,6,3,5,4
s131,5,3,5,2,4,3,3,3,5,4
s111,4,3,5,3,4,4,5,5,5,3
s003,4,2,4,2,5,5,6,4,5,4
s096,3,4,5,4,1,4,2,3,4,5
s022,5,2,4,3,4,2,4,4,5,4
s059,4,4,5,3,6,NA,5,2,7,4
s189,3,5,5,4,3,3,4,3,3,2
s151,5,4,6,3,4,4,5,7,6,5
s140,5,3,6,3,3,4,6,4,4,5
s122,2,7,3,6,3,5,1,4,3,6
s193,5,3,5,3,5,4,4,2,4,2
s139,5,3,6,4,6,4,5,3,3,2
s030,5,2,7,4,4,4,4,4,5,5
s166,4,3,6,4,3,3,4,3,3,5
s250,3,5,4,4,1,5,6,4,5,4
s043,5,5,5,1,NA,5,5,4,5,5
s277,3,4,5,6,3,4,3,3,3,3
s037,4,2,4,6,3,6,4,7,2,4
s229,4,2,4,5,2,5,3,4,4,1
s017,5,3,5,5,5,5,6,3,5,2
s027,4,3,4,6,2,6,4,5,6,5
s065,4,6,5,5,4,5,2,6,5,5
s202,3,2,6,5,4,4,3,3,6,6
s068,3,4,5,5,1,6,4,5,4,5
s073,2,4,4,6,2,4,2,4,3,5
s219,3,2,5,4,4,6,5,3,4,4
s307,4,3,6,2,4,4,1,1,4,4
s231,7,1,7,4,4,2,4,3,5,2
s121,3,4,4,5,4,5,4,5,4,4
s091,4,3,7,1,2,4,5,3,3,2
s271,5,6,NA,4,1,7,3,7,2,6
s276,4,2,6,1,4,4,3,4,4,1
s132,6,3,6,3,4,3,4,3,5,3
s127,4,4,4,3,4,2,4,1,3,4
s009,7,4,5,3,6,3,4,5,5,1
s226,4,3,4,4,1,4,2,5,3,5
s238,3,4,2,3,2,4,3,5,5,5
s252,5,5,4,2,4,4,3,4,5,5
s209,4,1,6,3,4,5,3,2,7,4
s255,1,3,4,NA,1,3,2,4,2,6
s245,6,3,7,5,5,5,5,2,5,2
s015,4,3,4,2,3,3,4,4,6,4
s282,2,5,4,4,3,7,3,7,3,5
s175,7,4,6,3,5,5,4,3,5,3
s072,6,1,7,1,6,3,7,1,6,3
s137,4,3,4,4,5,3,3,4,4,4
s126,1,7,5,6,3,5,1,5,1,6
s186,2,5,4,5,5,5,3,4,6,6
s051,4,3,5,1,2,4,7,3,4,4
s016,4,4,6,3,5,4,6,5,6,4
s105,4,5,5,4,5,4,5,3,6,3
s160,1,5,2,3,2,7,1,5,2,7
s133,3,5,6,6,4,4,4,NA,3,6
s107,2,5,4,5,1,6,1,6,2,7
s035,4,4,6,4,4,4,5,5,5,3
s146,3,6,2,5,3,6,4,5,2,4
s198,5,3,7,1,3,4,5,3,4,4
s224,3,2,5,5,4,6,4,5,4,5
s125,5,5,4,6,4,6,5,4,2,7
s082,2,4,5,1,3,4,3,5,3,3
s181,3,4,6,4,1,4,1,4,5,7
s014,4,3,4,2,3,4,4,1,5,4
s298,3,5,4,3,4,5,3,4,4,4
s049,4,4,4,6,3,4,3,4,3,6
s232,3,4,3,4,5,5,4,4,5,5
s194,4,6,3,3,3,4,1,3,3,5
s115,6,5,6,3,2,3,7,4,6,1
s163,7,2,4,4,3,3,5,3,6,4
s064,3,5,7,4,4,6,4,4,6,4
s237,3,4,5,5,4,4,4,5,6,1
s297,5,4,6,3,6,3,4,2,6,3
s153,4,6,4,3,3,4,3,4,3,5
s089,4,4,4,4,3,4,2,4,2,4
s291,NA,3,3,3,4,2,5,2,5,2
s054,6,3,6,2,2,2,5,3,7,4
s143,4,2,6,4,5,4,2,4,5,3
s302,4,4,3,5,2,5,2,6,1,5
s220,4,1,6,1,4,3,6,1,4,2
s142,3,6,3,6,3,6,3,5,3,4
s109,2,5,5,4,3,4,4,4,3,4
s113,5,2,4,5,5,6,4,5,4,4
s234,7,4,7,1,4,3,7,1,7,3
s117,6,4,6,5,6,2,5,2,6,2
s217,4,4,6,4,5,4,3,4,4,3
s171,5,2,5,2,5,3,4,4,4,4
s176,5,2,5,1,4,2,7,4,5,2
s033,4,4,3,4,5,7,2,2,6,5
s185,3,4,4,4,2,1,6,2,6,4
s108,5,3,5,3,5,3,4,3,4,4
s200,4,NA,4,4,4,5,4,4,5,5
s263,2,5,2,4,3,3,3,4,4,4
s026,3,3,5,4,4,1,7,2,7,4
s203,2,5,5,5,3,7,4,5,5,5
s191,2,4,5,3,3,6,3,5,4,4
s018,5,4,2,5,2,6,6,5,5,6
s195,4,4,7,2,5,4,4,3,4,2
s158,3,7,2,4,2,5,5,6,3,7
s183,5,7,4,4,1,6,3,3,3,6
s164,5,2,6,4,2,3,6,3,5,5
s129,3,6,3,4,1,5,4,5,3,6
s116,1,4,6,3,5,2,3,4,5,4
s292,3,3,5,7,2,6,2,5,4,7
s147,5,4,5,5,2,5,3,4,5,5
s279,7,1,7,1,6,3,7,1,7,1
s260,7,3,NA,2,3,2,3,3,4,1
s236,5,4,3,5,4,3,5,5,5,2
s235,3,5,5,4,1,6,5,4,6,3
s034,4,6,1,5,3,6,2,5,1,5
s011,3,5,3,5,3,5,3,5,2,5
s019,2,3,4,5,4,5,6,4,3,3
s080,4,4,6,1,7,3,6,4,7,NA
s103,5,2,7,4,4,3,6,3,4,4
s152,5,2,4,3,7,2,5,1,5,3
s046,3,6,4,4,2,7,3,5,2,6
s119,4,2,6,4,5,3,4,4,6,3
s135,3,4,3,5,4,5,5,5,7,4
s144,5,2,7,4,3,1,6,1,7,1
