subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F,q12-R,q13-F,q14-R
s309,4,4,5,6,6,5,6,3,4,5,4,4,5,4
s015,4,5,2,4,6,4,3,4,4,4,4,5,1,5
s184,2,6,3,7,6,4,2,3,4,6,1,7,3,2
s172,4,6,4,5,4,5,4,4,4,5,4,4,4,2
s285,1,4,2,4,3,6,4,7,4,7,2,3,3,4
s302,5,4,4,3,5,4,4,2,6,2,4,4,6,3
s376,4,5,4,5,5,2,4,3,4,5,4,5,6,3
s220,3,3,5,5,6,4,3,4,6,4,4,5,4,4
s226,5,5,3,4,6,3,5,3,3,6,2,4,4,4
s006,3,7,4,5,5,4,5,6,4,3,5,4,4,3
s386,4,4,4,1,6,4,6,3,4,4,5,2,4,4
s133,5,5,4,4,5,7,4,3,4,5,3,5,3,4
s129,5,6,2,5,5,7,4,3,2,NA,3,5,4,4
s335,4,3,5,3,5,7,4,4,4,5,4,2,5,4
s148,4,4,4,3,4,5,5,4,5,5,7,4,3,4
s280,2,4,1,6,2,7,1,6,1,6,2,4,2,5
s384,4,6,1,7,4,7,3,7,1,7,4,7,1,6
s022,3,3,1,5,3,6,5,5,2,7,2,6,3,4
s370,4,4,2,3,4,3,4,6,2,6,3,5,1,4
s260,5,7,1,4,4,7,3,5,5,7,4,3,5,4
s282,7,4,4,4,7,2,3,3,4,5,5,3,4,3
s271,7,2,6,2,6,2,7,3,5,1,6,4,6,1
s017,5,1,2,3,5,5,4,5,4,6,4,4,4,4
s219,4,5,1,6,4,6,4,5,4,6,2,4,1,5
s357,4,4,5,3,5,3,6,3,3,3,4,2,4,1
s380,1,7,3,5,5,7,2,6,4,6,3,7,2,4
s086,5,4,5,3,7,3,6,2,5,4,5,3,4,3
s277,3,4,4,4,4,7,2,7,4,5,5,5,6,4
s132,5,3,6,4,7,4,7,3,5,1,4,5,5,3
s275,6,5,4,5,4,5,3,4,3,5,6,4,3,4
s304,2,3,6,4,4,4,6,2,5,3,6,5,5,3
s214,4,5,4,7,4,7,3,7,1,6,4,5,4,7
s170,4,5,5,4,5,5,3,4,5,5,4,7,4,4
s355,3,3,5,3,5,6,4,4,4,2,5,4,5,4
s353,3,5,4,7,5,5,2,6,3,5,5,5,1,4
s276,3,3,5,2,4,4,5,3,6,4,6,4,3,3
s301,5,4,2,3,5,4,5,4,4,4,4,5,4,4
s154,3,4,3,4,4,7,3,6,4,4,6,4,4,4
s078,4,4,2,6,5,1,4,2,5,6,4,5,3,4
s033,5,4,4,4,5,2,5,2,4,1,4,4,3,2
s201,1,7,1,7,4,7,3,6,2,7,5,7,3,5
s045,4,4,5,4,3,3,5,3,5,4,5,3,5,4
s059,3,3,6,NA,5,4,5,3,4,5,5,4,4,3
s265,5,3,5,3,4,1,4,4,5,4,6,5,4,3
s324,5,2,4,2,5,3,5,2,5,4,5,5,3,3
s361,6,4,4,4,5,3,3,4,4,3,5,2,5,4
s126,6,4,4,4,5,6,5,3,5,6,4,4,4,4
s364,3,4,5,2,6,4,6,5,5,5,5,4,4,2
s141,5,1,4,5,7,4,4,4,5,5,6,3,4,2
s016,4,5,4,4,5,5,5,1,4,3,6,6,5,3
s019,4,6,2,5,2,6,2,6,4,4,3,7,3,6
s096,6,5,4,2,6,3,5,2,7,3,4,2,6,4
s303,3,6,3,5,2,7,1,6,4,7,4,4,5,6
s298,6,3,4,3,6,6,5,2,5,3,5,4,4,3
s093,4,4,4,5,6,4,4,4,4,4,4,3,4,5
s035,3,5,4,5,4,5,7,5,4,4,5,5,4,1
s340,7,1,4,3,7,4,5,3,6,3,3,2,7,3
s259,4,5,5,3,4,6,2,5,2,5,3,4,4,5
s159,5,4,4,3,3,5,3,3,4,4,7,4,5,5
s105,6,5,2,6,3,4,6,3,5,5,1,4,5,3
s051,6,5,4,4,7,5,4,4,3,5,2,4,4,5
s287,4,5,5,4,3,4,4,5,5,4,4,4,4,4
s230,5,5,5,5,6,3,7,2,4,4,5,4,5,3
s297,5,5,3,5,3,4,4,5,3,3,5,3,5,5
s061,3,4,3,3,2,5,3,3,5,5,4,5,4,4
s012,5,3,4,2,6,3,6,3,6,5,5,6,5,4
s188,2,6,4,4,2,4,6,5,3,3,4,2,2,4
s058,4,6,4,4,NA,3,4,4,6,2,6,3,6,6
s318,6,3,5,4,7,3,5,2,7,4,7,3,5,3
s182,3,4,5,1,5,4,5,4,4,4,4,5,3,3
s011,4,5,2,4,4,5,3,5,6,4,5,3,6,7
s138,4,6,6,4,5,7,5,4,4,2,3,3,4,6
s026,3,5,1,4,4,7,6,6,2,6,2,5,3,6
s229,1,7,3,5,4,6,4,7,1,6,4,5,4,5
s211,3,4,1,2,2,7,3,4,4,5,6,4,2,4
s048,5,4,5,3,7,3,7,2,5,4,6,3,6,1
s343,4,4,4,4,6,4,3,4,4,4,5,4,4,3
s160,6,4,1,4,3,2,4,5,6,5,5,4,6,3
s337,5,3,3,5,4,6,3,5,3,3,7,4,6,4
s245,7,6,4,4,5,6,3,7,1,5,4,6,3,4
s272,5,2,6,3,3,5,3,5,4,5,4,4,4,4
s100,4,2,3,3,5,4,5,4,5,6,4,4,4,4
s351,3,3,4,5,5,5,6,4,4,6,3,4,4,5
s099,4,4,4,3,5,4,4,3,6,4,4,4,4,4
s163,4,5,3,3,4,5,5,2,5,5,4,7,3,6
s198,5,5,2,2,6,3,4,4,7,5,4,4,3,4
s251,3,5,3,4,4,6,4,4,3,5,4,4,5,5
s013,3,3,4,3,4,3,6,3,5,4,6,2,6,4
s178,5,5,4,2,5,3,4,4,4,4,3,2,4,2
s203,5,2,4,3,6,5,7,1,6,5,5,1,6,2
s367,4,7,2,4,3,7,3,4,4,6,4,4,1,4
s247,3,2,5,3,6,6,4,4,4,5,3,3,3,4
s091,3,1,NA,6,4,6,5,2,6,2,3,4,3,4
s156,5,4,3,3,7,6,4,4,4,4,4,4,6,4
s346,4,4,4,4,4,6,3,3,4,4,4,6,4,6
s047,4,1,5,4,6,3,6,2,6,4,6,2,7,2
s292,1,7,1,4,5,5,3,5,4,4,3,7,2,6
s073,3,4,3,3,4,4,7,3,4,4,4,3,3,2
s145,5,1,4,1,6,3,6,1,6,1,6,1,7,4
s288,5,3,5,2,3,3,6,5,7,6,5,3,5,4
s053,4,4,6,4,3,3,6,5,4,3,4,5,4,5
s383,2,5,2,2,4,4,4,4,2,5,7,4,2,3
s360,3,6,2,5,5,7,2,5,3,7,4,5,3,6
s169,4,7,3,4,4,5,2,5,4,5,5,7,3,5
s020,4,3,3,5,5,6,4,6,2,5,2,4,3,6
s076,5,4,4,4,5,7,4,4,5,4,3,3,4,3
s005,4,5,3,5,5,3,2,5,4,5,3,7,1,5
s140,6,2,6,2,5,2,7,4,7,3,7,3,5,4
s090,1,5,1,5,3,7,3,6,4,5,3,6,3,6
s294,2,4,5,4,5,4,7,2,4,4,6,2,6,4
s362,5,4,3,3,3,4,3,3,4,7,6,3,5,3
s008,3,5,3,4,4,6,5,4,3,4,4,4,5,2
s001,4,4,1,4,3,6,3,4,2,5,3,6,1,5
s103,2,4,5,4,5,3,4,4,4,5,5,4,3,3
s177,7,5,4,4,6,3,5,5,5,3,5,2,4,3
s009,3,4,3,4,4,6,5,5,4,4,4,3,5,5
s128,4,4,5,2,5,4,5,3,6,3,4,5,5,3
s030,4,4,2,2,4,3,4,4,5,4,2,3,4,5
s067,5,4,3,4,2,5,4,3,4,5,4,5,3,5
s137,4,4,4,3,7,4,4,4,4,5,2,2,6,2
s034,2,5,3,7,4,7,5,6,2,7,3,7,4,5
s064,4,5,3,6,3,4,4,3,3,4,5,5,3,5
s032,3,7,2,4,3,4,4,6,2,5,3,4,5,5
s130,7,2,6,3,7,2,5,1,6,4,6,2,6,4
s322,3,5,2,5,5,5,3,4,3,6,3,6,1,5
s313,4,3,4,4,2,5,4,5,4,4,3,7,4,3
s176,3,4,4,4,4,6,5,5,5,4,3,5,2,4
s139,4,4,4,5,7,6,4,3,6,3,5,2,5,3
s352,5,5,4,6,5,5,3,4,5,7,4,6,5,5
s147,4,7,3,5,4,7,3,4,5,4,3,6,3,7
s350,5,3,2,4,4,5,4,4,2,5,4,3,2,4
s162,6,3,4,3,6,2,6,2,6,4,4,2,6,3
s151,3,5,1,4,7,5,4,5,4,7,6,4,4,3
s125,4,4,2,6,4,5,5,5,3,6,4,7,2,4
s080,4,4,4,5,NA,5,4,4,4,5,4,4,1,4
s274,4,5,2,5,6,7,5,2,5,2,3,2,4,2
s171,6,4,3,3,6,2,5,4,3,4,3,5,3,5
s244,3,5,2,4,3,4,5,3,4,6,2,4,3,4
s050,5,3,5,3,6,2,5,1,7,4,3,4,5,1
s131,3,7,3,6,4,7,4,6,3,6,5,5,3,5
s044,7,3,6,4,4,4,6,4,4,6,5,7,5,5
s281,4,3,3,4,6,4,5,4,5,6,5,6,3,5
s342,3,6,4,5,7,4,4,4,4,6,4,4,2,3
s083,4,4,2,3,2,6,3,3,4,5,7,4,4,3
s314,2,4,3,5,3,7,4,4,5,7,4,5,3,6
s134,4,2,6,2,7,3,4,4,6,4,3,4,3,3
s206,NA,4,3,4,4,5,5,4,5,6,7,4,4,3
s029,5,4,4,3,5,4,4,5,5,3,4,4,5,4
s167,4,4,3,2,6,3,5,3,3,5,5,4,5,2
s124,4,3,2,4,5,5,NA,5,6,4,5,4,4,5
s123,4,3,4,3,3,4,4,3,4,3,4,4,4,5
s363,4,2,3,5,5,4,5,2,5,5,4,4,5,3
s056,4,3,1,3,3,4,5,1,6,5,5,2,4,2
s192,4,4,4,2,4,4,5,3,4,3,6,NA,6,6
s081,4,2,3,4,5,5,3,2,4,NA,3,4,4,4
s365,5,5,4,5,4,6,3,5,5,5,6,4,4,4
s144,4,5,1,4,4,6,2,5,2,6,1,7,3,6
s186,4,5,2,3,4,5,2,7,4,6,3,4,4,4
s135,2,7,4,3,3,5,3,3,5,4,5,5,3,5
s299,5,2,3,4,5,4,5,4,7,5,3,4,5,2
s121,6,NA,5,2,6,4,7,2,4,2,4,5,5,2
s052,4,5,1,5,3,6,1,4,3,5,4,4,2,2
s373,3,7,4,3,7,3,6,2,5,1,4,4,5,4
s204,4,6,1,4,4,4,2,4,5,5,4,5,2,5
s326,6,3,5,1,4,4,4,3,6,2,2,4,4,4
s146,4,3,3,4,5,4,4,3,4,3,3,5,2,6
s007,6,2,5,2,4,3,2,2,3,2,5,2,5,5
s102,5,3,5,3,4,4,5,6,5,3,4,6,5,4
s319,2,4,5,3,6,5,5,2,6,3,7,2,5,1
s374,4,5,4,4,7,4,4,3,4,2,3,2,3,4
s317,6,4,6,4,7,4,5,3,4,4,5,4,6,3
s390,3,5,4,4,3,5,7,2,6,5,5,4,4,4
s155,1,6,1,3,3,6,2,4,4,7,3,6,4,3
s213,4,3,1,3,5,5,2,4,2,4,5,4,1,4
s228,4,6,2,5,4,5,3,4,3,6,5,4,1,5
s289,2,4,7,2,5,5,6,2,5,3,4,5,4,5
s325,4,5,2,4,3,6,4,6,4,4,6,4,2,3
