subj_id,gender,age,language
s004,female,22,monolingual
s008,female,24,monolingual
s012,female,23,bilingual
s016,nonbinary,25,monolingual
s020,female,22,monolingual
s024,female,21,bilingual
s028,female,19,monolingual
s032,NA,26,bilingual
s036,male,26,monolingual
s040,female,23,bilingual
s044,male,22,monolingual
s048,male,21,monolingual
s052,male,22,monolingual
s056,nonbinary,23,monolingual
s060,male,19,monolingual
s064,male,missing,monolingual
s068,female,20,bilingual
s072,female,21,monolingual
s076,male,24,monolingual
s080,female,21,monolingual
s084,male,21,monolingual
s088,female,20,monolingual
s092,male,20,monolingual
s096,male,24,bilingual
s100,male,23,monolingual
s104,female,missing,bilingual
s108,male,missing,monolingual
s112,female,20,monolingual
s116,male,missing,bilingual
s120,male,20,bilingual
s124,nonbinary,22,monolingual
s128,male,22,monolingual
s132,female,21,monolingual
s136,female,25,bilingual
s140,female,22,monolingual
s144,male,23,bilingual
s148,male,21,monolingual
s152,male,21,bilingual
s156,male,25,bilingual
s160,NA,19,monolingual
s164,male,20,monolingual
s168,male,23,monolingual
s172,female,22,bilingual
s176,male,22,monolingual
s180,female,20,monolingual
s184,male,23,monolingual
s188,male,19,bilingual
s192,male,20,bilingual
s196,female,20,monolingual
s200,male,19,monolingual
s204,female,18,monolingual
s208,male,23,monolingual
s212,male,20,monolingual
s216,female,21,monolingual
s220,male,20,bilingual
s224,male,20,monolingual
s228,NA,20,bilingual
s232,female,23,monolingual
s236,female,21,bilingual
s240,male,21,monolingual
s244,nonbinary,21,monolingual
s248,NA,21,monolingual
s252,female,18,bilingual
s256,male,21,monolingual
s260,male,21,monolingual
s264,male,23,bilingual
s268,male,20,bilingual
s272,female,24,monolingual
s276,male,20,monolingual
s280,female,18,monolingual
s284,male,19,bilingual
s288,male,24,monolingual
s292,male,20,monolingual
s296,female,19,monolingual
s300,female,21,bilingual
s304,female,18,monolingual
s308,male,21,monolingual
s312,male,18,bilingual
s316,nonbinary,23,monolingual
s320,female,22,monolingual
s324,male,23,monolingual
s328,male,25,monolingual
s332,male,24,bilingual
s336,male,24,bilingual
s340,female,21,monolingual
s344,female,20,monolingual
s348,nonbinary,22,monolingual
s352,female,25,monolingual
s356,male,20,monolingual
s360,male,20,bilingual
s364,male,19,monolingual
s368,male,21,monolingual
s372,male,20,monolingual
s376,male,20,monolingual
s380,female,19,monolingual
s384,male,21,monolingual
s388,male,23,monolingual
