subj_id,q1F,q2R,q3F,q4R,q5F,q6R,q7F,q8R
s229,3,5,4,4,4,4,5,6
s207,2,5,2,7,3,6,3,3
s231,4,3,4,5,2,3,5,5
s058,3,3,4,5,4,5,1,4
s170,2,6,3,4,3,4,4,4
s039,4,5,4,2,3,4,5,4
s195,6,4,4,6,3,5,3,4
s131,4,4,5,4,5,5,5,2
s272,3,5,4,6,5,3,5,5
s166,3,5,4,4,3,5,3,3
s199,6,2,6,1,6,2,7,4
s264,4,3,7,2,6,1,5,2
s223,2,5,3,6,3,4,4,3
s250,3,5,2,4,3,3,5,5
s095,3,6,5,5,2,7,3,6
s245,3,4,5,5,5,5,4,5
s305,5,5,3,4,1,7,1,7
s227,4,4,3,3,5,4,5,4
s254,3,2,2,1,5,1,3,3
s103,4,3,4,5,6,3,4,5
s020,1,6,3,5,1,5,1,4
s210,2,5,1,5,3,3,2,3
s263,2,4,3,4,2,4,5,3
s306,5,1,3,2,6,3,4,2
s028,4,4,4,4,7,2,5,6
s235,2,5,1,5,3,6,5,4
s090,4,6,3,4,3,5,3,4
s036,3,4,4,5,1,7,2,6
s276,3,1,5,5,4,5,4,2
s133,4,4,4,3,7,5,5,3
s016,2,3,3,3,1,4,4,4
s004,5,3,7,3,4,4,7,3
s147,5,4,6,5,4,3,3,3
s167,4,3,5,3,3,4,5,4
s026,1,6,3,7,2,5,3,4
s114,2,4,5,4,5,2,5,3
s071,5,4,1,4,4,5,2,5
s212,3,4,2,5,2,5,3,5
s247,5,4,5,4,6,6,4,4
s262,1,4,3,4,3,6,3,3
s178,1,3,4,4,5,3,5,2
s101,5,4,6,4,4,3,4,7
s260,3,5,6,4,4,3,6,2
s279,5,5,3,5,3,4,3,6
s285,4,5,5,2,4,2,4,5
s284,3,2,3,5,4,3,5,4
s215,2,3,5,4,4,4,2,4
s078,3,6,4,4,4,5,5,4
s220,5,3,6,3,4,3,5,4
s100,3,2,7,5,4,4,4,3
s093,1,3,4,5,5,4,4,4
s083,5,5,5,3,4,4,6,5
s274,3,4,3,4,2,4,3,5
s303,4,4,4,5,2,7,4,5
s086,1,5,3,5,1,4,4,5
s121,4,4,4,5,4,3,5,5
s228,3,3,5,2,6,4,4,4
s116,1,4,4,5,3,7,2,7
s252,1,4,4,5,4,1,2,4
s296,4,2,7,3,4,1,4,1
s217,6,4,3,3,3,4,3,5
s115,4,4,4,5,5,4,3,3
s088,3,1,4,3,4,5,6,2
s073,5,5,4,1,6,4,4,4
s244,3,1,5,5,4,6,6,3
s175,1,5,1,4,1,7,1,7
s134,4,5,3,4,5,5,4,5
s120,3,4,4,4,1,5,1,4
s209,2,4,4,4,3,5,2,5
s055,3,6,2,4,3,4,2,4
s230,5,3,4,3,4,4,2,7
s064,2,3,3,1,3,5,2,4
s085,4,4,4,3,4,4,4,1
s148,5,3,4,2,4,2,5,1
s033,4,4,4,3,2,3,5,2
s105,2,4,4,5,2,5,3,5
s059,1,6,2,4,1,7,2,6
s289,4,3,6,3,4,2,4,1
s183,4,2,7,3,6,2,6,1
s029,5,4,2,4,5,4,4,6
s173,5,2,4,2,7,3,4,2
s014,3,6,3,4,3,5,3,4
s119,4,3,4,6,3,4,3,5
s177,4,3,3,3,4,3,6,5
s218,3,2,5,4,5,2,2,3
s261,2,4,4,3,4,3,4,7
s110,4,2,2,4,5,4,4,5
s283,1,4,5,5,6,3,3,4
s241,1,6,1,5,2,7,3,7
s091,1,4,3,7,1,7,2,5
s054,5,2,7,3,4,4,5,3
s249,4,4,3,5,4,6,2,5
s043,4,4,5,3,5,1,5,2
s031,5,6,3,4,6,4,4,5
s144,2,5,3,4,4,5,4,5
s060,2,4,5,3,5,4,6,3
s123,4,4,5,4,4,3,4,3
s155,3,1,6,3,6,1,6,4
s277,3,5,4,3,1,4,4,3
