subj_id,q01F,q02R,q03F,q04R,q05F,q06R,q07F,q08R,q09F,q10R,q11F,q12R
s237,7,1,6,4,7,2,6,4,6,3,3,2
s140,4,4,4,4,2,2,5,5,5,4,4,4
s198,5,4,5,4,5,2,5,1,4,5,5,2
s084,3,3,6,4,4,1,5,4,5,5,4,3
s159,5,3,4,4,2,6,4,5,5,4,4,4
s300,6,5,2,7,4,3,4,3,3,6,4,5
s134,6,2,6,3,2,2,2,4,5,5,5,1
s296,3,2,2,4,4,4,3,5,4,5,3,4
s067,5,1,4,7,5,3,6,3,4,3,5,3
s081,3,5,1,5,1,4,4,5,3,5,4,5
s105,4,2,4,6,3,3,4,1,1,7,5,5
s336,4,4,3,5,2,5,5,2,6,4,1,5
s232,4,3,4,3,2,4,6,4,4,3,4,3
s057,4,4,6,5,3,6,4,4,3,5,4,3
s330,3,5,3,7,4,7,2,7,3,7,3,6
s189,5,2,4,6,4,3,4,4,6,4,6,1
s122,2,2,2,2,3,5,2,5,3,7,3,4
s008,6,2,7,4,5,4,7,2,6,2,5,3
s112,4,6,3,4,3,4,3,3,1,5,1,4
s039,4,3,3,5,4,4,3,5,4,6,3,3
s312,3,5,4,7,4,4,3,5,2,6,5,5
s040,5,2,4,5,3,5,3,5,3,2,4,3
s308,4,7,5,4,3,4,4,6,4,5,4,1
s251,2,1,4,4,5,3,4,4,4,2,7,2
s028,3,5,4,7,3,5,3,5,3,6,3,2
s188,1,5,2,7,2,6,1,5,3,3,2,4
s223,4,2,3,5,3,7,3,6,2,6,4,2
s075,3,2,5,5,4,4,5,2,4,3,4,3
s280,5,3,7,4,5,4,6,1,7,5,5,NA
s284,4,5,3,6,1,2,4,5,6,5,4,4
s277,3,6,5,6,3,5,3,5,4,7,3,4
s056,5,4,4,2,4,3,5,5,7,4,4,3
s125,4,4,3,7,4,6,3,4,3,5,2,6
s184,5,3,4,7,3,6,3,5,5,5,2,5
s192,4,1,5,4,4,5,4,3,5,5,3,3
s087,3,3,4,5,4,4,3,4,5,NA,4,3
s208,2,4,3,6,2,4,3,4,3,7,3,4
s264,4,5,4,6,3,6,4,3,4,6,2,5
s119,4,3,2,7,3,5,3,3,5,5,5,4
s020,4,3,4,4,4,6,5,4,3,7,5,4
s356,3,4,5,4,3,3,4,3,5,3,3,2
s202,2,7,3,NA,4,5,1,5,3,4,4,7
s014,4,2,6,4,3,5,4,3,5,4,5,2
s016,3,5,5,4,4,4,4,2,2,4,5,1
s351,6,4,3,6,6,3,2,4,4,1,4,5
s069,6,4,5,5,5,2,7,4,3,5,5,2
s256,4,4,5,5,4,4,4,2,4,7,5,5
s301,2,3,5,2,3,4,4,5,3,6,5,4
s118,3,3,4,6,2,4,3,6,4,6,3,5
