subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F
s068,1,4,4,5,1,5,3,7,3,7,2
s258,3,6,4,5,3,4,2,4,3,4,2
s063,4,5,6,1,3,4,5,5,4,4,3
s185,2,4,4,4,3,3,5,3,5,5,7
s213,5,3,5,4,4,5,4,2,6,3,4
s222,5,5,2,6,2,3,1,4,3,5,5
s027,5,3,5,2,4,3,4,4,5,4,4
s303,5,6,4,4,4,4,4,2,5,2,3
s245,6,4,5,2,4,1,4,5,4,2,4
s128,2,3,4,5,6,3,5,2,5,4,2
s066,6,5,5,3,6,3,5,2,5,3,4
s118,3,2,3,3,4,4,5,3,4,2,4
s110,4,5,5,2,4,4,5,3,5,3,3
s040,4,3,5,5,6,2,4,4,6,4,4
s315,6,3,3,3,7,3,5,4,6,3,4
s182,1,5,3,4,6,5,2,5,6,3,4
s057,3,5,3,5,6,4,4,4,4,NA,5
s043,1,6,3,5,3,7,3,4,2,4,4
s136,1,6,3,4,4,4,3,5,4,3,3
s273,1,6,6,5,3,3,5,3,4,3,4
s246,3,4,3,1,4,5,1,7,4,5,2
s054,6,5,4,4,5,4,4,4,6,2,4
s014,5,6,4,4,4,5,2,5,2,5,4
s075,5,5,4,1,5,3,6,2,7,4,4
s053,2,4,4,4,4,4,4,4,4,4,4
s074,1,7,3,4,3,4,2,5,3,7,4
s087,4,6,5,3,5,2,5,7,3,3,6
s009,1,5,4,4,5,3,2,6,4,4,3
s101,4,4,6,5,3,2,4,4,3,5,2
s122,4,3,5,4,4,4,4,4,5,3,4
s010,5,4,5,3,5,4,4,4,4,4,3
s239,4,5,4,3,4,4,1,4,4,5,2
s265,5,5,3,4,2,3,4,4,5,3,4
s174,1,7,3,5,2,6,2,5,2,4,2
s047,6,2,5,2,5,4,3,3,5,3,4
s168,3,6,3,4,4,5,4,5,3,5,2
s080,2,5,3,5,4,4,4,4,4,6,5
s309,3,2,4,1,5,5,4,3,6,2,4
s299,3,4,4,2,3,5,4,4,5,4,5
s079,5,4,3,1,5,3,3,2,5,4,2
s106,4,4,3,1,4,2,7,3,6,1,5
s310,5,2,3,3,6,3,6,3,6,3,3
s250,4,3,2,3,3,3,4,5,3,5,4
s072,3,5,4,4,4,4,2,4,5,2,4
s192,3,4,2,4,3,3,4,6,4,5,2
s211,4,6,5,1,4,5,7,3,6,2,3
s194,3,6,3,3,4,7,3,4,7,3,4
s145,3,5,4,2,5,2,6,5,5,3,6
s051,3,3,5,4,3,3,7,4,7,3,4
s141,2,4,4,2,5,4,5,3,5,4,5
s159,1,3,3,4,5,4,3,4,5,3,5
s052,2,5,2,4,2,5,3,4,4,6,2
s314,4,3,7,1,5,4,2,2,6,1,4
s300,4,4,2,3,4,5,4,3,6,4,5
s229,1,6,3,5,3,4,2,3,2,6,1
s294,3,1,5,2,6,4,5,1,4,4,5
s013,5,4,4,4,3,2,2,4,4,6,3
s237,2,3,3,2,4,3,3,6,4,5,3
s137,3,4,4,5,3,5,1,2,4,4,2
s156,1,5,3,4,4,3,4,6,1,5,4
s226,2,6,2,7,4,6,3,5,2,5,2
s020,5,5,6,2,5,3,5,1,5,1,5
s244,2,5,2,3,4,4,1,4,6,6,1
s176,1,4,3,4,2,7,2,5,3,6,1
s292,3,5,5,4,4,3,4,3,4,6,5
s157,4,6,3,4,5,3,4,3,5,4,4
s008,2,6,4,5,1,4,5,5,2,6,4
s055,3,4,4,4,5,2,3,2,3,6,4
s191,3,2,6,3,5,4,4,2,5,4,5
s289,4,5,5,1,5,3,6,2,5,4,5
s240,4,5,4,4,5,2,5,2,4,3,4
s287,4,2,5,2,4,7,4,1,4,2,5
s099,2,NA,4,5,4,6,4,6,4,5,4
s144,3,7,4,4,3,4,5,4,6,3,4
s221,4,5,6,1,5,4,5,2,3,4,6
s173,2,4,4,5,5,5,4,1,6,3,3
s288,6,1,5,1,6,1,6,3,6,3,6
s095,4,3,4,2,3,5,4,2,5,3,5
s263,5,1,6,4,5,4,7,3,5,3,5
s264,2,5,4,5,4,5,4,7,4,4,3
s316,2,6,4,4,2,4,4,6,2,4,3
s196,4,1,5,3,5,NA,4,4,5,4,5
s071,4,1,6,2,7,1,6,3,5,3,5
s114,1,4,4,5,2,5,2,6,4,3,1
s207,3,3,5,5,5,3,3,1,7,4,5
s132,3,5,2,1,2,6,4,4,7,7,4
s090,4,2,5,3,7,3,4,5,6,1,7
s235,1,4,4,3,4,4,3,5,7,4,5
s171,1,6,3,3,1,7,1,7,5,4,3
s166,1,7,3,3,1,7,1,7,2,6,1
s302,3,4,6,2,5,3,3,3,6,2,4
s117,2,4,4,3,3,6,3,4,6,6,2
s272,5,4,3,2,4,4,2,4,5,5,4
s058,5,5,5,2,6,4,5,5,5,5,3
s155,2,6,1,4,1,3,3,3,2,3,6
s305,5,4,4,2,6,2,4,5,4,4,3
s102,5,2,5,3,5,1,7,2,7,4,5
s038,4,4,2,3,1,5,3,3,4,5,2
s227,3,6,4,2,3,3,4,4,4,5,4
s151,4,5,3,3,5,4,1,5,4,4,5
s037,4,7,4,3,4,5,2,6,5,3,7
s138,3,5,2,3,2,4,3,5,3,7,1
s077,3,1,5,1,5,2,NA,3,6,3,7
s003,3,4,3,3,4,7,3,6,4,7,3
s065,3,6,3,5,4,4,3,5,3,7,5
s238,4,3,5,3,4,3,5,6,4,3,4
s205,3,4,5,4,3,4,4,1,3,3,5
s152,4,1,4,3,3,5,3,3,5,3,3
s073,5,4,2,4,5,6,3,4,3,4,4
s220,6,4,4,3,5,4,3,4,4,6,4
s210,4,4,5,3,4,6,4,1,7,4,3
s150,4,3,5,4,7,4,5,5,4,4,4
s089,2,4,4,4,5,6,2,5,4,5,2
s184,1,6,3,5,2,7,4,6,3,5,1
s011,2,3,5,2,4,1,5,3,7,4,4
s291,3,4,1,4,1,4,3,4,5,5,2
s041,6,4,4,2,4,4,4,4,4,5,4
s249,3,5,3,4,4,5,4,4,2,5,5
s007,4,3,1,3,4,3,4,3,7,2,3
s131,4,5,4,3,4,1,5,NA,4,4,5
s060,5,4,3,2,5,3,4,3,4,4,4
