subj_id,gender,age,language
s003,male,19,monolingual
s007,male,22,bilingual
s011,male,21,monolingual
s015,female,22,bilingual
s019,male,20,monolingual
s023,nonbinary,20,monolingual
s027,male,23,monolingual
s031,nonbinary,21,monolingual
s035,male,21,monolingual
s039,nonbinary,22,monolingual
s043,male,19,monolingual
s047,male,22,monolingual
s051,NA,20,bilingual
s055,male,22,monolingual
s059,male,22,bilingual
s063,female,23,monolingual
s067,male,21,monolingual
s071,female,21,bilingual
s075,male,21,monolingual
s079,male,20,monolingual
s083,female,22,bilingual
s087,male,20,monolingual
s091,female,22,monolingual
s095,male,22,monolingual
s099,female,21,bilingual
s103,nonbinary,missing,bilingual
s107,female,22,monolingual
s111,male,20,monolingual
s115,female,23,bilingual
s119,female,22,bilingual
s123,male,21,monolingual
s127,male,21,bilingual
s131,male,21,bilingual
s135,male,19,monolingual
s139,male,20,monolingual
s143,female,20,monolingual
s147,female,18,bilingual
s151,NA,21,bilingual
s155,male,21,monolingual
s159,male,22,monolingual
s163,female,21,monolingual
s167,male,22,monolingual
s171,female,21,monolingual
s175,female,22,monolingual
s179,female,22,monolingual
s183,male,missing,monolingual
s187,male,21,monolingual
s191,male,20,bilingual
s195,male,20,monolingual
s199,female,21,monolingual
s203,male,19,bilingual
s207,female,23,bilingual
s211,male,18,monolingual
s215,female,21,monolingual
s219,male,23,monolingual
s223,male,missing,bilingual
s227,female,20,monolingual
s231,female,21,monolingual
s235,nonbinary,23,monolingual
s239,female,21,bilingual
s243,nonbinary,20,bilingual
s247,male,missing,bilingual
s251,male,23,bilingual
s255,female,19,bilingual
s259,male,missing,monolingual
s263,male,20,bilingual
s267,nonbinary,19,monolingual
s271,male,22,monolingual
s275,female,21,monolingual
s279,nonbinary,21,monolingual
s283,female,18,bilingual
s287,female,23,monolingual
s291,NA,22,monolingual
s295,male,20,monolingual
s299,male,19,monolingual
s303,male,18,monolingual
s307,male,22,monolingual
s311,male,18,monolingual
s315,male,20,monolingual
s319,female,21,monolingual
s323,nonbinary,19,bilingual
