subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7,Rq8,Fq9
s244,2,5,4,6,4,3,5,4,4
s335,4,4,6,6,4,3,2,7,2
s110,5,2,5,1,5,4,3,3,2
s021,6,2,4,4,5,1,4,4,5
s068,6,7,3,6,3,4,4,7,1
s276,5,3,6,4,4,3,4,3,4
s233,4,4,7,3,4,4,5,4,6
s016,3,5,3,2,5,4,4,5,3
s138,5,4,7,1,5,2,5,2,5
s278,7,2,7,1,4,3,4,4,7
s029,4,4,5,3,4,3,6,6,5
s008,3,2,3,4,3,3,1,3,4
s069,3,4,5,4,4,5,5,4,5
s245,2,7,2,3,2,7,3,4,3
s280,2,5,4,3,1,6,2,6,4
s339,4,3,2,3,2,3,3,5,3
s271,4,5,2,6,2,7,3,4,3
s296,1,5,1,7,3,7,3,7,2
s154,2,7,2,3,2,4,5,5,4
s124,5,4,4,5,5,3,4,5,7
s082,5,4,3,2,2,5,4,3,7
s272,2,5,5,4,4,5,3,5,4
s071,4,5,3,6,3,4,2,2,3
s020,5,2,3,4,3,5,4,6,4
s074,4,5,3,3,3,5,2,4,5
s314,1,6,1,6,1,6,5,6,3
s114,1,5,4,5,2,5,6,5,1
s219,6,2,6,1,4,3,5,4,3
s307,3,3,4,2,4,5,6,4,5
s052,5,4,2,3,6,3,7,4,6
s056,7,3,7,4,6,6,4,3,4
s312,2,5,3,5,4,5,3,6,4
s030,3,4,2,4,3,5,4,6,3
s185,4,3,5,3,5,1,4,NA,5
s196,5,2,4,1,5,4,5,1,5
s177,4,3,3,4,4,3,6,4,4
s136,3,7,3,6,2,5,1,6,5
s267,4,6,4,4,3,4,4,4,3
s326,6,4,4,4,4,2,3,4,5
s294,5,5,5,5,4,3,4,4,2
s224,4,5,4,5,4,3,4,5,4
s100,3,4,6,4,3,4,4,6,4
s057,3,3,4,3,4,4,3,2,2
s288,4,4,3,4,4,3,3,5,4
s009,3,3,3,4,1,4,2,5,4
s103,7,2,7,3,6,4,7,4,6
s349,1,4,4,5,1,3,4,4,3
s190,5,2,4,3,4,5,2,4,3
s146,3,7,4,5,4,5,3,6,2
s323,5,3,6,3,4,1,3,2,6
s215,7,4,5,5,3,4,5,3,3
s163,6,5,4,3,4,5,5,6,2
s247,2,7,3,5,1,5,5,6,1
s075,2,5,5,3,4,6,4,4,4
s157,3,5,4,5,3,7,4,4,5
s092,3,6,4,6,4,6,4,6,2
s209,5,3,6,2,4,4,3,5,2
s277,2,4,4,4,5,3,4,4,5
s321,5,1,5,3,6,2,6,1,6
s198,5,4,3,2,4,4,5,3,4
s350,2,6,4,4,4,6,3,5,2
s235,3,4,5,4,3,5,4,4,4
s205,5,4,4,5,5,5,4,2,6
s183,2,6,1,4,3,4,2,5,2
s200,2,7,2,5,4,4,4,NA,4
s064,5,5,6,3,4,4,4,3,4
s059,4,6,4,3,2,4,6,3,5
s088,2,5,1,7,5,4,7,7,3
s254,3,1,5,2,5,1,7,1,5
s005,5,3,6,4,6,3,5,2,3
s148,2,5,4,5,2,5,4,3,3
s304,3,4,3,7,3,4,2,4,2
s264,2,5,5,5,5,2,2,NA,4
s002,5,3,3,4,3,4,3,4,4
s204,5,4,5,3,6,3,4,6,4
s259,1,4,5,4,5,2,3,5,4
s286,5,4,7,2,5,1,7,5,4
s297,5,6,4,4,2,4,3,5,4
s070,7,4,7,3,5,2,4,3,4
s045,4,4,5,6,4,3,4,2,5
