subj_id,F q1,R q2,F q3,R q4,F q5,R q6,F q7,R q8
s089,2,7,2,7,3,7,1,6
s318,1,5,2,6,2,5,4,4
s238,4,4,2,4,3,2,6,4
s061,6,2,7,2,5,2,4,2
s007,6,5,5,3,4,2,4,2
s048,3,5,3,7,3,5,5,5
s218,7,1,7,3,4,1,6,1
s326,2,5,3,6,3,7,3,4
s046,7,3,5,6,5,2,4,3
s111,5,5,5,1,5,5,5,1
s147,4,4,4,7,5,3,2,3
s045,4,3,7,5,5,4,5,2
s174,4,5,5,4,3,4,4,4
s011,6,2,5,5,4,3,4,2
s012,5,3,4,6,4,4,5,2
s319,5,4,3,4,2,3,3,3
s010,4,4,4,5,5,4,4,2
s105,6,4,4,4,4,4,5,4
s073,3,4,4,3,2,2,5,1
s021,5,6,3,4,4,5,4,3
s271,5,3,6,5,5,4,3,4
s030,4,5,2,4,4,4,3,3
s352,5,4,3,4,5,1,NA,2
s053,4,5,3,5,2,5,3,4
s208,7,5,4,6,2,5,5,4
s171,4,5,5,4,5,3,4,3
s062,4,4,3,3,2,5,2,4
s072,4,5,3,7,2,6,3,5
s102,5,6,6,3,5,2,4,4
s294,6,4,3,5,4,5,4,4
s146,4,7,5,5,3,4,3,5
s225,6,3,4,5,5,4,4,3
s334,5,2,5,1,6,2,7,5
s050,5,4,3,5,4,4,3,4
s265,4,4,2,6,2,4,4,5
s227,4,6,2,4,3,7,5,4
s173,4,5,4,7,3,5,4,5
s328,5,3,1,4,3,5,3,5
s203,3,3,4,4,5,4,5,4
s166,3,7,4,7,2,4,4,4
s060,3,5,1,7,3,4,4,5
s156,7,4,3,5,5,3,6,3
s278,3,6,5,5,6,2,4,6
s140,5,5,1,4,4,4,3,5
s242,5,3,6,4,4,3,5,2
s232,4,6,2,4,1,5,4,5
s333,6,4,4,2,5,NA,4,4
s213,4,3,6,2,6,2,5,4
s136,5,4,4,4,5,5,6,4
s290,NA,5,2,5,3,3,4,5
s125,4,6,3,6,2,7,3,7
s309,6,5,5,6,4,4,5,2
s231,5,4,3,6,5,5,2,4
s189,4,4,5,7,3,2,4,4
s251,4,4,1,7,2,7,2,6
s033,4,4,2,5,3,5,5,3
s041,2,3,4,5,5,3,5,3
s262,2,6,1,6,1,6,4,5
s306,2,7,3,7,3,7,3,5
s241,7,3,6,5,4,3,5,1
s133,5,5,2,7,5,4,4,3
s095,5,5,3,4,3,7,3,3
s308,4,3,5,4,2,3,4,4
s303,3,4,7,3,2,5,5,5
s016,4,4,3,5,1,4,4,7
s209,6,4,3,7,4,3,3,5
s280,4,5,3,6,4,4,4,7
s279,2,7,3,5,4,7,2,4
s268,5,3,5,2,6,1,7,2
s289,1,6,1,7,2,3,4,7
s153,5,3,5,2,7,4,6,3
s182,4,6,1,6,2,5,3,4
s068,4,4,4,4,4,4,4,4
s008,6,5,4,7,5,2,3,5
s255,1,7,1,7,3,7,2,3
s253,1,4,4,6,2,7,2,4
s107,4,4,6,5,6,2,5,4
s219,2,4,2,7,2,6,4,4
s022,4,5,4,4,4,5,3,4
s027,5,3,5,4,4,5,4,5
s065,4,6,2,6,3,5,3,4
s221,5,3,3,5,6,2,4,4
s298,3,4,5,7,5,5,4,4
s149,6,3,6,4,4,6,2,3
s079,6,2,5,4,6,3,7,2
s093,4,4,4,4,5,3,4,3
s351,3,6,NA,6,3,4,2,5
s228,4,7,4,6,4,5,2,5
s040,3,5,1,7,1,5,3,6
s292,2,5,1,7,1,7,1,6
s049,6,6,5,2,6,3,5,4
s130,2,7,4,7,1,5,2,6
s059,4,5,2,5,3,4,5,4
s110,6,5,6,6,4,5,4,4
s234,4,3,7,4,7,2,2,2
s350,4,3,4,4,5,4,4,3
s083,4,6,3,6,5,3,5,3
s091,6,4,3,4,4,5,5,1
s305,2,6,5,7,1,5,4,3
s239,5,3,4,6,4,2,3,2
s283,6,6,5,7,3,4,5,2
s329,5,1,5,4,5,3,5,3
s029,4,5,1,7,2,5,4,6
s043,4,5,3,6,1,6,6,4
s080,5,5,4,4,4,5,4,1
s207,3,5,5,5,5,6,3,4
s070,7,5,6,2,6,2,6,1
s115,5,4,4,6,3,5,2,5
s312,7,4,4,4,4,3,4,4
s152,4,2,4,4,4,3,3,7
s066,3,4,3,4,1,NA,3,6
s162,3,7,1,6,1,5,2,4
s276,6,3,2,3,4,4,5,2
s180,6,6,4,5,4,5,5,2
s172,6,2,6,2,4,1,6,1
s124,7,4,5,5,6,4,3,3
s092,5,2,5,5,7,5,5,3
s215,5,5,4,6,1,5,3,3
s058,4,7,2,5,2,5,4,3
s119,3,5,5,5,3,4,2,5
s201,4,3,7,4,5,2,7,1
s054,3,4,4,6,6,4,1,5
s039,6,3,5,4,2,4,5,1
s195,2,4,3,5,3,5,3,4
s240,3,5,3,4,3,6,4,4
s165,3,3,2,5,4,4,1,4
s188,3,3,4,4,4,5,4,2
s024,5,4,4,3,7,4,3,3
s311,6,2,4,2,3,1,4,2
s324,4,7,5,7,4,4,2,5
s230,5,4,4,5,2,4,3,3
s025,5,4,5,4,5,4,5,5
s078,2,5,2,6,2,4,4,5
s246,3,4,2,7,2,4,2,4
s143,6,1,4,3,4,1,5,4
s315,4,6,1,6,2,4,1,3
s183,6,3,4,6,1,3,4,4
s256,6,3,6,4,6,3,4,5
s018,4,7,4,5,3,5,4,5
s254,5,5,2,6,2,5,4,6
s169,5,4,5,3,5,2,4,3
s343,3,4,7,6,4,5,3,2
s114,6,3,5,4,4,5,4,3
s154,4,5,NA,5,3,4,3,4
s131,5,4,3,3,4,4,5,2
s327,4,5,4,5,4,3,4,5
