subj_id,gender,age,language
s001,NA,22,monolingual
s005,male,19,monolingual
s009,male,21,monolingual
s013,male,18,monolingual
s017,female,22,bilingual
s021,male,22,monolingual
s025,male,22,monolingual
s029,male,25,monolingual
s033,male,23,bilingual
s037,female,22,monolingual
s041,male,22,monolingual
s045,male,20,monolingual
s049,male,23,monolingual
s053,female,24,bilingual
s057,male,19,bilingual
s061,nonbinary,23,bilingual
s065,male,19,monolingual
s069,nonbinary,22,bilingual
s073,male,21,monolingual
s077,male,21,monolingual
s081,female,missing,monolingual
s085,male,21,bilingual
s089,NA,22,monolingual
s093,female,21,monolingual
s097,male,23,bilingual
s101,male,20,bilingual
s105,nonbinary,18,bilingual
s109,female,23,bilingual
s113,male,20,monolingual
s117,male,21,monolingual
s121,male,21,monolingual
s125,male,19,monolingual
s129,female,21,bilingual
s133,female,24,monolingual
s137,female,22,monolingual
s141,male,20,monolingual
s145,male,22,monolingual
s149,male,20,monolingual
s153,female,missing,monolingual
s157,female,21,monolingual
s161,male,19,monolingual
s165,female,19,monolingual
s169,NA,20,monolingual
s173,NA,19,monolingual
s177,nonbinary,20,bilingual
s181,nonbinary,21,monolingual
s185,male,21,bilingual
s189,male,20,bilingual
s193,female,21,monolingual
s197,male,18,monolingual
s201,male,22,bilingual
s205,male,20,monolingual
s209,male,21,monolingual
s213,male,21,monolingual
s217,male,24,monolingual
s221,female,22,bilingual
s225,male,22,monolingual
s229,female,19,monolingual
s233,male,20,monolingual
s237,male,19,monolingual
s241,female,24,bilingual
s245,male,22,monolingual
s249,male,21,monolingual
s253,female,18,bilingual
s257,male,19,bilingual
s261,female,22,monolingual
s265,male,19,monolingual
s269,female,21,monolingual
s273,male,23,monolingual
s277,female,22,monolingual
s281,female,18,monolingual
s285,female,22,monolingual
s289,NA,21,monolingual
s293,male,20,monolingual
s297,male,21,monolingual
s301,nonbinary,19,bilingual
s305,female,19,monolingual
s309,male,19,monolingual
s313,nonbinary,18,monolingual
s317,male,22,monolingual
s321,female,22,monolingual
s325,female,21,bilingual
s329,female,20,monolingual
s333,male,21,monolingual
s337,female,18,monolingual
s341,male,missing,monolingual
s345,male,missing,monolingual
s349,nonbinary,20,bilingual
s353,female,20,bilingual
