subj_id,q01F,q02R,q03F,q04R,q05F,q06R,q07F,q08R,q09F,q10R,q11F,q12R,q13F,q14R,q15F
s102,6,1,3,1,3,1,5,2,5,1,6,3,4,2,7
s310,6,3,3,2,3,4,4,5,4,3,2,5,4,4,2
s156,5,5,2,4,2,3,3,4,1,4,4,4,4,6,3
s069,3,2,5,5,5,4,4,4,5,3,4,1,3,3,7
s333,5,3,4,3,4,4,4,5,1,2,5,3,3,4,4
s241,2,7,1,5,5,4,4,5,5,3,1,5,3,5,3
s354,3,5,2,3,5,5,6,3,2,4,4,2,4,4,4
s049,4,5,2,4,3,NA,4,4,3,5,6,6,2,6,4
s370,4,2,4,2,4,2,4,4,3,5,2,5,4,5,4
s147,4,4,4,4,5,2,7,4,3,4,3,6,4,5,3
s383,5,4,6,3,6,3,5,3,4,3,5,2,4,4,6
s221,5,4,4,5,4,4,2,3,2,5,2,5,4,3,5
s149,4,4,3,5,6,5,1,4,4,4,3,1,1,5,2
s317,5,4,4,6,3,4,4,6,3,4,6,6,4,3,4
s348,2,4,4,6,2,4,3,4,1,4,4,4,2,6,3
s353,1,5,4,2,4,4,5,5,5,5,5,3,7,4,4
s322,3,7,3,7,3,4,1,4,2,7,1,5,2,6,3
s278,4,2,4,6,2,4,4,3,4,3,5,4,4,4,5
s387,5,2,5,3,5,2,7,4,5,4,5,2,5,3,7
s382,4,4,1,3,3,2,5,4,1,4,4,3,4,5,6
s309,5,2,3,5,7,4,2,4,1,5,4,4,4,6,7
s040,5,3,3,5,4,3,7,1,3,2,3,3,5,4,4
s077,4,3,4,6,4,4,2,3,2,2,4,4,3,5,4
s232,3,3,4,5,4,7,3,1,4,5,6,2,3,5,5
s214,3,7,3,4,4,4,5,3,3,3,1,5,3,5,4
s024,5,3,3,2,7,1,7,4,5,3,6,4,5,3,5
s203,3,3,3,5,3,4,2,3,3,7,2,2,5,5,4
s167,2,5,2,4,5,3,6,4,2,6,3,4,3,5,6
s331,5,4,4,5,3,3,2,7,2,6,3,4,2,6,4
s210,4,3,3,3,3,3,7,3,4,4,5,2,4,3,4
s305,2,6,4,7,3,4,5,5,4,6,1,4,2,5,5
s207,4,2,6,5,4,4,5,6,3,4,5,5,4,6,5
s025,6,3,4,3,5,1,4,4,3,4,4,1,4,3,4
s013,3,6,1,5,4,4,3,6,2,3,3,4,4,5,4
s137,1,7,2,6,4,6,2,4,4,6,3,4,4,4,4
s290,1,4,1,5,4,5,1,6,4,5,4,5,3,5,4
s101,3,3,3,6,4,5,4,6,5,6,3,6,4,4,3
s291,5,2,4,4,4,2,6,4,2,2,4,4,4,6,6
s113,2,4,3,6,5,5,3,4,4,3,3,2,4,4,6
s067,2,7,1,7,3,6,1,7,1,6,2,7,5,5,2
s365,6,3,5,3,5,2,7,2,4,1,5,2,7,3,6
s293,3,2,4,6,6,3,4,2,3,6,5,3,6,5,4
s133,5,1,6,3,4,4,5,3,4,4,4,5,4,5,4
s349,3,2,3,4,4,3,3,2,4,4,6,3,6,1,5
s212,4,3,5,4,3,4,5,4,2,5,3,2,5,5,5
s160,4,4,7,4,5,3,4,3,3,3,4,4,6,1,6
s202,4,3,4,5,7,3,5,4,5,4,3,4,3,6,7
s213,3,2,3,5,4,4,4,5,7,5,3,2,6,1,6
s191,5,3,5,3,4,3,4,4,3,4,4,3,5,3,5
s059,2,7,4,6,4,2,3,4,4,6,5,5,4,5,4
