subj_id,q01 F,q02 R,q03 F,q04 R,q05 F,q06 R,q07 F,q08 R,q09 F,q10 R,q11 F
s078,4,2,5,4,4,4,2,6,7,4,5
s260,3,1,4,3,5,4,3,3,5,3,4
s046,4,3,3,6,4,4,5,3,4,3,4
s264,2,7,1,7,1,7,1,7,2,7,3
s007,6,NA,7,5,5,4,4,3,7,4,7
s241,3,4,4,5,7,5,5,2,NA,3,5
s013,3,5,4,4,5,4,1,2,4,5,5
s267,4,2,5,5,5,2,7,4,5,4,6
s058,2,4,3,6,3,5,4,4,4,4,4
s057,2,6,4,6,4,5,4,3,5,5,3
s206,7,1,4,4,5,2,5,2,6,2,6
s196,2,3,5,3,4,5,4,4,6,4,5
s077,3,NA,2,4,3,6,2,6,2,6,3
s158,5,5,4,2,2,5,4,4,5,4,4
s089,3,2,4,5,3,3,7,3,5,4,5
s126,4,3,4,5,5,6,5,2,4,2,4
s222,4,3,4,6,4,6,3,6,7,5,4
s084,4,4,5,5,3,4,5,4,6,5,6
s312,1,6,4,7,2,5,2,5,4,5,4
s259,7,5,2,5,4,5,3,2,6,5,5
s107,4,3,1,6,5,5,2,6,2,5,3
s184,2,4,6,3,5,5,3,2,7,5,4
s232,6,4,4,4,5,2,4,2,7,3,6
s231,1,4,4,4,4,5,4,5,5,5,4
s190,3,4,2,6,7,5,5,5,3,2,3
s163,4,3,6,3,6,3,3,3,5,4,5
s166,6,4,6,4,5,3,5,4,5,4,6
s106,4,2,3,2,4,5,NA,3,4,3,6
s150,4,4,4,5,5,5,4,6,4,4,4
s240,2,3,5,7,4,4,3,6,2,5,2
s080,4,7,4,4,4,4,5,4,6,4,6
s200,5,1,3,4,5,5,4,3,7,4,6
s026,3,2,4,4,2,7,3,6,5,4,5
s177,4,4,4,4,6,3,3,2,3,6,4
s059,2,4,5,5,4,3,3,4,4,3,4
s138,3,7,1,7,1,5,1,4,1,5,2
s179,3,3,6,5,5,3,5,5,6,6,5
s044,4,3,5,6,5,1,4,3,4,5,5
s171,5,2,5,4,5,6,6,1,6,4,7
s028,2,5,2,5,4,4,3,4,3,5,2
s280,4,4,3,7,5,5,2,4,3,5,5
s276,5,6,4,5,3,3,2,4,3,7,4
s199,1,4,3,6,2,5,3,4,1,7,2
s233,3,3,5,6,5,4,4,3,3,4,4
s115,4,4,3,4,6,6,3,3,6,3,4
s002,4,3,4,2,5,3,6,1,4,2,7
s086,1,3,4,3,3,3,3,3,4,3,3
s234,2,5,4,4,4,5,2,5,4,6,4
s003,4,3,6,3,7,4,7,3,4,3,7
s117,3,4,3,4,3,6,1,5,3,5,5
s192,4,5,6,4,4,4,4,2,6,5,5
s269,4,4,4,4,4,5,4,4,5,7,3
s195,3,2,4,4,2,3,3,6,5,2,3
s235,2,5,3,6,4,6,1,4,4,7,5
s019,2,3,5,6,5,4,4,5,3,4,5
s132,3,3,4,1,6,3,5,2,5,4,4
s297,4,4,4,4,6,5,4,3,4,3,3
s256,1,7,3,6,4,6,1,7,2,6,3
s283,4,3,5,5,4,3,3,6,4,6,3
s103,7,3,5,1,7,4,6,1,7,1,6
s122,5,3,6,4,4,3,4,1,7,2,4
