subj_id,F_q1,R_q2,F_q3,R_q4,F_q5
s011,4,NA,4,3,5
s056,5,4,4,1,6
s143,2,7,3,7,3
s170,1,4,3,4,6
s051,3,NA,5,3,5
s041,4,4,5,5,3
s232,4,4,6,3,7
s171,3,6,4,5,4
s047,5,4,3,2,2
s096,4,5,5,4,3
s200,3,4,4,3,4
s292,6,4,5,4,5
s169,6,4,5,2,6
s092,5,4,2,4,7
s109,5,4,5,1,7
s034,2,5,3,5,4
s231,3,4,5,4,6
s120,7,2,7,1,7
s007,5,4,5,7,4
s162,2,5,4,5,5
s035,2,5,4,3,4
s079,5,4,4,3,5
s045,4,6,5,6,6
s287,4,3,5,4,5
s273,2,7,3,6,4
s105,3,3,3,3,5
s063,3,6,4,5,4
s116,2,6,1,5,3
s167,3,6,3,4,6
s215,4,5,4,4,5
s158,2,6,6,5,6
s246,4,5,3,3,4
s190,3,6,4,4,3
s023,4,5,5,2,4
s018,6,5,6,4,5
s159,6,1,4,4,6
s115,4,5,4,4,6
s269,4,4,5,1,6
s233,3,5,4,5,5
s135,1,4,4,5,4
s142,5,3,5,3,4
s138,2,3,NA,5,4
s082,7,4,3,5,4
s017,5,5,4,5,5
s245,4,5,3,6,3
s002,4,2,3,6,3
s132,4,4,5,4,NA
s049,5,4,5,3,6
s252,6,5,4,5,6
s286,4,1,4,4,7
s272,3,5,4,4,4
s247,3,2,6,1,7
s301,5,7,6,3,5
s103,3,5,1,5,4
s205,7,4,5,4,6
s186,4,5,5,7,6
s192,5,4,6,5,6
s295,4,5,3,4,3
s208,4,4,3,4,4
s077,5,4,5,2,5
s145,6,5,5,1,7
s244,5,3,4,4,5
s280,4,5,5,2,4
s299,4,6,5,4,5
s239,6,5,4,4,6
s025,4,3,4,5,5
s068,4,5,5,3,3
s064,4,7,1,5,4
s015,5,5,3,3,4
s177,3,7,5,4,4
s283,6,5,4,5,5
s282,5,4,4,4,5
s166,5,6,4,3,5
s014,3,6,2,2,2
s005,1,6,4,5,5
s140,2,3,3,4,4
s230,4,4,4,5,6
s157,3,4,4,4,3
s218,3,7,2,5,4
s193,4,3,6,4,6
s089,6,6,4,4,5
s012,5,7,1,7,4
s243,4,4,5,5,3
s274,5,6,4,4,6
s127,4,6,7,2,5
s191,4,6,3,5,5
s263,2,6,5,5,3
s057,3,4,4,4,6
s195,2,5,2,5,5
s278,2,5,3,7,5
s222,3,4,3,2,5
s160,4,6,4,4,5
s150,4,6,1,7,3
s020,5,7,4,1,6
s306,4,5,4,6,4
s093,5,4,4,2,5
s016,2,4,6,2,5
s154,4,5,3,3,4
s074,6,4,6,4,5
s210,5,3,3,4,5
s302,3,4,3,6,4
s257,3,7,3,5,5
s276,5,6,4,4,6
s043,5,4,5,2,4
s112,4,4,5,4,5
s266,4,4,3,1,3
s151,2,5,4,4,4
s029,4,6,2,4,5
s042,4,5,3,3,4
s039,5,3,6,1,7
s199,1,7,2,4,3
s075,7,2,7,2,7
s147,3,4,4,5,3
s211,3,5,4,6,5
s285,4,4,5,3,6
s279,2,7,3,5,3
s212,4,4,4,4,6
s163,3,2,3,1,6
s288,3,3,7,3,5
s137,5,5,5,6,4
s194,5,3,4,3,6
s234,4,5,4,5,5
s185,3,4,7,4,6
s207,5,2,5,4,4
s061,4,5,5,4,5
s100,3,5,4,5,3
s260,5,5,4,3,5
s133,6,3,5,2,7
s242,4,5,2,5,4
s078,3,4,4,4,5
s204,3,5,4,4,4
s008,3,7,5,4,5
s180,4,4,3,6,5
s122,3,5,5,4,4
s084,2,7,5,6,2
s262,4,5,5,3,4
s067,5,6,7,3,4
s040,1,7,1,6,3
s297,3,5,3,3,5
s291,5,2,4,3,6
s050,3,5,4,3,4
s076,2,6,1,7,3
s197,3,4,3,5,4
s277,4,3,4,3,4
s097,5,4,3,3,5
s134,4,1,2,3,6
s144,3,4,4,3,5
s073,4,5,4,6,4
s099,4,3,7,3,6
s066,5,5,5,6,4
s136,4,4,4,6,7
s268,2,4,2,2,4
s048,2,7,4,3,4
s038,1,4,4,2,5
s253,3,5,6,3,6
s221,2,6,4,4,4
s264,2,7,4,4,5
s090,3,6,4,5,2
s255,3,5,3,4,4
s101,3,7,1,4,2
s290,3,4,4,4,6
s175,2,5,1,4,4
s179,3,4,2,7,2
s184,4,6,4,5,3
s305,6,3,7,3,7
s058,3,5,4,4,5
s298,2,3,3,3,4
s225,5,5,6,1,5
s188,1,6,2,5,3
s187,5,6,3,5,6
s087,4,5,3,2,4
s060,4,6,2,3,6
s300,4,7,3,3,5
s085,4,5,1,5,3
s161,5,5,4,5,7
s102,4,4,4,4,2
s152,3,7,1,3,4
s281,4,6,2,4,5
s118,4,5,5,3,7
s155,7,2,7,2,7
s165,5,5,4,3,5
s037,7,4,4,2,5
s303,4,3,4,5,4
s183,4,4,2,5,4
s088,4,6,5,6,4
s296,3,5,2,3,4
s121,1,7,2,5,5
s236,3,5,3,4,5
s013,7,3,4,3,5
s125,5,4,6,5,5
s110,5,3,5,3,6
s220,3,7,3,4,4
s203,4,6,5,4,3
s095,2,6,3,4,3
s256,6,4,2,3,3
s072,NA,5,3,3,4
s117,6,4,4,2,6
s106,7,5,4,5,6
s094,6,6,5,4,5
s098,2,3,4,1,5
s086,3,6,4,5,4
s119,4,3,3,3,7
s178,3,4,4,7,4
s267,7,3,6,4,5
s229,3,3,4,4,4
s293,4,5,5,1,6
s202,5,4,5,3,6
s028,4,6,1,5,4
s104,6,2,5,3,5
s130,5,6,2,1,5
s173,2,7,3,6,4
s031,4,5,6,4,7
s258,2,6,3,6,2
s172,1,7,4,6,2
s241,3,5,3,4,4
s182,3,6,3,4,4
s027,4,4,3,4,5
s209,3,4,3,3,6
s227,4,6,5,2,4
s284,6,1,6,1,5
s254,5,4,4,2,7
s174,1,5,4,6,4
s080,3,4,2,5,5
s006,6,3,4,5,7
s156,6,4,4,6,4
s289,5,6,3,6,5
s270,3,5,3,3,4
s304,2,6,3,6,3
s055,3,5,5,4,5
s139,1,4,6,2,4
s083,4,4,7,3,6
s223,4,4,5,5,7
s217,4,5,3,3,7
s036,5,5,5,2,6
s019,6,4,5,2,4
s129,2,5,4,4,7
s176,5,3,5,4,3
s294,4,4,5,5,4
s228,4,6,5,6,5
s030,4,3,7,1,7
s213,4,6,2,5,5
s010,5,4,4,4,6
s071,NA,5,4,3,5
s126,4,4,6,4,4
s081,2,5,5,5,3
s164,4,5,4,1,4
s091,2,6,3,5,3
s275,4,6,5,6,5
s128,7,6,3,3,4
s065,4,3,7,1,5
s114,4,5,4,4,4
s237,4,3,4,4,5
s181,4,5,7,4,6
s226,3,7,3,7,2
s054,5,3,7,4,3
s259,4,5,3,4,6
s053,6,4,7,2,7
s009,3,6,3,3,5
s271,2,7,4,4,4
s022,5,7,4,7,3
s196,4,5,4,4,5
s146,6,5,5,3,4
s001,3,7,4,5,5
s003,4,7,2,4,2
s046,4,3,4,5,5
s261,6,4,6,2,7
s131,4,5,4,3,5
s250,5,4,5,4,3
s108,5,3,6,4,7
s004,6,3,6,5,4
s201,5,6,4,4,4
s107,4,3,5,3,5
s026,3,5,4,3,6
s059,4,6,4,3,5
s238,3,5,5,5,5
s148,4,3,4,3,2
s123,3,6,5,6,5
s235,4,5,5,1,6
s249,4,4,5,3,7
s214,5,5,4,2,5
s113,4,4,4,3,6
s206,3,5,3,5,6
s251,3,4,2,4,3
s111,4,5,3,5,5
s240,5,3,4,4,4
s153,4,5,4,4,3
s032,3,3,2,5,5
s189,7,4,3,3,7
s141,3,7,4,6,2
s069,5,4,6,1,7
