subj_id,gender,age,language
s001,NA,20,monolingual
s005,male,21,bilingual
s009,female,19,monolingual
s013,male,18,bilingual
s017,male,25,monolingual
s021,female,21,monolingual
s025,male,21,monolingual
s029,nonbinary,20,monolingual
s033,male,21,monolingual
s037,male,23,monolingual
s041,female,21,monolingual
s045,female,20,monolingual
s049,female,20,monolingual
s053,male,21,monolingual
s057,female,26,monolingual
s061,male,23,bilingual
s065,male,21,bilingual
s069,male,21,monolingual
s073,male,24,monolingual
s077,female,22,monolingual
s081,female,21,bilingual
s085,male,18,monolingual
s089,female,22,monolingual
s093,male,missing,monolingual
s097,male,24,monolingual
s101,female,missing,monolingual
s105,female,19,monolingual
s109,male,19,monolingual
s113,male,23,monolingual
s117,male,20,monolingual
s121,male,21,bilingual
s125,male,21,monolingual
s129,male,21,monolingual
s133,male,21,bilingual
s137,male,21,monolingual
s141,NA,22,bilingual
s145,male,19,monolingual
s149,male,19,monolingual
s153,female,24,monolingual
s157,male,18,monolingual
s161,male,24,bilingual
s165,male,18,monolingual
s169,male,20,monolingual
s173,male,19,monolingual
s177,female,19,bilingual
s181,NA,23,bilingual
s185,female,25,bilingual
s189,male,19,monolingual
s193,female,22,monolingual
s197,female,21,monolingual
s201,female,21,bilingual
s205,male,22,bilingual
s209,female,20,monolingual
s213,male,20,monolingual
s217,nonbinary,19,monolingual
s221,female,24,monolingual
s225,male,19,monolingual
s229,male,21,monolingual
s233,male,20,monolingual
s237,female,22,monolingual
s241,male,22,monolingual
s245,male,20,monolingual
s249,female,22,bilingual
s253,female,21,bilingual
s257,female,22,monolingual
s261,male,20,bilingual
s265,male,21,bilingual
s269,male,21,monolingual
s273,nonbinary,19,bilingual
s277,female,20,monolingual
s281,nonbinary,20,monolingual
s285,male,21,monolingual
s289,male,20,bilingual
s293,female,missing,monolingual
s297,nonbinary,21,monolingual
s301,male,20,monolingual
s305,male,21,monolingual
