subj_id,gender,age,language
s002,male,23,monolingual
s006,male,25,monolingual
s010,male,19,monolingual
s014,female,21,bilingual
s018,NA,20,bilingual
s022,male,21,monolingual
s026,male,21,monolingual
s030,female,21,monolingual
s034,female,22,monolingual
s038,female,21,monolingual
s042,male,21,monolingual
s046,male,19,monolingual
s050,male,19,monolingual
s054,female,21,monolingual
s058,NA,21,bilingual
s062,male,23,monolingual
s066,male,missing,monolingual
s070,male,23,bilingual
s074,male,missing,monolingual
s078,female,19,bilingual
s082,male,21,monolingual
s086,male,20,bilingual
s090,male,22,monolingual
s094,male,18,bilingual
s098,male,20,monolingual
s102,male,22,monolingual
s106,NA,23,bilingual
s110,male,20,monolingual
s114,male,22,monolingual
s118,male,19,bilingual
s122,NA,21,bilingual
s126,nonbinary,24,monolingual
s130,nonbinary,20,monolingual
s134,male,21,bilingual
s138,male,18,monolingual
s142,male,20,monolingual
s146,male,18,monolingual
s150,male,24,monolingual
s154,female,20,monolingual
s158,female,23,monolingual
s162,NA,26,monolingual
s166,male,21,bilingual
s170,male,21,bilingual
s174,nonbinary,23,bilingual
s178,female,20,monolingual
s182,female,25,monolingual
s186,nonbinary,21,monolingual
s190,male,20,monolingual
s194,male,20,monolingual
s198,male,missing,bilingual
s202,female,21,monolingual
s206,female,21,bilingual
s210,female,20,monolingual
s214,male,20,monolingual
s218,nonbinary,21,bilingual
s222,male,21,monolingual
s226,nonbinary,18,monolingual
s230,male,21,bilingual
s234,male,19,monolingual
s238,female,23,bilingual
s242,female,24,monolingual
s246,female,20,bilingual
s250,female,21,monolingual
s254,female,21,bilingual
s258,female,20,monolingual
s262,male,missing,bilingual
s266,female,19,monolingual
s270,male,22,bilingual
s274,female,19,monolingual
s278,NA,21,monolingual
s282,male,23,monolingual
s286,male,22,monolingual
s290,male,21,monolingual
s294,male,23,monolingual
s298,male,20,monolingual
s302,male,22,bilingual
s306,nonbinary,21,monolingual
