subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11
s203,5,4,3,4,4,3,2,4,6,4,4
s139,5,6,3,3,3,5,3,5,4,5,3
s093,2,4,4,5,4,5,4,4,6,3,6
s187,5,5,3,4,4,3,3,5,3,3,4
s081,4,3,7,3,2,3,5,3,4,1,4
s338,4,5,4,2,5,5,5,5,4,6,4
s157,1,5,4,4,4,4,3,4,3,4,3
s059,4,4,3,4,6,4,4,2,3,4,4
s004,3,6,2,5,6,7,4,6,2,6,4
s324,2,5,2,4,1,7,1,6,1,5,1
s221,3,4,3,7,2,3,5,5,4,6,4
s020,2,6,2,4,3,6,1,5,1,5,5
s120,5,4,4,3,4,2,4,4,5,3,5
s326,3,6,3,3,3,5,3,4,2,4,4
s113,4,7,7,3,4,3,6,5,3,4,4
s353,7,6,5,6,7,5,6,2,5,2,5
s345,3,2,4,1,3,4,6,2,5,4,5
s195,4,4,5,4,2,4,5,4,3,2,5
s128,2,5,4,5,4,6,3,5,2,5,1
s315,3,5,4,4,4,4,3,2,4,3,2
s280,6,3,6,4,5,6,1,3,3,4,5
s102,4,5,4,4,2,5,3,4,5,2,4
s193,4,4,3,4,3,6,4,4,4,1,4
s181,6,4,5,3,5,3,5,3,5,1,6
s069,7,3,5,2,5,2,4,2,4,1,4
s190,5,4,2,7,4,5,3,1,4,6,3
s335,4,5,3,6,4,6,3,4,4,4,5
s185,4,7,2,4,3,5,2,7,4,3,2
s261,3,3,5,4,6,5,4,3,7,2,5
s253,5,4,6,2,5,4,4,3,4,4,3
s347,6,4,1,2,1,7,1,3,5,3,2
s298,6,4,4,5,3,5,6,4,3,5,4
s249,4,3,4,6,4,4,6,4,4,3,3
s256,4,7,1,4,3,4,4,4,2,4,5
s024,5,5,4,4,3,6,3,4,5,2,3
s119,6,7,3,4,3,6,5,6,1,6,3
s332,6,4,6,4,6,4,6,3,4,3,NA
s131,3,4,4,5,4,4,4,4,4,3,3
s243,3,5,3,6,7,4,4,5,2,3,5
s037,3,5,3,4,5,5,4,3,3,3,3
s078,6,5,4,4,4,4,5,3,3,1,3
s201,5,5,6,3,4,5,5,2,4,3,4
s183,4,7,1,4,2,7,1,6,3,4,2
s204,5,6,3,3,1,7,4,3,5,5,1
s361,3,6,3,7,2,5,1,6,1,4,2
s276,2,7,3,5,3,6,1,5,1,6,2
s227,7,4,6,3,4,6,6,2,3,4,6
s043,3,5,3,4,4,2,3,3,4,5,3
s117,5,5,5,3,4,4,1,4,1,6,4
s170,5,3,5,3,7,5,5,5,4,1,3
s133,3,3,6,4,4,5,4,3,4,4,3
s365,2,6,5,6,1,6,2,4,3,4,4
s118,3,5,2,5,3,4,3,3,3,4,3
s358,3,6,4,4,5,5,7,6,5,3,4
s236,7,2,5,1,6,5,4,3,3,1,5
s039,4,4,4,5,NA,7,4,5,5,7,3
s198,6,4,4,5,5,4,5,1,4,5,4
s237,5,4,6,4,5,2,4,3,3,3,4
s245,2,3,5,4,5,6,3,4,5,3,7
s336,5,7,4,3,6,3,5,1,6,4,5
s216,3,5,5,3,5,6,3,2,3,6,5
s288,3,6,4,3,6,4,3,3,5,3,5
s012,4,6,5,7,1,7,4,5,3,6,3
s344,4,4,5,4,6,3,6,3,3,1,6
s305,6,2,3,3,7,5,4,4,3,4,5
s312,2,5,6,7,3,6,4,5,6,2,4
s233,6,4,6,6,4,5,5,4,3,4,3
s303,4,7,5,4,5,5,4,3,2,1,5
s082,5,5,4,1,6,5,4,3,6,4,5
s173,5,6,3,4,2,3,6,6,3,4,2
s087,5,4,3,5,2,6,3,4,2,6,3
s192,3,7,3,7,1,7,4,7,2,6,1
s090,3,4,4,3,6,5,5,4,4,1,5
s092,7,2,6,3,7,6,6,2,5,2,6
s150,3,5,4,4,2,5,5,4,2,2,5
s025,3,4,2,3,2,5,4,2,4,3,3
s077,1,5,5,4,4,4,7,5,3,3,2
s018,3,6,4,7,2,2,3,4,4,4,4
s053,5,2,6,4,7,4,3,3,5,3,5
s258,3,4,3,2,6,4,4,2,4,3,6
s272,5,4,3,5,3,7,1,5,4,5,5
s075,4,4,4,7,2,6,3,4,1,4,2
