subj_id,gender,age,language
s004,male,21,monolingual
s008,male,24,bilingual
s012,female,19,monolingual
s016,female,21,monolingual
s020,female,19,monolingual
s024,NA,18,monolingual
s028,male,21,bilingual
s032,male,18,monolingual
s036,male,22,monolingual
s040,female,22,monolingual
s044,male,19,monolingual
s048,male,20,bilingual
s052,female,19,bilingual
s056,male,22,monolingual
s060,male,missing,monolingual
s064,male,21,monolingual
s068,female,20,monolingual
s072,female,missing,bilingual
s076,male,21,bilingual
s080,male,21,bilingual
s084,female,21,monolingual
s088,NA,21,monolingual
s092,male,22,monolingual
s096,male,23,bilingual
s100,male,21,bilingual
s104,NA,24,monolingual
s108,female,20,bilingual
s112,NA,26,bilingual
s116,female,18,bilingual
s120,male,19,monolingual
s124,female,21,monolingual
s128,male,24,monolingual
s132,female,20,bilingual
s136,female,18,monolingual
s140,male,19,monolingual
s144,male,20,monolingual
s148,male,21,monolingual
s152,male,20,monolingual
s156,female,20,bilingual
s160,female,19,monolingual
s164,male,21,monolingual
s168,male,20,monolingual
s172,male,20,bilingual
s176,male,20,monolingual
s180,male,21,monolingual
s184,female,22,monolingual
s188,male,23,bilingual
s192,NA,missing,bilingual
s196,male,19,monolingual
s200,male,21,monolingual
s204,female,22,monolingual
s208,female,21,monolingual
s212,male,19,monolingual
s216,male,25,bilingual
s220,female,19,monolingual
s224,nonbinary,21,monolingual
s228,male,22,bilingual
s232,female,missing,monolingual
s236,female,27,bilingual
s240,male,22,bilingual
s244,male,22,bilingual
s248,male,missing,monolingual
s252,male,21,monolingual
s256,male,22,monolingual
s260,male,20,monolingual
s264,male,22,monolingual
s268,male,23,monolingual
s272,male,21,bilingual
s276,male,18,monolingual
s280,female,21,monolingual
s284,male,25,bilingual
s288,male,25,monolingual
s292,female,21,monolingual
s296,female,21,monolingual
s300,male,23,monolingual
s304,NA,20,monolingual
s308,male,22,monolingual
s312,male,18,monolingual
s316,female,21,monolingual
s320,male,21,bilingual
s324,male,24,monolingual
s328,male,22,bilingual
s332,female,18,bilingual
s336,NA,25,monolingual
s340,nonbinary,23,monolingual
s344,male,24,monolingual
s348,male,missing,monolingual
s352,female,18,monolingual
s356,female,24,monolingual
s360,NA,21,bilingual
s364,male,22,monolingual
