subj_id,q1 F,q2 R,q3 F,q4 R,q5 F,q6 R
s338,4,7,3,7,2,5
s006,4,4,4,4,5,5
s312,3,3,5,4,6,5
s034,4,4,3,6,6,3
s056,3,4,2,4,1,3
s229,2,6,3,4,4,5
s197,4,4,3,5,3,6
s128,5,5,NA,2,5,5
s137,2,6,3,2,6,4
s169,4,4,4,5,6,1
s154,2,4,2,4,3,2
s080,5,4,4,4,3,4
s289,6,6,2,5,4,2
s335,7,5,3,7,5,3
s145,6,2,3,1,7,5
s007,7,5,3,5,4,3
s009,5,7,3,4,5,6
s118,5,4,4,3,6,3
s076,7,4,4,4,7,4
s127,4,4,2,4,3,5
s263,5,4,4,4,5,4
s220,5,2,5,1,5,2
s318,2,5,4,6,NA,5
s174,5,4,3,4,4,2
s331,6,3,5,4,6,3
s205,6,5,5,1,5,1
s148,3,3,1,4,4,3
s207,3,3,4,4,4,6
s269,3,5,3,4,4,4
s226,2,6,3,5,1,5
s215,4,6,4,5,6,3
s235,6,3,5,3,7,5
s208,6,5,2,7,3,5
s054,3,5,2,5,2,3
s211,3,5,1,5,4,2
s248,6,3,5,6,7,3
s115,4,5,1,7,2,5
s092,6,3,4,6,2,4
s043,5,3,3,4,7,3
s316,6,6,3,5,6,2
s324,3,6,4,4,4,5
s057,4,4,4,6,7,5
s002,3,5,2,6,3,7
s177,5,4,4,5,4,4
s268,2,2,3,4,5,4
s027,6,3,1,4,4,5
s053,7,4,5,4,5,3
s028,4,6,6,5,2,3
s041,5,3,5,5,7,3
s167,4,4,5,2,5,3
s122,5,3,3,4,5,2
s213,4,4,3,3,4,5
s271,2,4,3,6,1,4
s164,4,6,2,6,3,4
s325,6,4,7,2,6,1
s278,5,6,3,7,3,4
s291,5,3,3,3,4,4
s200,3,5,4,3,4,2
s321,3,2,5,3,7,4
s309,6,3,5,4,6,1
s044,6,3,2,6,6,3
s040,4,3,2,4,5,4
s071,3,6,3,6,2,5
s246,4,5,1,7,4,5
s336,3,4,4,5,3,4
s341,6,6,5,5,4,3
s217,4,5,3,3,4,3
s287,4,6,2,4,4,5
s098,7,4,4,4,6,2
s168,6,4,5,4,4,2
s038,3,5,3,5,5,5
s155,5,4,5,4,6,3
s194,3,4,2,3,1,4
s031,4,6,2,7,2,4
s330,4,6,5,3,4,2
s183,5,1,5,3,6,2
s175,7,3,3,4,3,4
s039,5,4,4,3,5,1
s320,7,3,4,3,7,3
s111,3,6,4,5,3,5
s222,5,5,4,2,5,5
s306,2,4,4,3,5,2
s021,5,4,3,7,4,5
s017,6,4,4,4,4,2
s162,5,3,3,6,4,NA
s204,4,6,2,4,3,4
s151,4,4,6,6,3,5
s035,4,2,3,3,4,1
s237,2,5,1,6,3,5
s104,5,5,3,4,3,4
s061,4,7,1,5,3,3
s024,4,3,1,5,6,5
s228,5,5,1,4,4,4
s171,4,4,4,1,5,3
s334,5,4,5,4,5,3
s100,5,7,3,5,4,6
s102,6,4,4,5,4,4
s266,4,6,3,5,3,4
s187,7,3,5,4,5,1
s247,5,4,4,3,4,3
s075,4,4,1,5,4,3
s344,4,4,1,5,5,4
s323,2,3,4,3,5,4
s288,6,4,4,4,4,3
s112,6,3,6,4,5,3
s078,4,4,1,5,6,4
s313,6,4,3,6,7,3
s119,4,7,3,4,3,5
s308,3,3,3,5,4,4
s085,4,3,4,4,3,4
s225,5,4,4,5,6,3
s315,3,5,5,4,4,4
s280,3,6,4,4,3,1
s079,7,6,5,4,5,4
s113,6,3,4,3,6,4
s196,5,7,2,3,6,2
s150,4,5,7,5,4,5
s130,4,5,4,7,3,6
s297,4,3,4,5,4,3
s262,2,7,2,5,5,3
s011,6,5,5,3,6,4
s310,3,4,1,5,4,5
s020,4,6,4,6,4,4
s326,7,2,5,3,4,4
s240,1,7,1,6,3,5
s301,5,3,4,4,3,4
s264,7,4,6,6,4,2
s108,4,4,5,4,4,4
s120,3,6,1,7,5,6
s343,5,3,3,4,5,5
s178,4,5,4,7,3,5
s140,3,4,6,3,4,3
s219,4,5,3,2,7,2
s252,6,4,4,5,4,5
s143,4,3,4,4,7,2
s123,3,4,3,5,3,4
s124,2,6,4,4,2,5
s303,3,5,1,5,1,7
s158,5,4,3,5,3,1
s165,5,2,6,4,4,1
s090,3,5,5,5,6,4
s190,7,5,4,3,5,1
s014,6,3,5,3,5,2
s055,4,5,4,5,5,5
s328,5,1,1,3,3,5
s003,3,5,3,5,5,6
s105,7,3,6,4,2,2
s233,3,7,1,7,4,4
s134,4,4,4,7,7,4
s013,4,3,2,6,4,3
s163,7,3,5,4,7,4
s045,7,5,4,5,4,4
s243,6,4,4,4,6,4
s261,3,4,4,3,4,4
s114,6,5,5,4,7,3
s276,5,1,6,1,6,4
s132,2,5,1,6,3,3
s116,3,6,1,5,4,5
s131,4,5,2,6,3,5
s083,3,4,4,3,4,5
s302,5,3,5,3,2,5
s133,5,4,5,4,6,3
s129,4,4,2,6,4,5
s273,6,4,5,2,4,2
s166,5,5,4,5,5,3
s136,1,5,1,4,2,5
s184,6,3,4,2,5,3
s181,4,6,4,4,6,4
s258,5,1,3,2,6,3
s253,5,4,6,4,4,3
s081,5,3,5,4,6,1
s251,4,4,4,6,4,3
s047,3,6,1,5,3,4
s339,3,7,2,7,4,7
s188,6,3,5,4,7,4
s050,6,4,4,3,6,5
s058,1,4,3,4,4,4
s230,5,2,4,5,5,1
s199,7,4,4,4,3,4
s138,1,7,4,6,3,3
s146,6,5,4,1,3,5
s049,5,4,5,3,5,2
s300,2,7,4,7,6,5
s172,6,2,5,5,5,4
s283,4,5,5,6,3,2
s103,5,3,2,4,5,3
s064,6,3,5,4,5,3
s210,4,7,3,4,4,5
s004,4,7,2,6,4,4
s195,7,5,3,4,5,4
s029,6,4,4,2,5,2
s182,4,2,3,4,4,4
s099,3,4,3,5,4,2
s275,2,7,5,5,4,6
s284,4,6,3,4,3,3
s238,7,4,2,6,1,4
s012,1,2,4,5,4,2
s277,2,6,3,5,5,4
s063,5,6,3,6,5,3
s223,4,3,4,5,6,4
s214,4,5,2,5,3,4
s322,5,5,2,4,6,4
s066,4,4,3,6,3,7
s327,6,4,3,3,5,7
s294,6,5,5,6,4,3
s272,5,3,7,4,4,3
s030,4,5,2,5,4,5
s008,6,3,5,4,5,1
s070,6,2,NA,4,4,3
s342,5,4,4,5,4,2
s069,4,3,2,5,3,3
s125,7,1,6,1,5,3
s077,6,4,3,6,4,6
s244,3,5,1,6,2,2
s198,2,4,4,4,4,4
s201,5,4,3,3,4,5
s305,5,4,6,4,4,2
s203,3,5,7,3,5,4
s091,7,4,3,5,4,4
s245,4,4,4,5,5,5
s189,4,6,5,3,4,5
s026,3,4,2,5,7,5
s110,5,4,4,5,6,3
s068,3,5,4,7,5,5
s224,4,3,4,5,6,4
s307,5,2,5,1,7,1
s121,4,5,3,5,1,5
s267,3,4,3,4,6,2
s282,5,6,1,6,2,5
s236,4,6,4,5,5,4
s097,4,4,4,4,4,2
s290,1,4,4,3,5,5
s126,3,4,3,5,4,4
s279,2,5,NA,7,3,5
s239,5,4,3,3,3,6
s088,4,5,3,6,4,5
s332,4,6,5,3,4,3
s265,2,5,2,4,3,4
s059,4,5,4,3,3,4
s157,4,5,4,1,6,3
s117,5,7,1,7,3,5
s317,5,3,3,4,5,1
s048,5,3,4,7,7,3
s139,6,6,5,5,6,4
s185,4,6,5,5,3,3
s087,6,4,NA,3,5,4
s067,6,3,5,1,5,2
s286,5,3,4,4,4,5
s060,3,4,3,5,4,4
s005,4,4,2,4,4,NA
s106,4,4,3,4,6,3
s156,2,7,1,7,4,4
s023,5,5,3,5,2,5
s255,4,3,5,2,5,1
s170,6,3,5,2,4,4
s242,3,5,2,6,4,6
s249,5,4,2,6,4,4
s149,2,4,4,3,3,6
s311,3,5,4,6,3,3
s093,4,4,6,5,5,2
s152,2,6,3,5,2,5
s241,4,3,4,4,4,2
s192,3,3,5,4,6,4
s141,5,2,5,6,2,4
s072,3,4,3,5,5,4
s340,2,5,6,4,4,2
s270,5,5,4,5,1,4
s295,4,4,3,6,4,6
s209,4,5,4,6,4,5
s193,3,6,2,3,3,3
s259,4,6,2,6,3,3
s206,3,5,4,6,3,5
s144,4,5,4,4,4,6
s298,4,6,1,5,4,3
s186,4,3,4,4,5,3
s065,2,4,3,6,NA,4
s218,4,3,4,4,7,3
s051,2,4,4,5,4,6
s052,7,5,3,4,6,5
s033,2,3,1,6,5,5
s062,5,4,6,4,4,1
s274,6,2,4,4,7,3
s096,6,5,4,3,4,4
s037,6,3,3,3,4,3
s319,4,4,4,4,7,3
s256,5,4,4,7,3,5
s281,6,5,3,4,4,1
s107,5,5,4,6,4,2
s084,4,6,3,6,4,6
s260,3,7,4,4,3,6
s292,4,6,3,3,5,2
s160,6,2,4,4,6,4
s234,3,6,1,5,4,6
s019,1,7,1,7,3,6
s337,4,6,4,4,3,4
s101,5,6,5,3,5,4
s022,4,NA,4,5,7,2
s191,2,6,3,4,3,7
s032,3,5,1,3,6,4
s293,4,5,3,4,4,2
s216,5,1,4,5,5,3
s179,5,5,2,4,5,2
s042,7,2,3,4,7,4
s333,4,4,5,2,6,2
s231,5,5,4,5,5,4
s257,5,4,5,4,5,1
s010,5,5,5,4,3,6
s176,3,4,4,5,5,5
s036,6,3,5,3,6,2
s227,7,1,4,4,4,3
s089,5,4,2,5,5,3
s221,7,3,5,4,5,4
s173,5,4,3,4,5,3
s329,7,5,5,4,3,1
s212,4,5,5,4,5,3
s159,6,4,6,4,5,1
s153,7,3,7,2,7,3
s025,5,3,6,3,6,3
s142,3,2,4,4,4,4
s082,5,4,5,5,3,4
s296,4,1,5,2,6,1
s250,6,6,3,6,3,3
s285,4,4,4,4,6,4
s094,7,4,6,2,7,1
s016,6,5,3,4,5,4
s161,4,4,3,6,4,3
