subj_id,F q01,R q02,F q03,R q04,F q05,R q06,F q07,R q08,F q09,R q10
s082,4,3,5,5,5,1,3,3,3,3
s227,6,4,6,5,4,2,5,6,5,4
s187,2,4,5,5,4,4,5,4,4,5
s285,3,5,4,6,2,6,1,5,4,5
s372,4,6,2,3,4,5,4,1,3,4
s125,4,4,6,4,4,4,6,4,5,3
s365,5,4,4,3,2,4,4,3,5,4
s047,6,2,6,3,2,2,4,3,5,5
s307,6,2,5,NA,4,3,5,3,4,2
s298,7,2,4,3,5,4,4,3,6,3
s350,4,4,3,4,1,3,4,5,3,5
s247,7,3,5,1,4,2,6,4,7,3
s176,5,6,4,6,4,4,5,4,3,2
s103,2,5,4,5,2,7,2,5,3,4
s327,4,4,4,6,5,4,3,3,5,3
s016,5,5,5,1,5,1,NA,2,6,2
s371,5,2,6,3,3,3,5,3,7,1
s003,7,3,7,2,4,1,6,2,6,2
s152,4,7,4,5,4,7,2,3,2,4
s036,4,5,4,5,4,4,4,3,2,6
s222,6,6,5,5,5,1,5,4,5,4
s272,3,6,4,2,5,2,4,2,4,4
s311,3,4,4,4,2,2,2,3,4,5
s254,3,7,4,5,2,6,1,5,4,4
s133,6,4,6,4,2,4,7,2,7,3
s190,4,4,6,3,2,3,5,3,5,5
s002,4,5,3,5,4,5,5,7,4,4
s085,4,3,4,5,2,6,3,5,3,5
s007,5,5,4,3,4,4,4,3,2,7
s064,5,6,5,5,3,2,4,3,3,3
s121,4,4,4,3,2,3,4,3,6,5
s271,3,4,3,6,4,4,5,2,3,6
s185,4,4,3,4,3,4,4,4,2,5
s319,4,5,7,2,3,4,4,4,4,3
s134,4,4,7,5,4,3,6,3,5,2
s269,7,4,7,4,5,1,6,2,5,4
s031,7,4,5,3,6,4,4,4,5,3
s291,3,5,1,6,1,4,1,6,2,7
s015,5,7,5,4,5,4,4,4,6,NA
s316,4,4,4,6,2,6,4,4,3,5
s141,1,4,5,5,3,4,6,5,5,6
s248,4,7,6,3,4,3,3,4,6,3
s155,4,3,6,4,3,3,4,3,7,4
s289,5,3,3,4,1,2,4,5,4,5
s034,4,5,7,4,4,4,2,2,3,1
s090,2,5,2,7,1,5,3,6,3,6
s029,6,4,4,4,6,3,4,3,4,4
s018,6,5,5,4,3,3,7,3,4,5
s078,4,7,5,5,3,4,5,3,3,6
s360,1,7,1,6,1,6,1,7,2,6
s242,4,1,3,4,3,3,5,2,4,5
s342,4,4,4,5,4,3,5,3,6,2
s345,4,4,2,6,1,6,4,5,4,4
s170,4,5,5,5,3,3,3,6,2,3
s063,3,4,6,4,2,3,4,4,5,6
s306,6,3,5,4,4,2,3,2,5,4
s150,4,3,5,4,4,5,4,4,4,6
s055,4,5,4,5,1,5,3,5,3,4
s389,6,6,6,6,4,6,5,4,6,4
s281,5,4,4,NA,4,3,3,4,3,5
s355,3,4,3,4,3,4,5,5,4,4
s026,2,6,5,5,2,7,3,4,5,6
s349,5,7,5,4,3,3,5,4,6,5
s243,7,2,4,5,2,4,7,4,4,3
s123,4,3,4,4,4,2,4,6,3,5
s162,5,6,4,5,2,4,5,4,4,4
s368,3,4,6,3,5,4,6,2,5,3
s017,4,3,5,4,4,4,4,4,4,2
s261,5,5,1,NA,1,4,1,3,4,3
s205,4,3,7,3,5,2,5,1,4,2
