subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R
s373,3,4,4,3,4,5,3,4,4,4,4,4
s082,4,4,6,2,4,4,3,3,5,4,2,4
s195,3,6,3,4,3,7,1,5,2,3,4,6
s245,7,4,4,4,4,3,7,5,7,3,4,5
s284,4,4,3,4,4,4,5,4,5,4,4,3
s011,6,6,4,3,3,7,2,4,2,3,5,5
s057,2,4,1,5,2,7,4,7,1,5,3,7
s155,3,7,3,4,5,4,4,3,5,4,3,7
s085,4,4,3,3,4,4,5,5,3,3,5,2
s202,5,6,4,4,2,4,5,4,1,4,4,4
s097,6,4,5,3,6,4,4,3,2,3,4,2
s231,3,3,NA,2,4,7,2,4,4,3,2,5
s218,4,4,3,3,5,5,4,4,5,4,6,2
s129,3,5,3,3,5,4,5,6,3,4,4,2
s029,1,4,2,7,4,6,1,4,1,4,5,6
s372,6,2,5,3,7,3,3,4,4,3,3,6
s288,6,5,4,3,3,4,3,5,1,4,3,6
s121,3,7,2,3,4,7,2,6,3,5,3,5
s392,7,4,4,1,5,2,7,NA,4,3,7,5
s220,2,4,1,6,3,5,2,5,2,4,4,5
s062,5,1,4,1,5,4,7,4,5,3,7,1
s274,3,6,3,5,2,6,3,5,2,4,5,6
s014,4,3,1,3,4,6,4,4,4,4,2,4
s156,5,5,6,3,5,3,7,2,6,2,7,3
s297,5,2,4,3,4,5,6,4,6,3,5,3
s101,5,3,7,2,5,3,4,5,4,3,6,2
s132,2,7,3,6,3,4,5,5,1,4,4,4
s294,3,4,1,4,4,6,2,6,5,4,5,5
s012,1,7,3,6,3,6,3,4,2,6,3,5
s268,3,5,4,5,5,6,3,4,4,5,4,4
s236,5,4,5,4,6,7,4,3,2,5,1,5
s210,2,4,3,4,5,3,5,4,2,7,5,6
s339,7,4,7,5,7,3,6,4,3,3,6,2
s100,6,2,4,2,6,4,4,5,5,2,7,4
s146,6,4,5,2,7,1,4,5,5,3,2,3
s051,5,4,4,5,7,5,5,3,5,3,4,5
s327,4,6,3,5,1,6,3,4,4,4,3,3
s064,3,5,3,5,5,5,2,5,3,6,2,5
s185,4,5,3,3,4,4,3,5,7,4,6,3
s364,1,5,4,3,4,5,4,4,4,4,5,5
s282,5,4,4,3,7,6,3,2,3,5,5,4
s034,5,2,6,2,6,2,6,5,6,4,6,2
s117,4,5,2,6,5,5,2,6,4,5,5,5
s350,6,4,4,3,4,3,3,1,5,4,5,2
s180,3,5,2,6,1,7,1,6,3,5,4,5
s115,6,2,6,1,7,1,7,1,6,3,7,1
s249,5,3,5,4,6,6,2,2,1,4,4,4
s135,4,1,7,3,6,5,6,3,5,NA,6,2
s305,2,5,4,3,5,6,6,4,4,4,4,5
s355,7,5,5,4,4,6,2,4,2,7,4,5
s275,3,4,3,2,5,6,4,5,4,3,3,2
s022,3,6,3,4,5,7,3,4,3,5,4,7
s306,4,3,2,2,4,6,6,2,4,7,5,4
s149,5,4,3,4,5,5,4,6,4,4,4,4
s171,3,4,3,5,6,3,1,4,5,2,5,6
s246,4,6,5,2,4,4,5,3,4,3,6,3
s362,3,7,3,5,4,3,4,4,3,3,3,4
s073,5,2,6,NA,6,3,3,3,3,4,7,4
s072,5,3,6,2,6,4,6,4,3,4,5,4
s397,3,5,4,4,3,7,4,5,2,4,3,4
s283,5,3,3,4,5,5,4,3,1,4,6,2
s134,5,4,4,3,6,4,5,3,3,5,5,6
s276,4,6,4,4,5,2,4,4,5,4,3,4
s266,2,6,3,4,5,5,4,6,5,5,3,5
s063,4,4,7,4,3,3,7,3,4,3,5,3
s352,6,4,5,5,4,3,4,3,5,3,6,3
s359,1,4,3,5,4,4,5,3,3,5,3,5
s286,3,4,3,3,3,4,6,3,3,3,4,5
s018,7,5,4,3,4,4,5,6,3,1,6,1
s080,4,3,4,3,7,1,5,4,4,3,6,5
s273,4,2,4,4,5,6,3,5,3,4,4,4
s067,5,4,4,2,4,5,4,5,4,4,3,5
s166,5,4,1,4,3,4,3,6,4,5,1,5
s271,2,5,3,5,4,3,4,6,2,4,3,3
s299,2,5,2,4,1,4,4,4,4,6,4,5
s192,3,7,3,4,4,4,3,4,4,5,4,5
s030,4,6,2,3,7,3,2,6,1,5,4,3
s311,5,7,3,6,4,7,3,4,2,5,4,4
s309,6,6,5,5,5,3,3,3,3,3,2,3
s251,5,4,5,4,4,4,1,5,3,3,7,4
s140,6,5,3,4,7,2,5,4,5,3,6,4
s089,5,4,2,2,5,4,4,6,3,4,4,3
s335,NA,4,5,1,5,4,4,2,5,3,5,3
s254,2,6,1,4,3,7,3,7,4,7,1,4
s106,6,4,4,3,5,6,3,4,4,3,6,4
s077,5,4,1,5,4,5,4,5,4,3,4,2
s320,2,4,3,4,5,4,4,5,4,4,7,4
s353,7,3,5,3,5,4,6,1,NA,3,5,2
s341,6,4,4,3,NA,2,4,4,5,2,5,3
s272,4,3,4,2,5,4,4,3,4,4,7,3
s004,3,5,2,5,4,6,2,5,4,6,5,5
s096,3,6,3,5,3,7,2,6,1,7,3,7
s386,6,6,5,3,6,3,3,4,3,4,4,4
s308,4,6,4,3,3,4,3,5,4,6,5,4
s045,4,3,4,4,4,4,4,4,3,3,4,5
s107,6,1,4,3,5,4,4,3,4,4,4,4
s137,4,5,5,4,5,5,4,4,4,3,5,5
s383,4,5,5,4,5,5,4,6,4,3,5,5
s357,5,3,4,2,6,4,4,3,4,3,5,4
s219,4,4,4,2,5,4,3,6,4,1,2,4
s206,5,3,3,4,3,4,6,4,4,6,4,5
s120,4,3,3,1,4,4,7,4,4,3,4,3
s346,4,3,4,3,5,3,3,4,5,3,4,3
s242,7,3,5,5,7,3,5,3,5,2,5,3
s289,5,3,2,4,3,4,6,2,4,3,6,4
s256,6,4,4,2,5,3,4,3,3,3,5,3
s365,6,4,3,1,5,3,6,2,6,3,2,4
s182,5,2,4,2,5,5,NA,3,4,2,4,4
s164,1,5,2,7,1,7,3,7,1,6,3,NA
s385,5,5,1,4,4,5,4,7,5,4,4,7
s118,7,6,5,3,4,6,5,4,3,3,4,5
s358,2,5,3,5,5,4,3,4,1,5,7,7
s055,4,7,5,3,4,6,5,4,2,3,5,4
s054,5,4,7,3,5,5,6,3,4,2,6,2
s260,5,1,3,5,7,6,4,3,3,5,2,2
s176,5,2,5,4,6,5,7,3,6,1,5,2
s153,4,5,4,2,6,5,4,4,1,5,5,5
s019,6,3,4,NA,4,4,6,1,4,3,7,3
s279,5,5,4,4,4,3,4,5,4,3,4,3
s094,4,6,7,4,6,3,2,4,2,4,6,5
s199,5,4,4,3,6,6,4,5,3,7,3,2
s098,3,5,4,4,1,4,1,5,3,6,4,5
s390,3,6,5,3,4,6,4,3,4,5,4,4
s142,1,4,2,3,4,5,4,6,2,4,3,7
s211,5,6,4,2,4,7,3,3,4,5,4,3
s253,4,7,3,4,5,4,1,5,3,4,2,6
s318,5,5,3,5,3,6,3,5,3,4,7,2
s001,5,4,4,2,4,4,2,5,2,2,4,4
s068,3,6,2,3,4,5,4,6,3,4,2,6
s281,4,4,5,3,4,5,4,3,3,4,3,5
s179,5,3,5,5,6,4,3,3,NA,3,5,5
s125,4,4,5,3,4,5,7,4,4,4,5,3
s028,3,7,6,3,4,4,2,3,3,4,5,3
s093,5,5,3,2,6,3,5,4,2,6,4,4
s314,3,5,4,4,3,5,4,4,3,5,3,5
s150,2,3,4,3,5,4,4,4,2,4,5,4
s323,4,6,5,4,3,6,4,4,4,6,3,4
s366,3,7,1,6,4,5,3,3,1,6,3,3
s293,4,6,5,4,4,4,4,4,4,4,4,4
s006,5,5,3,3,5,7,5,5,5,4,4,5
s252,4,5,3,2,3,4,5,4,5,5,5,4
s287,5,6,3,3,4,6,3,7,4,3,3,4
s177,7,4,5,2,3,4,4,3,3,6,6,1
s285,6,2,4,3,5,5,4,1,5,5,4,4
s205,4,4,3,3,4,4,5,3,5,2,4,5
s345,5,6,6,3,5,4,4,3,3,4,3,2
s111,5,3,5,3,5,2,7,3,6,3,4,2
s160,5,5,5,1,4,4,7,4,1,4,5,4
s021,7,4,5,4,3,3,6,3,3,3,6,4
s228,4,6,2,3,4,5,4,4,4,4,NA,6
s396,5,5,5,4,4,6,3,5,3,7,4,5
s292,6,7,2,4,2,5,3,5,1,5,4,5
s363,3,5,3,4,4,7,4,6,1,7,4,6
s263,7,4,5,2,4,4,6,4,4,7,5,4
s367,3,4,1,4,3,3,2,4,3,4,NA,4
s207,3,6,5,6,3,4,5,7,2,3,4,4
s158,2,6,1,4,3,7,3,7,2,2,3,7
s131,4,3,5,4,2,5,3,7,4,4,3,6
s143,3,4,4,4,3,5,3,4,3,4,5,4
s221,6,3,6,2,6,3,7,4,5,3,3,1
s159,5,4,6,2,4,5,5,4,7,3,6,4
s108,3,7,2,3,4,6,4,7,3,6,4,6
s070,7,1,7,1,7,2,4,2,7,5,7,2
s255,6,2,5,1,5,4,5,4,7,4,5,4
s349,4,5,3,7,2,4,1,7,3,5,4,7
s076,3,6,3,NA,4,6,4,7,1,6,4,6
s389,6,5,3,2,4,4,4,6,2,4,4,4
s099,3,6,2,5,4,7,3,5,1,7,1,7
s127,5,2,5,2,7,5,4,3,5,2,6,4
s310,3,5,2,6,5,7,3,4,2,4,4,5
s002,6,3,3,1,5,4,5,3,4,1,4,4
s243,4,7,5,2,3,4,5,6,5,6,7,3
s198,4,3,4,5,4,3,3,5,3,7,5,5
s248,5,3,5,4,5,4,5,5,4,3,4,3
s119,5,4,3,5,4,7,3,5,5,5,3,4
s337,7,3,7,5,7,4,6,4,6,3,3,4
s343,5,2,3,2,4,6,5,3,5,4,6,1
s075,3,3,3,6,2,6,2,7,4,4,5,2
s257,4,6,2,2,3,4,3,3,2,6,3,5
s005,3,4,5,3,2,4,5,5,2,5,5,3
s398,4,6,2,4,7,5,3,2,3,4,4,5
s224,3,4,3,4,4,7,6,3,5,5,4,3
s321,5,4,5,2,6,5,3,5,5,3,4,3
s083,4,3,6,1,5,5,5,4,4,2,6,4
s317,1,5,5,5,6,5,3,4,3,2,6,4
s342,5,5,6,2,6,4,4,4,3,4,7,1
s090,4,6,5,3,4,6,3,6,2,2,4,5
s307,4,4,1,7,1,5,2,6,3,3,2,3
s157,6,4,3,5,5,5,2,3,6,6,5,4
s313,5,1,4,4,5,3,5,2,4,1,7,6
s332,4,5,3,3,6,6,6,6,4,5,4,3
s088,4,4,3,3,6,4,4,4,5,3,3,4
s216,5,4,7,3,6,3,4,5,4,4,6,5
s247,5,3,7,1,5,2,4,5,7,2,6,2
s229,3,5,1,6,5,7,1,5,5,5,2,5
