subj_id,gender,age,language
s002,female,23,monolingual
s006,NA,20,monolingual
s010,NA,18,monolingual
s014,NA,22,monolingual
s018,NA,22,monolingual
s022,male,25,monolingual
s026,male,20,monolingual
s030,nonbinary,23,monolingual
s034,male,21,monolingual
s038,female,19,monolingual
s042,female,21,monolingual
s046,female,21,bilingual
s050,male,23,monolingual
s054,male,19,monolingual
s058,male,20,monolingual
s062,male,23,monolingual
s066,male,22,bilingual
s070,female,19,monolingual
s074,male,21,bilingual
s078,nonbinary,20,bilingual
s082,male,21,monolingual
s086,male,20,bilingual
s090,male,20,monolingual
s094,male,18,monolingual
s098,nonbinary,20,monolingual
s102,male,missing,monolingual
s106,male,19,bilingual
s110,male,23,monolingual
s114,female,24,monolingual
s118,male,21,monolingual
s122,female,19,monolingual
s126,male,20,monolingual
s130,male,19,bilingual
s134,nonbinary,22,monolingual
s138,male,21,bilingual
s142,male,23,monolingual
s146,female,22,monolingual
s150,male,19,monolingual
s154,nonbinary,21,monolingual
s158,male,19,bilingual
s162,female,21,monolingual
s166,female,22,monolingual
s170,male,22,monolingual
s174,male,24,monolingual
s178,male,21,monolingual
s182,female,21,bilingual
s186,male,20,monolingual
s190,male,19,monolingual
s194,female,22,monolingual
s198,male,21,monolingual
s202,female,22,bilingual
s206,nonbinary,20,monolingual
s210,nonbinary,24,bilingual
s214,male,21,bilingual
s218,female,20,monolingual
s222,male,20,monolingual
s226,male,21,monolingual
s230,male,19,monolingual
s234,female,24,monolingual
s238,male,24,monolingual
s242,female,22,monolingual
s246,male,23,bilingual
s250,male,20,bilingual
s254,male,20,bilingual
s258,nonbinary,20,monolingual
s262,male,24,monolingual
s266,male,23,monolingual
s270,nonbinary,22,bilingual
s274,male,20,monolingual
s278,male,20,bilingual
s282,nonbinary,21,bilingual
s286,nonbinary,21,monolingual
s290,male,18,monolingual
s294,female,21,monolingual
s298,male,21,monolingual
s302,male,19,monolingual
s306,male,missing,monolingual
s310,male,missing,bilingual
s314,female,19,monolingual
s318,male,19,monolingual
s322,female,22,monolingual
s326,male,20,bilingual
s330,male,19,monolingual
s334,male,21,monolingual
s338,female,20,monolingual
s342,male,25,monolingual
s346,male,23,monolingual
s350,male,20,bilingual
s354,NA,18,monolingual
s358,male,22,monolingual
s362,male,20,monolingual
s366,male,missing,monolingual
s370,male,24,monolingual
s374,male,21,monolingual
s378,male,19,monolingual
s382,male,20,monolingual
s386,female,missing,monolingual
s390,nonbinary,21,monolingual
s394,male,21,monolingual
s398,male,18,monolingual
