subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F
s215,6,5,6,3,7,1,5,2,5,3,4
s077,5,5,5,2,4,6,4,5,4,4,6
s283,3,4,4,4,4,4,4,4,5,4,5
s245,4,4,7,3,5,2,6,2,3,4,5
s079,2,6,4,7,2,5,3,6,1,4,3
s214,4,5,3,6,5,3,3,5,7,3,4
s049,4,4,5,4,5,5,4,2,3,4,4
s030,5,4,5,4,5,4,3,5,7,5,6
s120,4,5,6,4,7,3,5,4,6,3,4
s129,3,5,3,5,4,6,3,6,3,5,4
s144,4,4,3,6,3,5,3,3,2,5,3
s032,3,5,5,5,4,4,3,4,2,3,4
s312,2,6,2,7,4,3,1,4,2,6,3
s266,3,5,4,5,3,4,4,5,4,7,3
s147,3,7,3,5,6,5,1,4,1,4,4
s093,1,5,2,4,3,5,1,4,3,5,4
s042,4,5,5,6,4,5,2,4,3,4,3
s339,4,4,3,7,2,4,2,5,2,4,7
s348,4,5,5,7,5,4,3,5,3,5,5
s224,6,5,5,4,7,2,4,2,4,3,5
s377,5,3,6,4,5,4,3,4,5,1,4
s218,4,3,4,4,4,1,5,4,5,3,3
s205,5,1,7,1,7,3,4,4,4,4,4
s284,4,5,4,1,4,2,6,4,3,4,6
s114,3,5,4,4,3,5,3,4,5,7,5
s031,7,3,3,6,4,3,4,4,5,3,4
s251,5,7,4,6,4,4,3,5,4,2,6
s002,3,3,5,4,7,3,4,2,6,4,4
s325,6,5,5,3,5,3,3,3,6,5,2
s373,6,2,5,4,3,4,4,2,5,4,5
s086,4,6,3,5,3,3,3,5,4,5,3
s185,5,4,3,4,7,3,5,4,6,3,6
s210,4,4,4,5,3,4,2,4,2,4,3
s204,5,4,6,5,4,4,2,4,1,3,3
s249,5,3,3,4,3,4,5,4,2,4,5
s311,4,5,3,4,5,4,4,6,3,7,3
s186,5,4,3,6,6,5,3,4,4,4,3
s239,4,6,5,5,2,5,2,5,2,6,4
s104,4,5,3,5,2,7,3,5,3,7,2
s196,5,3,3,5,4,2,5,4,3,5,4
s260,2,7,4,7,3,5,2,4,1,6,2
s083,5,3,4,4,4,2,5,4,5,3,7
s055,6,4,6,3,4,4,4,5,4,4,5
s370,6,5,4,4,6,4,6,3,5,4,NA
s336,3,4,3,5,5,4,4,5,4,3,6
