subj_id,F-q1,R-q2,F-q3,R-q4,F-q5,R-q6,F-q7
s248,2,5,6,4,2,5,4
s197,2,2,5,4,4,6,4
s098,3,4,3,2,5,3,6
s122,5,4,3,2,4,3,5
s085,7,2,6,1,6,1,5
s235,3,5,5,1,5,4,7
s065,3,3,3,4,1,4,4
s106,4,3,6,4,6,3,4
s057,5,3,3,4,7,3,6
s335,6,4,4,5,4,5,4
s161,2,6,2,6,4,7,3
s147,2,5,2,5,NA,6,3
s023,3,4,5,3,4,4,5
s215,2,5,5,4,4,4,4
s013,4,2,7,4,5,2,7
s022,3,4,6,3,4,4,4
s293,6,3,3,4,4,3,5
s302,5,3,5,2,7,1,3
s165,5,4,1,5,6,4,4
s349,2,4,1,4,2,5,3
s112,3,5,6,3,2,5,4
s242,6,4,6,1,4,4,6
s111,6,3,3,4,6,6,3
s201,4,4,5,2,4,4,4
s178,4,4,2,3,4,6,5
s211,5,4,4,3,5,4,7
s143,5,2,4,1,3,3,7
s124,3,5,4,7,5,4,3
s139,4,4,2,4,4,6,2
s330,5,1,4,3,6,3,5
s096,4,4,3,4,1,5,3
s212,4,7,2,5,3,4,4
s007,4,2,3,3,4,3,2
s061,3,6,3,3,4,4,3
s346,2,4,3,4,4,4,4
s326,4,6,1,5,2,4,1
s056,4,2,4,2,7,4,5
s192,3,1,3,2,5,3,6
s032,4,2,4,1,3,4,2
s191,1,4,4,5,4,3,4
s225,6,4,3,4,4,4,1
s003,5,4,1,2,4,2,6
s241,2,5,1,6,2,7,2
s090,4,4,5,3,4,4,5
s107,2,4,3,4,5,4,4
s332,2,5,2,7,3,7,1
s047,3,3,NA,3,4,2,4
s019,3,4,4,2,5,4,7
s209,1,7,2,6,1,7,3
s217,4,5,4,4,5,2,3
s231,5,3,4,3,5,4,6
s164,4,3,4,5,4,4,5
s134,1,5,4,5,3,7,4
s311,4,1,6,4,4,3,6
s121,3,2,6,2,4,3,5
s170,4,4,5,4,4,NA,3
s285,4,4,5,6,5,4,4
s150,3,2,3,4,3,NA,3
s035,5,4,5,4,4,4,4
s041,3,5,4,4,2,6,7
s219,2,5,3,6,3,6,4
s174,5,4,6,1,7,2,6
s246,3,3,5,3,6,5,3
s347,4,1,6,3,7,1,7
s064,5,4,3,5,3,5,3
s025,3,4,3,5,3,3,4
s038,4,5,1,3,5,5,4
s228,4,5,1,7,2,5,3
s110,3,6,2,4,4,3,5
s002,4,4,4,4,2,3,6
s109,3,5,2,5,3,6,4
s313,6,4,5,3,6,3,5
s301,4,4,4,3,3,4,5
s345,6,3,6,2,7,2,5
s336,3,3,3,4,2,3,4
s184,7,1,4,1,7,2,6
s049,3,3,5,3,4,2,4
s036,3,5,3,2,4,4,3
s276,2,4,3,7,3,6,1
s306,6,3,4,3,1,1,5
s148,4,6,4,6,3,5,3
s120,2,4,4,5,7,4,4
s202,5,2,6,4,4,1,7
s141,3,5,3,5,3,2,2
s277,6,4,2,7,5,2,5
s153,2,5,4,4,4,4,2
s075,4,3,3,3,7,3,5
s195,4,4,6,2,4,4,6
s264,4,3,4,3,3,6,2
s237,4,2,3,4,3,6,5
s073,2,6,2,6,3,4,2
s071,4,1,3,4,5,3,5
s115,5,3,4,6,4,1,5
s016,5,3,2,2,5,4,3
s189,1,7,1,5,4,4,2
s250,6,4,1,4,5,4,6
s334,4,3,4,4,3,2,5
s254,4,3,3,6,6,4,3
s208,4,4,1,7,3,5,4
s129,5,6,5,5,4,1,3
s005,5,3,6,4,5,2,5
s168,4,3,5,3,4,5,3
s249,4,4,3,5,4,4,5
s342,2,5,4,6,5,4,3
s175,4,4,5,1,4,3,7
s262,3,3,1,6,6,7,4
s216,4,5,4,5,4,4,3
s152,3,5,2,3,5,3,3
s119,5,4,7,5,6,4,5
s199,2,3,5,4,4,5,5
s284,3,4,2,3,3,5,6
s102,2,1,4,2,5,6,5
s337,4,4,3,6,4,3,7
s126,1,5,1,6,3,7,1
s078,3,5,3,7,3,5,3
s114,2,5,3,4,1,6,4
s270,1,5,1,5,2,7,4
s039,4,3,4,2,4,4,7
s207,5,4,5,3,5,3,4
s021,5,4,3,4,5,4,4
s083,4,3,4,2,4,4,5
s339,5,4,2,2,7,3,5
s287,3,4,4,2,1,6,4
s333,3,4,4,5,4,3,6
s146,5,2,4,2,4,4,4
s295,3,7,2,4,3,5,3
s095,3,3,2,4,6,3,4
s344,4,4,2,2,5,3,4
s266,4,5,4,6,4,6,6
s340,3,3,2,4,4,3,6
s232,3,3,4,1,2,5,4
s233,2,3,3,3,2,7,3
s223,5,3,2,5,5,4,3
s053,4,4,2,4,4,5,3
s188,4,2,4,4,2,5,2
s245,2,4,4,5,5,4,4
s304,5,3,2,7,5,6,5
s247,4,5,3,3,3,2,4
s257,2,NA,2,6,4,1,4
s140,3,3,2,4,4,3,5
s028,4,6,2,4,3,4,3
s350,4,4,5,4,5,3,5
s261,4,4,2,4,4,5,4
s092,5,3,6,4,5,4,5
s155,4,4,2,6,3,5,3
s251,3,4,5,4,4,3,4
s291,6,3,5,4,6,2,3
s272,1,4,1,7,3,5,1
s033,5,3,3,4,5,1,4
s088,4,2,7,6,7,4,4
s160,4,4,5,3,4,3,3
s203,4,4,4,3,4,5,4
s104,4,4,4,2,5,3,5
s015,2,4,4,5,4,5,4
s236,4,3,5,5,4,3,5
s084,2,6,3,2,4,5,2
s158,3,5,2,5,4,5,5
s224,6,2,4,3,6,3,6
s069,5,5,2,4,3,4,5
s323,2,5,2,4,4,6,2
s200,2,4,3,5,3,4,1
s070,5,2,3,3,1,6,2
s294,3,4,4,3,4,4,5
s190,2,6,3,3,6,6,3
s265,3,6,4,3,4,3,3
s045,2,4,4,6,4,5,3
s010,4,3,2,4,4,3,3
s315,1,4,3,5,2,7,3
s267,5,2,7,3,6,2,6
s331,4,4,2,3,5,4,4
s183,4,2,5,3,3,4,6
s163,4,1,7,1,4,1,5
s020,5,2,4,2,6,4,5
s187,4,2,3,3,3,4,5
s050,3,6,5,4,5,4,4
s145,2,5,4,4,4,4,6
s058,5,3,3,3,4,4,3
s136,3,5,3,4,1,5,2
s080,3,6,4,5,4,1,5
s194,6,NA,5,1,6,3,2
s066,3,4,3,3,6,6,3
s062,2,4,4,5,4,6,5
s116,NA,5,3,4,2,3,5
s297,5,3,3,4,4,4,4
s281,5,4,4,4,5,4,5
s296,3,3,4,6,2,4,3
s144,2,6,3,6,3,6,1
s082,2,1,4,6,5,3,3
s338,3,5,1,5,4,6,5
s210,3,4,4,5,4,4,3
s125,5,4,4,5,5,4,4
s103,3,4,2,5,3,6,1
s072,6,4,5,4,6,5,7
s278,4,5,2,4,5,4,6
s229,5,2,6,3,4,1,4
s099,4,4,3,6,4,5,4
s286,4,3,3,5,4,5,4
s180,4,5,4,2,4,3,3
s074,2,7,2,3,4,3,4
s138,3,4,2,4,2,6,4
s310,1,5,4,3,5,6,6
s279,4,3,5,3,3,4,6
s162,2,4,3,6,2,6,3
s317,3,4,4,4,5,4,3
s172,5,3,4,1,3,3,7
s077,3,4,4,3,5,3,2
s094,3,4,2,6,4,4,3
s227,5,2,3,4,4,3,3
s127,4,5,7,4,5,3,6
s034,2,5,2,4,4,6,3
s060,4,4,3,3,6,4,4
s068,7,2,3,2,5,2,7
