subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7
s135,7,2,4,1,5,1,6
s081,6,7,2,4,5,4,4
s018,5,1,3,4,7,2,3
s121,4,5,4,4,4,5,4
s312,6,2,7,3,5,4,4
s317,2,4,4,7,4,5,5
s178,3,4,2,5,4,4,5
s001,4,4,3,5,2,5,3
s162,4,5,2,1,4,2,3
s161,3,7,3,4,1,7,1
s318,6,1,7,4,7,4,5
s099,3,NA,3,2,5,2,3
s190,3,6,2,3,6,3,4
s224,5,6,1,4,5,6,4
s169,4,1,6,1,7,2,5
s015,4,5,5,3,2,6,5
s136,3,7,1,5,4,4,2
s176,2,4,4,2,4,4,4
s123,3,5,2,5,6,7,4
s240,6,4,5,2,3,4,5
s333,3,3,3,7,7,3,4
s277,1,3,4,6,3,4,3
s014,6,3,5,3,6,1,6
s175,6,2,4,3,4,3,6
s106,2,4,2,5,5,6,2
s332,2,5,5,4,4,4,3
s247,4,1,5,2,5,3,3
s197,5,2,2,2,5,3,3
s331,6,3,4,2,7,1,6
s035,6,3,3,3,6,2,5
s105,4,5,4,1,3,6,2
s229,4,5,3,4,3,3,4
s231,3,4,3,3,5,2,4
s239,5,2,3,2,5,3,5
s059,4,4,6,2,6,4,2
s076,2,6,2,7,2,4,2
s324,5,3,4,4,4,5,4
s216,5,3,6,3,3,3,6
s119,5,5,4,3,6,3,3
s189,2,6,1,6,4,5,1
s141,4,6,4,3,4,5,3
s311,4,6,5,4,6,4,4
s283,2,5,4,3,4,5,3
s280,7,4,6,3,5,4,4
s009,3,3,1,3,3,4,5
s322,4,4,4,3,3,4,2
s125,3,6,2,6,4,5,1
s205,4,5,2,4,3,7,3
s028,1,7,4,4,5,5,3
s044,4,3,5,5,4,4,4
s319,2,4,2,3,4,5,3
s095,3,3,4,2,2,4,6
s218,4,3,4,4,2,2,3
s091,2,4,4,4,4,3,4
s045,5,5,4,4,3,5,3
s037,5,1,3,1,4,3,2
s090,5,3,6,2,6,3,5
s142,3,4,4,5,2,6,4
s208,NA,3,3,3,4,3,3
s248,4,4,4,2,5,1,2
s223,3,4,2,4,6,4,2
s328,3,5,4,3,5,2,2
s048,5,4,4,3,6,5,4
s344,NA,5,2,4,5,3,5
s296,2,7,2,3,3,5,3
s086,4,3,2,2,4,3,5
s242,3,5,3,4,4,5,1
s115,4,4,1,3,4,7,3
s263,6,1,3,5,6,3,5
s012,4,4,1,5,3,4,2
s275,4,3,2,4,3,2,4
s329,4,4,3,5,3,4,2
s287,4,4,2,5,4,5,3
s144,3,4,4,2,4,7,3
s346,3,2,4,5,4,4,3
s207,5,2,4,2,7,3,4
s272,2,4,3,7,3,5,3
s051,3,4,3,4,4,2,4
s212,4,3,4,3,4,4,3
s036,4,2,2,2,6,3,6
s132,5,5,3,4,3,4,4
s171,3,6,4,6,3,6,4
s219,3,4,2,4,4,5,3
s102,6,2,3,1,4,5,3
s172,4,4,5,1,4,1,5
s236,5,4,2,4,5,1,4
s253,4,2,5,3,5,4,4
s222,6,4,4,4,4,3,2
s191,3,2,5,3,3,4,5
s064,5,2,2,1,2,4,3
s033,3,2,3,5,3,3,2
s157,5,4,4,4,5,2,4
s209,2,5,1,7,1,7,1
s128,4,3,3,2,3,4,4
s349,3,4,3,4,5,4,4
s117,6,4,3,2,4,2,5
s065,2,5,2,4,2,4,3
s250,NA,3,2,4,6,3,3
s116,5,2,5,2,4,1,3
s062,5,3,4,4,5,4,4
s152,4,4,3,4,3,1,4
s335,3,3,5,6,3,4,5
s006,4,3,4,4,4,3,3
s206,4,4,1,3,5,6,3
s067,3,4,2,4,4,6,1
s080,2,2,2,3,6,6,2
s255,5,4,3,6,5,4,1
s156,5,4,2,3,7,1,1
s188,6,2,4,3,6,1,6
s300,4,7,3,4,2,4,2
s054,2,6,3,4,3,3,3
s323,5,3,7,3,5,3,5
s348,6,5,3,3,6,3,1
s139,4,4,5,2,3,2,4
s199,5,7,3,4,5,3,3
s182,3,5,3,3,2,5,2
s196,7,3,4,1,7,2,5
s320,5,6,4,4,4,3,4
s213,3,4,2,5,2,7,3
s040,3,4,5,1,4,2,6
s316,5,2,4,2,3,5,3
s002,5,3,4,2,4,2,5
s145,5,4,3,2,4,5,3
s087,5,3,5,2,3,4,4
s168,5,5,1,4,6,6,3
s215,3,4,3,6,3,3,2
s340,3,4,3,2,3,3,4
s245,2,4,2,6,4,3,2
s003,4,5,5,3,5,2,4
s038,1,7,2,4,5,4,1
s017,4,4,1,5,3,4,1
s120,5,1,6,4,6,2,6
s270,4,5,4,6,2,2,2
s288,2,3,4,3,4,6,3
s237,4,5,1,4,4,4,3
s232,4,3,6,3,2,5,1
s020,6,3,3,4,4,2,4
s124,3,4,3,3,3,5,3
s330,4,4,4,3,3,4,4
s285,5,3,3,4,4,2,4
s131,5,3,6,2,5,3,4
s025,3,6,4,1,6,4,5
s060,4,5,3,1,4,3,5
s055,4,4,5,4,4,3,4
s122,4,4,3,4,3,4,5
s148,4,6,2,3,5,3,4
s127,6,1,4,3,5,1,5
s104,6,4,4,1,6,1,5
s177,6,2,5,2,6,3,4
s294,3,1,3,3,6,2,6
s158,5,3,3,3,4,3,4
s194,3,3,1,2,4,4,4
s273,3,5,4,5,7,5,3
s187,4,4,5,5,4,3,2
s160,5,3,3,3,5,7,4
s225,2,5,1,4,5,6,3
s138,3,7,3,5,4,6,3
s126,4,7,3,5,7,4,1
s056,4,4,2,3,4,4,3
s267,4,3,3,5,4,2,2
s279,3,3,5,4,6,5,4
s174,5,3,3,2,5,2,6
s070,3,7,2,3,1,3,3
s163,2,4,3,4,3,4,3
s298,5,3,3,4,4,2,4
s201,4,4,1,7,2,4,3
s098,2,6,3,4,6,7,3
s092,5,4,5,2,6,3,4
s269,4,2,1,2,6,2,4
s079,4,4,2,2,4,4,5
s230,3,3,1,3,5,4,3
s143,5,5,4,2,7,5,4
s068,4,3,4,3,4,6,4
s220,4,3,3,1,6,1,5
s347,5,4,4,3,5,5,1
s306,2,5,1,5,1,5,NA
s030,3,7,3,7,2,5,4
s211,5,4,1,1,6,2,3
s049,5,2,5,2,7,4,6
s159,5,3,6,4,4,4,4
s262,3,5,1,4,4,4,2
s111,4,1,4,2,7,1,6
s107,4,4,2,4,4,3,3
s165,5,5,4,1,4,2,4
s265,4,5,4,1,4,2,3
s077,5,4,4,2,3,4,3
s088,4,4,2,5,3,5,4
s227,5,4,2,3,5,1,3
s085,5,4,5,2,6,2,7
s072,4,1,2,5,4,6,2
s313,4,5,2,4,3,4,5
s101,2,3,4,6,3,3,6
s047,3,6,2,6,2,6,4
s066,5,3,5,3,5,5,3
s113,4,6,3,2,4,4,3
s259,6,4,2,5,5,2,4
s354,4,1,6,2,3,4,4
s217,2,3,6,4,4,5,3
s133,7,3,6,1,7,1,4
s013,7,2,5,3,5,2,5
s235,3,5,3,1,6,2,7
s281,4,5,3,2,NA,3,5
s167,3,5,2,3,5,3,6
s352,5,4,3,2,4,4,4
s084,6,6,4,4,5,2,3
s243,6,3,4,2,5,3,4
s042,3,4,3,2,4,NA,4
s094,4,3,5,2,5,1,4
s334,5,6,4,5,4,4,4
s173,4,4,4,NA,3,3,3
s185,4,3,4,2,7,1,4
s061,5,5,6,5,3,3,5
s268,5,2,5,3,6,2,6
s198,6,4,5,2,4,2,4
s304,4,3,3,4,3,4,4
s221,5,3,5,3,6,4,4
s186,2,5,3,4,2,4,4
s342,4,2,7,1,7,4,6
s170,5,5,4,4,3,4,2
s325,2,5,2,4,4,4,3
s214,5,6,4,4,4,4,4
s315,1,4,2,5,1,3,1
s151,3,4,2,6,4,6,1
s078,4,7,2,4,2,4,4
s203,3,4,2,7,3,5,2
s032,7,4,5,3,4,2,3
s278,5,3,3,3,5,4,4
s193,6,3,7,5,3,2,3
s016,4,3,5,5,4,2,4
s302,5,3,4,1,3,4,3
s261,4,4,5,2,4,1,5
s271,1,6,2,7,4,4,2
s112,4,2,2,2,5,4,2
s110,1,4,4,5,3,6,2
s226,7,2,3,3,4,3,6
s291,3,6,3,5,5,4,3
s034,2,4,1,2,4,3,2
s258,4,6,2,5,4,4,1
s137,5,2,6,3,7,5,4
s058,6,2,6,4,7,2,5
s008,2,5,1,7,1,5,1
s351,4,4,3,3,4,4,3
s029,5,3,5,3,3,4,6
s305,7,4,4,1,3,4,6
s010,2,4,1,7,3,4,4
s108,2,6,1,4,5,6,5
s307,4,4,3,4,5,4,3
s073,6,4,4,3,7,3,4
s024,4,4,4,3,5,4,2
s026,4,4,6,3,4,2,4
s063,4,3,4,3,4,1,4
s109,4,4,3,3,4,4,2
s041,3,6,3,5,4,3,3
s089,5,3,5,2,3,3,4
s249,3,4,3,5,5,5,4
s254,3,3,4,4,6,4,3
s192,6,4,5,3,4,3,3
s266,4,2,3,4,5,6,4
s257,2,4,4,4,3,4,1
s337,2,5,2,4,2,5,3
s299,5,3,5,3,5,4,5
s007,7,3,3,1,5,1,7
s118,6,5,4,3,2,3,2
s238,4,4,1,6,6,3,1
s301,3,4,2,3,2,3,4
s164,1,4,2,6,3,3,1
s289,1,5,2,7,3,2,3
s155,4,4,5,3,4,2,4
s284,1,4,2,5,3,7,2
s293,5,2,3,3,5,4,2
s052,1,NA,1,4,4,3,2
s276,2,NA,3,7,4,5,3
s308,6,4,4,1,4,4,4
s153,3,5,3,5,5,3,5
s180,5,1,5,1,5,3,6
s233,5,5,4,4,4,4,3
s204,6,3,3,1,6,2,6
s021,4,3,2,4,6,3,4
s083,6,2,4,1,6,1,3
s244,7,4,3,1,5,1,4
s146,5,4,5,1,3,2,4
s181,5,6,3,3,5,4,3
s069,4,4,3,4,5,4,2
s314,5,5,2,5,3,5,3
s023,4,1,2,2,3,4,3
s292,5,1,3,1,6,5,6
s019,6,4,4,4,4,3,5
s149,3,3,3,2,6,6,3
s297,4,4,4,5,5,3,4
s336,2,1,5,3,5,4,5
s200,3,5,5,4,2,4,4
s234,3,6,3,2,4,4,4
s074,4,3,3,4,3,1,2
s309,5,4,3,2,5,5,3
s071,6,4,4,6,4,2,3
s183,3,4,2,5,6,7,3
s140,1,7,4,3,4,4,2
s264,4,4,3,4,4,4,4
s027,2,7,3,6,3,7,1
s053,3,7,4,7,1,6,2
s130,1,4,3,5,3,4,3
s150,4,6,3,3,3,4,1
s286,3,5,2,3,3,6,2
s350,5,3,5,1,7,1,4
s046,2,4,2,3,4,5,1
s195,5,4,5,4,6,3,5
s097,3,2,4,4,3,5,4
s290,2,4,4,3,2,3,3
s179,4,4,3,3,2,5,4
s093,4,4,3,4,2,5,1
s251,3,4,3,2,3,2,3
s154,3,3,3,3,4,5,3
s103,2,5,4,6,3,5,5
s345,4,4,4,4,6,4,4
s338,4,6,3,4,3,4,4
s321,4,4,4,3,4,3,3
s343,3,3,5,2,4,2,4
s295,3,7,3,5,3,7,3
s353,4,1,4,5,4,3,5
s303,4,5,3,3,5,2,5
s256,1,7,1,6,1,6,1
s114,3,4,5,3,5,2,6
s100,3,4,4,4,4,2,4
s274,5,3,4,5,4,3,2
s327,3,5,4,4,5,4,3
s210,4,5,3,3,4,3,6
s005,4,4,4,3,2,3,3
s022,4,NA,2,7,3,5,3
s341,3,4,2,5,5,5,3
s252,5,4,3,3,7,4,3
s241,4,2,2,5,3,4,1
s050,3,5,3,4,1,4,2
s004,4,4,4,3,NA,3,4
s134,4,3,4,3,4,2,2
s031,4,4,6,4,3,5,2
s082,4,4,4,4,7,5,4
