subj_id,q1F,q2R,q3F,q4R,q5F
s134,3,5,5,6,4
s307,5,5,4,1,7
s274,3,7,3,4,4
s041,5,4,7,3,5
s155,5,2,7,NA,5
s027,3,4,4,4,5
s295,3,5,4,3,4
s042,2,4,4,3,1
s128,4,4,4,3,6
s373,3,6,4,6,3
s317,3,1,4,3,4
s207,4,4,2,5,5
s262,2,6,3,4,5
s061,4,3,5,2,4
s203,2,6,3,6,4
s106,4,4,4,3,3
s358,5,3,5,1,6
s264,2,7,3,3,3
s245,2,7,2,6,3
s308,5,3,4,3,7
s337,2,5,4,4,3
s065,2,3,5,5,4
s211,3,5,4,4,2
s088,1,3,2,2,5
s347,6,4,3,4,4
s336,4,6,3,5,4
s294,6,6,4,6,4
s309,4,5,5,4,6
s301,4,3,4,5,5
s089,2,7,5,4,4
s229,3,4,6,3,NA
s006,2,2,4,4,5
s302,4,4,5,3,3
s261,4,4,4,4,5
s125,2,4,5,3,4
s090,3,5,4,4,5
s187,3,3,4,4,4
s278,2,6,6,3,7
s019,3,7,3,4,5
s356,1,4,7,5,1
s184,4,3,6,2,5
s355,5,4,1,6,3
s097,5,NA,5,3,5
s044,4,5,3,4,3
s289,4,5,5,4,6
s133,4,2,6,1,5
s067,5,2,6,3,5
s222,3,4,3,7,2
s379,5,3,5,3,3
s084,4,4,5,4,4
s273,5,4,5,6,1
s176,2,3,4,4,4
s232,5,3,5,4,5
s374,1,6,3,3,4
s051,3,3,3,3,7
s082,4,4,3,3,5
s163,4,3,3,2,5
s385,5,5,3,4,3
s286,4,3,5,2,4
s193,1,7,6,5,4
s093,2,6,5,4,4
s116,4,4,4,3,5
s233,4,6,5,3,4
s326,7,2,7,1,5
s275,3,4,2,3,5
s171,2,5,5,6,4
s382,4,3,5,5,3
s276,3,4,5,4,4
s324,4,3,3,3,4
s127,4,4,7,4,3
s192,5,4,5,3,7
s200,3,3,4,5,4
s100,6,4,5,2,4
s168,5,5,6,3,4
s166,6,4,6,5,2
s173,4,3,6,4,4
s293,2,4,5,4,2
s086,5,4,6,6,5
s122,4,3,4,4,5
s037,2,2,2,4,5
s092,4,3,5,3,5
s265,2,4,5,3,5
s365,3,5,3,3,5
s314,4,4,6,2,6
s087,1,4,1,4,2
s330,5,3,6,3,5
s349,5,4,3,2,5
s141,6,3,6,2,5
s008,3,5,5,3,3
s329,6,6,6,3,4
s313,2,4,5,4,3
s270,3,3,5,4,6
s250,4,4,5,4,3
s177,4,4,5,6,4
s335,4,4,4,1,4
s107,3,6,6,6,3
s251,2,4,7,4,4
s120,4,4,4,2,6
s319,5,3,4,5,5
s333,3,3,4,4,2
s055,2,NA,4,5,2
s368,3,5,4,4,6
s196,5,7,4,3,3
s071,3,7,5,4,3
s297,2,5,4,3,3
s017,4,3,6,2,4
s016,5,4,1,4,4
s183,4,4,3,5,5
s290,3,4,3,5,4
s246,5,3,3,4,3
s257,4,NA,3,2,4
s150,6,2,6,2,4
s131,5,2,6,4,7
