subj_id,Fq1,Rq2,Fq3,Rq4,Fq5
s298,5,5,4,4,2
s077,6,3,7,4,5
s159,4,6,3,7,2
s279,7,2,6,3,3
s285,4,4,5,3,2
s140,5,5,6,2,4
s301,4,4,1,7,3
s057,5,5,4,4,2
s065,3,5,4,4,4
s085,3,3,4,4,3
s348,3,5,4,3,4
s125,6,3,7,3,3
s197,1,6,3,5,4
s294,5,2,3,3,2
s341,4,4,4,3,6
s297,4,5,4,4,4
s004,5,3,NA,5,3
s078,7,6,4,4,6
s104,1,4,3,6,1
s216,4,3,6,2,4
s198,3,4,4,4,4
s235,1,5,4,4,2
s112,1,5,4,6,1
s051,4,4,7,5,5
s222,2,6,1,5,1
s117,6,4,4,4,5
s046,3,5,2,5,1
s325,4,6,5,5,4
s308,3,4,4,3,2
s230,4,5,4,4,NA
s344,5,4,4,6,2
s253,4,5,1,7,1
s206,5,3,3,6,2
s138,5,5,4,2,2
s244,4,5,6,5,4
s331,3,6,4,4,2
s158,4,6,3,1,4
s214,4,7,4,4,1
s160,5,2,1,5,4
s094,3,5,4,4,4
s013,4,5,6,3,3
s147,5,4,6,2,4
s074,1,1,3,4,3
s168,4,4,2,4,1
s309,5,4,4,3,4
s091,3,3,7,4,3
s042,5,2,4,4,3
s121,4,5,4,4,3
s261,3,3,NA,6,4
s245,4,2,3,6,2
s061,7,3,5,2,3
s130,6,4,4,5,3
s312,6,4,4,4,4
s026,4,4,2,4,5
s192,5,4,4,2,4
s139,4,2,6,3,5
s134,3,4,4,3,3
s267,3,4,5,4,3
s030,3,5,4,6,2
s095,6,2,6,3,4
s137,3,5,4,5,6
s083,4,4,3,3,5
s335,2,3,5,3,4
s202,4,2,5,3,6
s141,6,2,3,4,5
s103,4,5,4,4,3
s146,2,4,3,6,2
s114,2,5,6,7,1
s171,5,2,6,4,6
s256,4,7,4,5,4
s226,4,4,4,4,3
s182,3,3,4,5,3
s205,6,1,6,1,5
s199,2,7,3,7,3
s319,6,5,5,2,7
s323,5,5,5,6,4
s334,5,3,4,5,6
s087,6,3,4,4,5
s263,4,4,5,4,4
s303,3,5,3,2,2
s033,3,3,6,5,5
s215,2,5,2,6,4
s143,6,3,6,1,6
s290,5,7,2,6,3
s274,1,6,2,6,6
s066,6,2,6,5,4
s032,4,4,3,4,5
s266,4,4,4,1,5
s228,4,3,4,4,3
s175,4,2,5,4,4
s067,4,5,4,1,2
s055,7,2,4,3,2
s255,3,4,6,3,3
s068,4,5,6,4,7
s049,5,3,3,4,4
s224,3,2,2,4,3
s165,2,3,2,4,1
s040,4,4,4,4,4
s149,4,4,5,5,2
s153,4,3,4,3,3
s204,7,3,2,5,3
s092,4,3,5,4,3
s122,2,3,4,4,5
s010,4,6,2,6,5
s196,3,4,7,6,2
s306,3,3,2,5,1
s019,4,6,2,4,4
s193,5,4,5,2,5
s045,3,3,6,4,4
s351,5,3,4,4,3
s161,3,5,4,7,2
s183,5,4,7,4,5
s148,5,3,4,4,3
s208,5,4,4,3,3
s097,5,3,5,1,2
s035,4,6,1,5,3
s304,5,3,5,2,5
s020,2,3,4,4,4
s005,5,4,5,6,2
s177,4,5,3,4,5
s157,3,5,4,6,3
s071,6,4,7,5,4
s163,5,3,5,3,4
s166,5,6,4,7,1
s120,3,3,5,5,3
s028,4,4,5,5,5
s015,7,4,6,4,4
s345,4,5,1,7,1
s001,5,2,4,6,1
s227,3,4,3,2,3
s302,3,6,3,4,5
s096,4,2,6,2,6
s021,4,5,4,4,4
s022,3,4,4,7,2
s352,3,6,4,1,5
s296,2,3,5,4,7
s006,3,6,4,3,3
s063,4,4,5,4,3
s260,6,1,7,4,4
s252,3,4,4,5,7
s265,4,5,4,6,3
s108,4,3,5,4,3
s128,4,4,4,4,2
s100,2,2,5,4,4
s142,1,7,3,5,5
s355,3,4,3,5,3
s291,6,3,7,1,5
s275,7,4,7,4,4
s135,5,3,4,5,4
s251,4,3,2,2,3
s223,7,3,7,1,4
s018,4,1,5,4,7
s257,6,1,6,1,5
s184,2,5,2,NA,3
s080,3,2,3,4,4
s232,2,6,3,5,1
s084,NA,4,4,5,6
s250,4,5,2,2,2
s225,6,1,6,2,7
s231,3,5,2,3,5
s272,5,3,2,7,5
s277,3,4,2,4,3
s156,4,1,6,4,6
s200,2,5,2,5,2
s003,4,1,4,2,4
s350,3,4,2,5,3
s330,5,4,4,3,4
s307,5,4,5,2,3
s052,4,4,3,5,1
s181,4,5,3,4,3
s086,4,4,3,3,3
s109,5,3,3,2,4
s008,5,5,2,3,3
s209,5,1,7,1,4
s169,4,1,3,3,3
s219,2,5,5,4,3
s247,4,4,4,4,4
s282,2,6,3,6,1
s124,5,3,4,2,4
s284,3,7,5,2,5
s314,3,4,2,5,2
s315,5,1,4,3,5
s136,3,3,4,3,7
s220,5,3,6,4,4
s054,7,3,5,2,4
s129,2,7,3,7,3
s283,1,5,4,7,2
s132,6,2,7,4,5
s119,7,1,7,3,7
s102,2,7,4,5,3
s240,2,6,2,7,2
s210,5,2,6,1,5
s201,4,3,4,3,2
s258,6,3,7,2,5
s186,1,3,5,6,3
s326,5,6,5,4,4
s273,5,4,4,3,3
s295,2,4,2,5,1
s237,4,5,3,5,1
s356,4,2,4,4,3
s342,6,4,5,4,6
s299,2,3,7,4,3
s011,4,3,7,3,3
s322,3,4,3,4,2
s340,1,5,4,4,5
s180,6,4,4,5,3
s107,3,5,4,4,2
s288,4,5,4,5,6
s098,1,5,4,4,2
s320,3,4,3,1,1
s269,2,6,4,5,4
s187,3,4,5,3,5
s170,3,3,4,2,4
s025,4,4,4,3,3
s321,2,4,4,4,2
s300,4,4,5,5,5
s354,4,3,4,5,3
s211,5,5,6,3,3
s347,6,4,5,5,5
s041,3,5,3,4,3
s113,5,5,4,3,4
s031,5,4,5,5,5
s106,3,4,5,4,4
s270,4,3,7,5,2
s243,4,2,5,5,3
s029,6,4,4,3,5
s116,4,1,4,2,6
s060,5,2,4,3,5
s089,5,6,5,3,4
s048,5,6,4,6,2
s007,4,2,7,4,5
s155,3,6,4,4,2
s191,7,2,6,3,5
s213,7,5,4,3,5
s317,4,3,7,1,4
s093,4,3,5,6,2
s024,4,4,5,4,1
s287,2,1,5,4,3
s238,5,5,3,5,2
s293,4,3,2,4,4
s221,4,4,3,3,3
s043,6,5,5,4,4
s023,4,4,5,4,4
s167,3,4,5,5,5
s353,5,5,6,5,4
s336,2,5,2,7,1
s338,4,3,3,1,5
s036,7,3,7,3,4
s090,4,4,3,4,4
s053,1,7,2,5,3
s164,5,3,3,6,5
s179,7,4,4,3,1
s009,2,3,2,3,4
