subj_id,q1-F,q2-R,q3-F,q4-R,q5-F
s079,4,5,3,4,3
s186,5,4,3,NA,3
s164,4,5,4,7,4
s226,7,2,7,3,6
s194,3,3,2,4,1
s222,5,3,4,5,3
s121,7,4,5,5,5
s295,3,2,3,7,1
s343,7,3,5,3,2
s003,7,4,6,1,5
s118,2,5,3,5,2
s232,4,5,4,6,3
s310,7,2,5,3,5
s272,7,2,4,4,5
s155,4,3,4,3,3
s275,1,5,5,4,2
s253,4,6,4,5,2
s308,4,5,4,6,2
s165,1,6,2,6,1
s045,4,3,3,5,2
s299,5,4,3,5,3
s047,5,6,3,4,4
s318,5,1,4,4,6
s017,5,4,4,5,2
s198,5,2,7,4,5
s116,5,2,7,5,5
s115,3,5,5,3,4
s029,5,6,3,4,4
s056,6,2,6,2,4
s261,5,4,5,2,3
s082,6,4,7,2,5
s069,4,4,3,5,4
s076,5,3,4,6,4
s178,4,3,5,5,5
s242,4,4,3,4,3
s089,4,6,5,6,3
s015,5,6,4,4,5
s317,5,4,5,7,4
s083,4,3,4,5,2
s229,7,3,6,3,3
s327,4,5,4,4,1
s168,5,4,6,3,3
s319,3,5,NA,4,4
s080,4,3,4,4,5
s268,4,6,4,4,4
s043,7,6,6,4,3
s127,5,4,4,3,4
s154,7,3,2,2,3
s342,5,3,3,3,5
s326,5,2,4,1,6
s281,5,3,5,5,3
s114,3,5,5,5,1
s331,4,4,2,6,2
s095,4,4,4,4,2
s063,7,4,4,4,5
s105,5,3,4,6,5
s322,NA,4,4,5,4
s111,5,4,4,5,3
s238,7,1,6,3,7
s036,4,6,3,5,3
s107,5,4,4,5,3
s233,4,2,3,5,6
s019,5,NA,5,6,3
s293,6,2,4,3,4
s175,3,4,4,7,3
s002,5,5,4,5,4
s204,4,6,3,6,4
s072,3,5,4,4,2
s208,4,7,5,3,4
s195,7,2,4,2,1
s307,3,3,1,5,3
s193,3,4,3,7,4
s216,4,5,3,4,4
s071,4,4,5,4,1
s084,5,3,4,4,1
s171,4,4,2,7,3
s005,3,4,5,4,2
s338,5,5,5,3,4
s062,7,2,5,3,5
s150,6,3,4,4,5
s177,5,3,4,4,4
s337,7,3,7,3,7
s073,4,4,4,5,4
s203,3,4,1,7,3
s024,7,3,7,4,4
s344,4,3,4,5,1
s039,7,2,6,5,6
s345,4,5,4,7,3
s130,7,2,5,2,4
s197,4,2,6,5,5
s065,5,4,3,4,5
s312,4,2,7,2,5
s125,4,5,4,6,3
s201,2,5,5,4,2
s179,4,5,2,7,1
s301,4,4,4,3,3
s316,4,3,4,4,3
s200,2,3,6,3,4
s004,7,4,4,5,3
s350,6,5,3,4,3
s328,4,4,2,4,3
s132,4,4,5,5,3
s028,3,5,4,5,5
s288,4,1,4,3,7
s032,3,3,4,6,3
s309,5,5,2,4,4
s248,4,6,2,4,2
s188,2,5,4,4,3
s016,4,4,3,6,2
s206,4,4,3,6,3
s234,4,5,4,4,5
s025,5,2,2,2,4
s340,3,2,4,4,1
s141,4,3,4,4,5
s181,5,3,5,3,2
s324,6,4,6,5,4
s209,6,3,4,4,6
s254,NA,6,4,5,4
s231,7,3,3,6,3
s249,5,3,6,3,4
s106,6,3,3,6,5
s211,6,5,5,3,4
s112,5,3,5,7,2
s302,5,3,4,2,3
s060,4,4,3,4,4
s075,4,4,3,7,6
s297,3,4,2,4,3
s126,2,3,2,6,1
s270,4,6,4,6,4
s277,5,2,3,5,4
s099,2,6,2,4,4
s274,7,1,6,3,5
s191,3,4,3,6,2
s097,5,4,5,3,4
s053,7,4,3,3,2
s052,2,6,2,5,1
s291,3,5,5,5,3
s090,4,3,4,4,4
s135,4,1,4,3,7
s137,4,1,4,3,4
s051,4,6,2,6,3
s305,4,4,5,4,3
s280,5,4,6,4,5
s282,5,4,4,6,1
s287,6,3,4,3,4
s014,3,3,6,5,3
s267,3,6,2,5,3
s258,4,4,5,2,3
s353,6,4,2,4,3
s133,2,5,6,6,NA
s315,7,1,5,1,4
s021,7,2,4,4,3
s264,5,5,5,6,6
s228,4,3,2,NA,4
s042,6,5,4,4,3
s152,5,4,3,5,3
s187,5,5,6,4,3
s262,6,4,4,3,4
s311,6,5,4,4,6
s020,6,3,3,6,5
s078,5,3,5,4,5
s245,6,3,4,5,2
s134,5,3,6,5,5
s013,4,4,3,7,4
s202,5,4,5,4,4
s349,5,4,6,3,1
s182,6,4,4,4,6
s091,4,2,2,4,5
s158,5,5,5,7,2
s259,3,5,5,5,3
s300,4,4,3,4,4
s255,5,2,2,6,2
s161,5,4,4,4,3
s145,7,1,5,3,4
s223,2,6,2,6,3
s001,5,4,4,6,3
s339,5,3,4,5,4
s313,4,3,4,4,3
s243,5,7,4,7,3
s207,6,5,3,3,5
s269,6,4,4,4,3
s341,6,2,4,3,6
s192,4,5,5,7,3
s219,4,4,4,3,3
s096,3,7,4,5,4
s285,2,6,4,5,4
s286,4,5,4,6,2
s325,6,3,4,3,5
s335,5,5,5,6,4
s169,5,6,6,7,4
s263,3,3,4,3,5
s251,6,4,4,5,3
s142,7,1,6,4,6
s298,2,5,4,5,3
s330,7,5,3,3,6
s190,6,5,1,5,4
s336,3,7,3,5,2
s055,4,5,5,5,3
s104,4,2,6,4,6
s260,7,3,7,3,7
s138,3,3,7,4,3
s136,3,7,2,4,2
s235,6,3,4,3,4
s199,4,3,5,5,4
s034,5,2,6,2,7
s086,3,5,5,5,3
s117,3,5,4,5,3
s265,4,1,4,7,2
s022,5,4,5,4,4
s077,7,2,5,3,3
s030,4,3,7,3,5
s059,4,6,1,6,3
s166,5,3,6,4,5
s283,4,3,5,4,4
s008,6,3,4,3,3
s296,3,3,4,4,3
s321,5,3,5,3,5
s170,5,2,4,6,2
s323,6,2,6,4,4
s157,4,4,3,6,3
s284,5,3,7,3,4
s088,3,1,4,3,4
s131,5,4,4,3,4
s144,5,3,4,3,4
s217,5,5,5,4,5
s167,6,5,5,4,3
s241,4,3,4,4,4
s074,6,3,3,6,5
s023,5,5,4,4,2
s236,7,2,7,3,4
s007,5,6,1,5,1
s159,4,4,4,4,2
s101,5,5,3,3,4
s147,3,5,2,5,3
s033,4,5,4,7,2
s244,5,4,7,4,3
s044,5,4,5,6,2
s054,2,4,3,4,2
s006,7,3,6,2,6
s038,4,4,6,5,5
s290,5,6,6,3,6
