subj_id,gender,age,language
s001,female,24,monolingual
s005,nonbinary,19,bilingual
s009,male,21,monolingual
s013,female,23,monolingual
s017,male,21,monolingual
s021,male,22,monolingual
s025,female,21,monolingual
s029,male,18,monolingual
s033,male,20,bilingual
s037,male,missing,bilingual
s041,male,20,monolingual
s045,male,20,monolingual
s049,female,missing,monolingual
s053,male,22,monolingual
s057,male,19,bilingual
s061,male,18,monolingual
s065,female,24,bilingual
s069,female,19,bilingual
s073,female,20,monolingual
s077,female,21,monolingual
s081,nonbinary,20,monolingual
s085,male,23,monolingual
s089,male,18,monolingual
s093,male,24,bilingual
s097,NA,20,bilingual
s101,male,23,bilingual
s105,female,19,monolingual
s109,male,20,monolingual
s113,female,19,monolingual
s117,male,23,monolingual
s121,nonbinary,missing,bilingual
s125,female,24,monolingual
s129,male,20,monolingual
s133,female,18,bilingual
s137,male,19,monolingual
s141,female,20,monolingual
s145,male,19,monolingual
s149,female,20,bilingual
s153,male,24,monolingual
s157,male,20,monolingual
s161,male,23,monolingual
s165,male,21,monolingual
s169,male,22,monolingual
s173,nonbinary,20,monolingual
s177,male,24,bilingual
s181,male,missing,monolingual
s185,nonbinary,20,bilingual
s189,male,19,monolingual
s193,female,23,monolingual
s197,male,21,bilingual
s201,female,20,monolingual
s205,female,19,monolingual
s209,male,20,monolingual
s213,male,19,bilingual
s217,male,25,bilingual
s221,nonbinary,20,monolingual
s225,male,18,monolingual
s229,male,21,bilingual
s233,male,21,monolingual
s237,female,19,monolingual
s241,female,missing,monolingual
s245,male,20,monolingual
s249,male,21,monolingual
s253,male,22,bilingual
s257,NA,21,bilingual
s261,female,19,monolingual
s265,NA,21,bilingual
s269,female,20,monolingual
s273,male,21,monolingual
s277,male,19,monolingual
s281,male,20,monolingual
s285,female,19,monolingual
s289,female,21,monolingual
s293,male,23,monolingual
s297,female,21,monolingual
s301,female,19,bilingual
s305,male,20,monolingual
s309,male,20,monolingual
s313,male,21,monolingual
s317,female,20,monolingual
s321,male,20,bilingual
s325,male,22,monolingual
s329,male,22,monolingual
s333,male,21,monolingual
s337,NA,19,bilingual
s341,NA,18,monolingual
s345,female,20,monolingual
s349,nonbinary,23,bilingual
s353,male,23,bilingual
