subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R,q13_F
s013,4,4,4,7,3,2,6,5,3,5,4,4,3
s282,1,7,3,7,1,5,3,5,3,5,4,4,3
s150,4,2,4,5,3,2,3,5,3,4,4,4,5
s103,2,2,4,4,2,2,4,3,6,2,5,3,4
s379,3,4,4,4,6,3,4,6,6,6,4,5,4
s233,4,4,6,5,2,2,3,5,3,6,3,6,3
s098,4,4,4,3,6,4,4,4,4,4,6,4,4
s268,4,6,3,3,2,5,4,3,5,4,5,4,4
s319,4,3,7,3,4,3,7,2,6,3,5,4,6
s099,4,4,5,3,3,3,5,5,3,4,5,4,4
s283,2,3,NA,4,3,2,6,6,4,3,6,5,3
s158,5,3,5,5,2,2,7,4,5,3,5,4,5
s109,2,3,3,2,2,5,2,5,4,5,3,5,3
s380,2,6,3,6,NA,3,5,5,2,1,5,4,3
s102,4,1,5,4,5,3,6,5,5,1,5,3,4
s377,3,3,6,4,3,5,6,4,6,2,4,2,6
s091,1,4,4,6,2,4,4,4,5,1,4,5,4
s088,1,3,3,4,2,3,5,7,2,4,4,4,4
s350,3,4,3,4,3,4,3,3,5,2,5,5,2
s100,2,2,4,4,3,5,6,4,3,4,5,6,5
s362,4,6,4,5,3,3,3,5,3,2,6,4,5
s044,4,4,5,3,3,3,5,4,4,3,5,3,5
s256,4,2,7,3,4,4,4,1,2,4,4,3,5
s306,5,5,4,4,3,3,3,6,5,1,5,3,4
s189,4,5,3,4,1,4,4,6,5,4,3,4,5
s304,1,4,1,5,1,5,3,5,4,5,3,5,1
s228,6,1,7,4,2,3,5,4,3,4,6,5,3
s177,5,4,4,7,1,4,5,4,3,6,4,5,2
s372,3,2,5,7,3,4,4,5,5,4,4,6,4
s310,1,6,1,7,1,4,2,7,2,5,2,4,2
s123,3,4,4,6,2,3,4,5,2,4,2,4,3
s188,6,1,7,4,7,1,5,5,5,2,4,1,4
s031,2,2,2,4,1,5,4,4,4,3,5,4,6
s239,3,1,7,3,4,2,5,3,6,4,4,2,6
s370,4,4,5,4,3,4,4,3,1,5,4,6,2
s294,3,2,5,3,3,1,6,3,4,2,5,3,4
s112,1,1,5,6,3,3,4,4,3,3,2,4,3
s128,2,3,3,6,1,4,3,5,4,6,5,5,2
s039,4,3,4,4,4,4,3,6,3,3,4,6,5
s258,3,3,4,7,3,4,3,5,4,6,5,5,4
s006,2,4,3,3,2,3,2,3,2,5,4,5,4
s042,3,7,3,5,1,5,5,4,3,3,4,6,3
s139,4,4,4,1,3,1,4,3,5,3,5,3,6
s104,2,3,3,4,3,4,5,4,4,4,4,3,6
s173,2,4,4,7,2,1,4,5,4,3,4,4,2
s213,1,4,4,5,2,4,4,7,3,6,2,3,2
s003,4,3,6,3,4,5,5,4,4,3,5,4,6
s058,4,1,6,4,3,3,6,4,4,5,5,3,5
s071,1,4,5,4,5,1,5,5,4,3,3,4,2
s151,2,4,4,3,4,5,5,3,5,5,5,3,4
s025,4,5,2,3,3,3,4,5,4,4,6,4,3
s244,5,4,3,5,1,1,5,4,4,2,6,3,4
s285,5,3,6,3,5,1,6,4,6,2,7,2,6
s344,4,5,4,7,2,5,4,5,2,7,3,6,1
s057,4,4,5,3,1,1,5,4,4,3,5,3,7
s371,4,4,5,3,1,3,6,5,2,4,5,4,3
s259,4,2,6,5,3,2,5,3,4,3,4,4,4
s303,2,3,5,4,2,3,5,3,6,2,4,2,5
s029,2,5,5,4,4,3,3,5,3,4,5,3,4
s011,4,6,3,6,2,5,3,7,4,4,4,4,3
s185,2,2,5,5,4,4,3,4,2,4,2,4,3
s062,4,4,6,5,4,5,6,7,3,2,5,3,3
s218,2,3,5,2,2,3,7,6,4,5,5,1,5
s012,2,3,6,4,4,2,3,7,3,4,5,3,3
s315,2,5,3,6,3,3,5,7,3,6,4,6,1
s050,3,4,5,6,1,4,5,5,3,2,4,4,4
s291,3,5,2,5,1,6,1,7,1,4,3,6,3
s129,3,3,6,7,5,2,4,4,3,3,3,3,2
s353,4,3,6,4,3,3,4,6,3,3,6,6,3
s279,3,1,6,4,4,2,5,4,5,2,6,1,3
s263,4,4,5,5,4,3,5,4,4,4,5,4,5
s381,3,3,5,5,1,3,5,5,4,4,5,3,3
