subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F,q12-R
s280,6,3,3,NA,4,3,7,3,4,1,1,4
s317,5,6,3,4,6,2,3,1,7,4,3,4
s223,3,7,1,5,1,6,3,5,1,4,2,5
s021,3,3,3,5,3,6,4,6,3,5,4,4
s188,5,1,3,6,6,3,4,3,4,3,5,3
s052,5,3,3,4,3,4,4,3,6,3,5,3
s067,5,4,1,2,4,3,5,3,5,4,5,4
s167,4,5,4,6,2,5,5,4,4,4,1,6
s238,5,2,4,2,5,6,6,4,5,2,4,4
s029,2,5,1,4,3,3,4,5,4,5,2,7
s323,5,5,4,4,3,5,4,4,2,3,4,4
s118,5,4,4,5,5,5,4,4,4,4,2,6
s333,2,2,3,7,4,5,4,6,4,6,1,5
s339,5,3,2,4,3,5,6,2,3,3,3,4
s226,4,4,4,4,7,4,3,4,3,4,4,4
s096,4,6,1,7,3,6,5,5,1,6,3,6
s010,2,5,4,3,4,5,4,3,4,4,3,4
s296,5,2,6,1,5,4,7,1,5,1,7,3
s073,5,7,4,4,2,3,3,4,4,6,1,4
s242,3,2,3,6,2,5,3,7,2,5,4,3
s139,5,5,4,4,5,3,5,3,4,3,6,3
s232,4,4,5,6,7,5,5,2,1,2,6,4
s034,4,3,3,4,4,5,6,6,5,3,5,6
s180,3,5,6,5,5,4,6,3,7,4,5,4
s313,6,6,3,7,4,5,2,3,3,3,4,2
s256,3,2,6,2,4,2,7,1,5,2,7,1
s156,4,3,2,3,5,5,4,1,5,3,3,5
s260,4,3,6,4,4,3,5,2,5,2,5,2
s011,3,4,4,3,2,6,5,2,3,3,3,6
s291,4,2,4,4,3,3,4,4,5,4,4,4
s049,5,3,4,3,4,3,6,1,5,1,6,5
s295,5,5,7,4,5,3,7,3,7,1,6,2
s202,4,6,6,6,5,4,5,4,5,1,3,3
s107,4,5,2,5,4,3,4,2,4,5,4,4
s005,3,5,2,4,4,4,3,4,4,2,3,5
s248,6,4,5,1,6,4,4,1,6,1,5,2
s149,5,6,3,5,5,6,6,4,4,3,3,3
s293,5,5,4,5,6,3,6,4,2,6,3,5
s090,5,5,5,4,4,4,6,4,4,4,2,4
s041,4,5,2,3,5,3,6,6,5,3,4,2
s336,4,4,3,4,3,4,3,4,3,5,4,5
s047,4,4,2,3,3,5,5,2,5,3,6,4
s140,6,4,4,7,3,4,3,6,5,4,4,3
s147,4,4,3,4,4,6,7,3,5,5,2,7
s068,3,6,4,5,3,6,2,4,3,5,2,5
s106,4,6,2,5,4,6,3,6,4,4,3,5
s031,3,2,4,5,5,5,5,5,6,5,3,4
s186,4,5,3,5,2,6,3,4,1,5,3,6
s040,4,3,3,4,5,3,7,6,NA,5,5,3
s141,2,4,3,4,5,5,5,4,6,3,5,6
s301,5,4,2,3,4,3,5,5,4,3,3,5
s117,2,6,2,7,2,5,4,5,1,5,1,4
s054,6,5,3,4,4,3,6,3,4,2,5,5
s058,5,3,2,6,3,5,4,5,4,5,4,5
s121,4,3,3,5,4,3,5,3,4,5,1,3
s038,3,4,3,4,4,1,4,4,4,4,3,4
s272,7,2,7,4,4,2,5,2,7,4,5,2
s199,3,3,3,4,6,4,3,3,5,5,7,3
s120,2,7,1,7,3,5,3,4,3,7,2,6
s155,5,3,4,4,2,3,4,5,6,3,5,5
s193,7,4,5,1,4,3,7,3,4,2,7,6
s061,3,4,2,5,3,4,6,3,3,5,3,3
s037,5,4,7,5,4,4,5,5,5,2,5,2
s287,3,6,2,4,5,3,4,5,4,2,4,2
s298,5,4,5,4,7,5,5,3,4,4,6,4
s342,5,4,5,1,2,3,6,5,4,4,3,5
s110,6,3,3,5,4,3,4,4,3,4,5,3
s162,4,2,4,5,3,2,5,4,4,4,3,4
s288,6,3,5,5,4,3,4,3,4,1,4,4
s142,5,NA,2,4,6,2,4,2,3,4,5,4
s134,4,5,1,6,5,7,4,4,1,5,1,7
s184,6,4,5,4,7,3,5,2,5,4,3,3
s165,4,3,3,3,4,6,6,4,6,4,5,4
s016,6,4,2,4,7,4,7,3,5,6,3,NA
s173,3,4,3,6,2,6,2,6,3,5,3,5
s111,4,5,2,4,4,5,3,4,3,4,4,3
s023,4,4,2,3,4,4,4,4,5,3,4,4
s221,6,5,4,4,2,3,7,4,4,3,4,5
s257,3,3,4,5,6,4,5,4,6,3,4,5
s026,5,2,4,5,4,2,5,1,4,3,5,3
s002,4,6,3,5,4,4,4,2,4,3,3,5
s259,6,5,3,4,7,4,4,4,2,2,5,2
s009,5,3,5,4,5,5,5,2,4,1,6,2
s205,5,5,2,4,3,4,6,NA,5,3,5,4
s219,3,5,3,3,4,6,2,6,2,5,3,3
s198,4,5,2,4,3,3,5,4,4,3,3,4
s214,5,5,3,6,4,5,3,5,4,5,4,5
s253,2,6,1,7,3,6,5,6,4,3,3,4
s042,4,5,3,4,3,6,2,3,4,3,1,6
s228,7,4,4,4,4,4,3,2,5,6,5,4
s161,5,4,2,5,4,4,4,4,4,3,2,3
s211,5,4,2,4,2,6,3,3,3,4,3,4
s194,3,5,1,6,4,7,4,6,2,7,4,5
s196,4,3,3,7,4,4,7,5,4,4,5,5
s212,4,2,3,4,7,4,6,1,1,3,4,5
s334,6,3,6,3,6,4,4,3,7,NA,5,1
s254,4,4,3,6,3,7,4,3,1,4,2,7
s182,6,2,3,5,6,7,4,4,5,3,4,4
s271,3,6,3,4,1,6,3,4,2,3,4,5
