subj_id,gender,age,language
s001,female,20,monolingual
s005,male,21,bilingual
s009,female,19,monolingual
s013,male,22,monolingual
s017,male,21,bilingual
s021,NA,21,monolingual
s025,NA,18,monolingual
s029,nonbinary,21,monolingual
s033,male,21,bilingual
s037,male,20,bilingual
s041,male,19,monolingual
s045,female,22,monolingual
s049,nonbinary,22,monolingual
s053,nonbinary,19,monolingual
s057,male,24,monolingual
s061,male,21,monolingual
s065,male,21,bilingual
s069,male,22,monolingual
s073,male,21,monolingual
s077,male,22,bilingual
s081,male,missing,monolingual
s085,male,22,bilingual
s089,female,19,monolingual
s093,nonbinary,21,bilingual
s097,male,24,monolingual
s101,male,18,monolingual
s105,male,20,monolingual
s109,male,20,monolingual
s113,male,20,bilingual
s117,male,21,monolingual
s121,male,22,bilingual
s125,female,24,monolingual
s129,female,19,monolingual
s133,male,20,monolingual
s137,female,18,bilingual
s141,male,20,monolingual
s145,NA,20,bilingual
s149,male,21,monolingual
s153,nonbinary,19,monolingual
s157,female,20,monolingual
s161,male,22,monolingual
s165,female,missing,monolingual
s169,male,21,monolingual
s173,male,20,monolingual
s177,male,21,monolingual
s181,male,20,bilingual
s185,male,19,monolingual
s189,male,23,monolingual
s193,male,20,monolingual
s197,female,19,monolingual
s201,nonbinary,23,bilingual
s205,female,22,monolingual
s209,male,22,monolingual
s213,male,24,monolingual
s217,male,23,monolingual
s221,male,24,monolingual
s225,male,21,monolingual
s229,male,24,monolingual
s233,female,20,monolingual
s237,male,20,monolingual
s241,male,19,bilingual
s245,male,22,monolingual
s249,female,23,monolingual
s253,male,20,monolingual
s257,male,24,monolingual
s261,male,19,monolingual
s265,nonbinary,20,monolingual
s269,male,21,monolingual
s273,female,21,bilingual
s277,NA,21,bilingual
s281,male,20,monolingual
s285,female,21,monolingual
s289,male,22,monolingual
s293,female,21,monolingual
s297,female,20,monolingual
s301,male,20,monolingual
s305,male,19,monolingual
s309,male,21,monolingual
s313,female,19,monolingual
s317,male,18,bilingual
s321,NA,21,monolingual
s325,male,20,monolingual
s329,female,23,monolingual
s333,female,20,monolingual
s337,male,21,monolingual
s341,female,23,monolingual
