subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10
s004,1,4,4,6,3,5,3,4,2,5
s091,5,4,6,4,1,6,4,2,3,3
s196,7,4,4,6,4,3,4,2,4,4
s203,5,5,3,4,7,6,3,4,5,4
s178,3,2,NA,4,4,3,5,5,5,4
s109,4,6,3,6,4,4,3,5,5,4
s042,3,7,3,5,1,6,3,5,4,6
s251,3,4,5,7,2,6,1,5,5,5
s225,4,1,3,7,4,3,4,4,4,4
s146,1,3,3,5,4,4,2,6,4,4
s013,4,1,4,4,4,3,4,4,3,5
s211,3,4,4,4,3,5,4,4,4,5
s168,3,6,4,6,3,7,3,7,3,5
s098,3,4,5,4,4,4,5,1,6,5
s220,5,1,5,5,5,2,5,2,4,3
s102,6,3,5,3,6,4,5,4,5,1
s293,3,2,4,5,2,3,3,4,5,2
s061,2,2,3,6,1,7,3,4,3,6
s039,5,2,3,3,5,3,6,2,5,4
s145,7,4,4,4,6,4,5,4,5,3
s237,5,5,4,4,4,3,4,5,5,5
s049,5,3,5,5,3,4,2,3,5,1
s064,5,4,5,5,3,4,3,6,3,4
s157,5,4,5,4,5,3,5,3,2,2
s051,5,4,4,5,3,6,4,7,5,1
s073,6,5,6,4,4,3,5,3,5,3
s089,4,2,6,3,5,3,5,5,6,2
s276,5,3,5,4,2,6,4,5,3,5
s138,4,2,4,6,3,5,4,7,1,5
s142,7,2,7,6,7,3,5,4,5,1
s003,5,2,4,6,3,2,5,4,5,4
s174,5,3,7,2,4,4,5,3,5,4
s166,4,5,3,3,1,7,3,4,4,3
s081,5,1,6,4,2,5,6,2,4,2
s257,4,2,3,4,2,3,4,3,4,3
s136,1,4,4,7,5,4,2,4,2,4
s277,3,1,6,3,4,4,5,2,6,3
s001,5,4,3,3,2,4,4,4,2,3
s134,5,2,7,3,4,3,3,4,5,2
s096,4,4,6,6,4,4,4,5,3,4
s268,5,4,6,4,4,5,3,3,7,4
s303,3,3,3,6,2,5,2,5,2,5
s052,1,6,1,7,1,5,1,6,1,7
s184,2,4,2,4,3,5,4,4,5,4
s299,3,4,6,7,3,4,4,4,3,4
s117,7,2,5,3,4,3,4,3,4,1
s296,3,3,4,5,5,4,4,5,5,4
s037,4,3,5,5,5,4,3,2,3,4
s009,5,2,3,3,4,3,5,4,6,1
s274,2,5,3,5,4,4,1,4,4,2
s278,6,3,4,4,4,2,6,3,7,3
s255,7,3,5,3,6,2,6,1,7,1
s115,5,4,4,5,4,4,4,2,6,4
s100,4,3,4,6,2,5,2,3,4,2
s173,3,4,1,7,3,5,3,5,1,7
s179,3,2,5,5,3,3,3,4,5,2
s156,7,1,7,2,7,2,7,2,4,1
s084,4,5,4,4,6,2,4,5,5,4
s158,5,3,4,4,3,4,3,4,4,2
s011,3,4,5,6,4,6,5,4,3,3
s298,4,3,2,6,2,4,2,5,4,3
s217,4,6,3,6,2,3,3,3,5,4
s130,5,3,5,4,5,2,4,4,4,2
s035,3,3,4,4,5,4,4,3,5,5
s018,4,4,4,5,2,4,3,3,4,4
s292,5,4,5,4,5,2,5,1,7,4
s078,2,2,6,4,6,1,5,4,5,4
s218,2,3,3,7,1,4,4,5,2,3
s085,4,2,5,6,3,4,3,4,4,3
s266,6,2,7,5,4,4,5,6,4,1
s233,5,1,4,3,2,2,6,2,5,2
s119,5,1,4,5,5,2,5,4,6,1
s192,2,6,2,7,4,3,3,5,4,5
s290,4,6,4,7,2,6,2,5,3,4
s213,7,1,7,3,7,4,5,2,7,2
s139,4,3,5,4,6,1,5,4,4,2
s172,3,4,4,6,3,3,3,4,4,4
s180,4,4,4,5,3,5,4,5,6,2
s023,7,4,5,6,4,2,NA,5,3,3
s143,5,3,4,2,6,4,7,3,5,2
s221,3,5,4,6,4,4,5,6,4,5
s005,5,3,7,4,3,4,5,3,5,4
s108,4,4,2,3,4,4,2,5,4,3
s227,1,4,4,4,2,4,2,4,2,4
s285,3,NA,4,5,4,3,2,5,3,5
s033,5,4,4,6,5,4,6,2,5,3
s026,6,1,4,4,5,2,5,3,6,NA
s074,2,7,3,7,1,6,1,7,2,5
s067,3,5,2,5,3,4,4,4,2,3
s197,7,2,6,4,5,4,4,2,6,2
s152,4,4,5,5,4,1,3,5,4,6
s256,4,3,3,4,4,3,2,5,4,4
s021,2,2,3,4,6,5,4,5,4,3
s282,7,2,7,4,6,3,4,3,7,1
s236,4,3,2,3,3,4,3,3,4,3
s122,5,4,4,4,4,3,5,3,5,2
s204,4,1,5,6,4,5,4,3,5,2
s147,6,4,4,4,5,4,5,3,7,2
s088,2,4,5,6,3,4,4,5,7,3
s186,4,4,2,6,2,5,1,6,5,4
s195,5,2,5,4,4,3,3,4,3,3
s153,3,4,4,5,1,5,5,4,3,4
s112,4,4,5,4,4,4,4,4,2,4
s065,5,3,6,1,5,2,3,2,5,3
s114,4,5,4,7,5,6,5,5,2,1
s092,5,3,5,4,3,2,5,4,5,5
s046,3,4,5,5,3,4,2,4,4,2
s206,1,6,3,5,2,6,1,5,3,4
s014,3,5,6,4,4,3,4,4,5,4
