subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10,F_q11,R_q12,F_q13
s074,3,5,5,5,5,4,5,5,6,2,7,3,7
s179,3,2,4,3,3,4,5,2,4,2,4,4,5
s240,5,2,6,4,3,1,6,4,6,3,5,3,6
s203,4,3,3,4,5,5,5,3,3,6,4,5,3
s017,2,6,6,4,4,5,3,5,3,4,2,6,4
s355,5,3,4,4,4,6,4,4,5,5,3,4,4
s070,6,3,6,4,7,5,6,2,4,6,4,2,5
s326,3,2,7,6,4,3,4,5,6,4,3,4,4
s100,4,6,3,6,1,5,4,7,4,4,2,6,3
s239,2,5,4,6,3,7,5,4,1,4,3,3,4
s147,5,6,4,3,1,4,3,6,2,4,2,4,4
s273,4,4,4,7,4,4,4,4,4,3,4,3,4
s040,5,5,6,6,1,4,4,6,3,4,3,4,4
s271,4,6,4,6,1,4,4,4,2,4,3,4,4
s132,4,6,5,4,5,6,4,4,5,3,5,5,5
s160,1,6,2,7,1,7,3,6,2,7,3,5,NA
s166,4,5,6,3,5,4,3,4,2,3,4,1,4
s293,5,4,5,5,4,4,4,4,3,3,6,2,5
s309,3,5,4,6,2,6,5,5,3,4,4,4,4
s198,7,5,4,3,4,6,3,4,5,5,4,5,4
s004,4,4,4,4,3,5,4,4,4,4,1,4,4
s214,2,6,3,5,3,4,4,6,3,4,5,4,2
s129,2,3,3,1,3,5,3,4,1,4,4,4,4
s013,5,4,4,4,2,7,3,4,2,3,6,3,5
s267,4,5,NA,3,5,5,5,4,5,4,4,4,4
s137,3,4,4,5,2,5,3,4,2,4,3,4,3
s305,5,5,4,7,6,3,5,5,2,5,5,2,3
s209,4,5,4,2,6,4,4,5,4,5,4,3,4
s294,3,4,5,3,3,6,4,4,5,3,3,3,4
s067,3,4,5,5,4,3,5,5,4,2,4,4,5
s306,1,4,4,7,2,6,3,7,2,7,2,7,3
s144,4,4,3,4,3,6,4,5,4,5,4,5,6
s227,6,NA,6,4,5,4,5,3,7,2,6,4,7
s186,4,3,3,5,4,4,5,1,4,3,5,7,4
s286,2,4,3,5,5,3,6,3,6,4,6,3,4
s072,3,4,4,4,3,5,3,4,3,3,3,6,3
s248,2,7,3,6,1,7,3,7,1,6,1,6,3
s001,5,3,4,3,4,4,4,4,4,1,5,3,5
s086,5,4,5,5,4,4,6,4,5,4,6,2,4
s092,3,5,5,5,5,4,4,6,4,1,5,1,3
s212,2,2,4,3,4,4,4,4,3,6,3,4,4
s138,7,5,5,2,5,4,6,5,5,5,5,4,7
s146,3,3,5,3,3,4,5,4,2,3,5,2,5
s245,1,5,5,3,4,7,3,6,1,3,3,4,4
s377,4,4,7,4,3,6,6,4,4,3,4,4,4
s381,3,4,5,5,4,7,2,5,5,4,1,5,3
s315,3,3,5,2,4,1,7,4,4,4,6,3,5
s357,5,4,4,3,6,5,5,5,5,4,3,4,7
s265,4,5,3,5,1,5,4,5,3,2,2,2,5
s238,3,1,4,3,4,4,4,5,3,6,6,5,3
s084,6,3,5,1,3,4,5,4,2,4,4,4,5
s334,4,2,5,6,4,3,2,3,4,2,6,1,3
s120,3,5,2,5,5,7,5,5,2,6,3,5,3
s339,5,4,3,6,2,3,5,5,4,4,4,3,5
s139,5,4,5,2,4,4,6,5,6,4,4,4,5
s102,1,3,4,4,7,4,4,4,2,2,4,4,5
s384,3,3,7,5,6,5,7,3,4,5,5,4,2
s091,6,5,4,3,3,5,5,5,2,3,5,3,3
s028,4,4,6,4,4,3,5,3,4,3,4,1,7
s194,4,4,5,4,4,4,4,2,4,4,3,2,5
s367,4,4,3,6,3,5,5,4,5,3,5,3,2
s312,4,5,5,4,4,6,4,5,2,4,3,4,4
