subj_id,Fq01,Rq02,Fq03,Rq04,Fq05,Rq06,Fq07,Rq08,Fq09,Rq10
s169,5,4,4,4,2,5,3,4,3,4
s108,4,5,1,5,1,2,3,4,2,4
s097,4,NA,4,5,5,6,3,5,3,4
s291,5,3,3,2,5,2,4,3,6,5
s196,4,4,4,1,5,3,6,4,4,1
s081,4,3,2,3,2,4,4,5,2,4
s070,2,5,3,2,5,3,5,4,2,1
s241,4,4,4,4,5,5,4,6,4,3
s225,4,3,5,3,2,5,2,4,2,4
s320,5,3,5,1,4,1,5,3,1,3
s240,2,5,1,4,2,6,2,4,5,6
s105,5,1,1,1,4,4,5,6,5,5
s064,3,2,1,4,3,4,1,5,2,4
s161,3,1,5,3,5,4,3,5,6,3
s306,2,7,3,5,2,5,3,6,4,6
s314,6,3,NA,2,4,1,4,4,3,5
s163,6,3,7,2,6,3,7,4,7,2
s295,6,5,6,4,5,4,4,4,5,5
s289,3,2,5,5,1,5,2,2,4,3
s190,2,3,1,4,2,5,3,4,4,6
s233,4,4,4,3,2,6,3,4,4,3
s124,5,5,2,3,2,4,6,5,3,5
s237,4,4,3,3,4,3,3,4,4,5
s154,4,3,4,2,3,3,4,6,5,5
s185,5,4,5,2,3,4,3,4,3,5
s032,4,3,4,3,5,4,3,4,2,6
s285,4,2,4,4,2,2,5,5,5,1
s017,3,5,3,5,5,5,1,7,1,5
s249,3,4,1,2,3,5,2,4,3,7
s125,4,3,4,4,3,4,3,3,5,3
s257,3,4,2,4,3,6,4,7,5,3
s152,5,4,4,4,5,4,2,5,3,5
s263,4,3,5,2,4,4,4,2,6,3
s146,5,3,3,3,3,5,3,2,4,5
s047,4,4,3,4,5,5,4,5,3,5
s165,6,4,4,3,3,4,5,4,5,2
s193,4,2,4,2,4,5,3,NA,4,3
s123,5,2,4,2,4,3,4,3,3,3
s262,6,1,2,3,4,5,4,5,5,3
s324,3,5,2,5,1,7,4,5,4,5
s340,3,5,2,4,2,4,3,5,5,6
s030,4,4,3,4,3,5,1,4,3,4
s221,3,3,4,2,6,4,6,2,4,6
s271,2,7,2,7,1,6,2,4,1,6
s093,5,2,5,3,4,4,3,4,5,4
s098,6,1,6,3,5,1,5,4,6,2
s198,4,3,5,1,5,3,6,3,7,1
s280,5,4,3,4,2,5,2,6,2,5
s016,4,3,5,4,6,4,3,4,3,3
s026,5,3,3,5,2,5,3,2,4,3
s260,4,4,3,2,2,4,3,5,6,4
s128,3,6,3,4,3,3,3,6,3,6
s321,5,1,4,1,4,4,4,4,6,3
s082,2,3,3,4,3,4,6,6,6,6
s061,1,6,1,3,4,6,2,5,4,4
s308,6,3,3,3,4,2,3,5,7,4
s214,2,5,3,6,5,4,1,4,5,4
s058,5,5,2,1,4,5,4,1,3,5
s007,6,4,4,4,4,5,2,4,6,3
s264,2,5,3,3,3,6,4,6,3,5
s160,3,4,1,4,3,4,4,2,3,4
s021,5,3,6,1,4,1,4,3,7,2
s199,3,3,3,3,6,4,7,4,3,2
s036,1,4,2,3,2,5,5,4,3,5
s269,3,3,3,4,4,6,3,7,4,4
s173,6,4,6,3,5,3,3,5,2,5
s290,4,3,2,5,3,5,2,5,4,4
s156,4,4,4,7,4,4,4,4,4,4
s018,4,3,3,4,2,3,1,6,1,4
s178,7,3,5,2,4,1,5,2,3,1
s050,5,4,5,4,2,2,5,4,5,2
s302,NA,4,2,4,3,5,4,6,3,5
s029,4,4,5,4,5,4,5,4,4,3
s315,7,2,5,2,4,2,6,4,6,3
s137,6,3,6,2,3,4,5,1,5,3
s033,5,3,4,4,2,7,4,4,3,5
s273,5,4,3,3,3,3,3,4,5,5
s114,2,4,3,4,3,5,2,4,4,4
s073,4,6,5,1,4,4,4,4,3,4
s087,5,1,NA,1,3,5,4,1,3,2
s129,3,5,3,2,1,4,4,6,2,4
s100,3,4,5,5,1,4,5,3,4,4
s055,3,4,3,1,2,4,6,2,3,3
s027,3,4,4,3,1,5,1,4,5,3
s063,3,3,3,3,3,2,4,4,4,NA
s254,4,4,5,3,3,4,3,4,5,3
s083,2,5,1,7,3,5,1,6,2,5
s157,3,4,2,6,3,5,3,4,3,5
s307,5,4,4,4,2,5,4,7,1,3
s077,4,3,3,3,2,4,5,1,5,3
s117,4,2,6,1,4,4,7,2,6,2
s141,1,4,3,5,4,3,2,7,3,2
s164,4,1,4,3,5,2,7,3,6,4
s248,3,7,4,6,4,7,2,5,2,5
s019,2,6,3,4,1,7,1,5,3,5
s121,4,2,5,4,6,6,4,3,5,4
s187,5,4,5,4,3,2,3,2,4,4
s242,6,1,3,3,NA,1,4,4,4,5
s275,5,3,5,1,3,1,5,4,7,2
s028,5,3,4,4,4,3,5,3,4,4
s218,4,5,3,4,2,3,4,4,2,4
s270,4,4,3,3,3,5,6,4,5,3
s127,5,4,3,2,4,5,4,5,3,4
s319,2,3,2,3,4,4,3,4,3,4
s115,3,6,1,4,4,7,2,7,3,6
s122,1,6,3,5,2,6,2,4,2,1
s089,4,4,1,3,4,4,4,6,3,5
s153,1,7,1,4,1,7,3,6,3,3
s333,6,2,5,1,6,3,NA,2,6,4
s010,4,3,2,4,3,5,4,6,2,4
s135,5,4,4,4,5,4,4,4,4,4
s316,4,4,5,1,1,3,5,3,5,4
s095,3,5,3,3,3,5,4,5,2,2
s191,4,4,2,2,4,3,3,5,2,5
s313,4,3,4,5,3,3,5,2,5,3
s174,3,3,5,5,2,5,5,4,3,4
s346,5,2,3,5,4,4,5,3,6,2
s048,5,3,5,4,5,2,4,5,3,3
s134,4,2,4,3,1,4,5,7,4,4
s085,4,3,4,5,6,5,4,2,2,4
s276,2,5,1,4,1,4,2,7,2,4
s006,4,6,3,3,3,4,3,4,4,2
s170,4,5,3,4,4,3,4,5,2,4
s238,2,4,4,3,4,5,5,7,4,4
s202,5,3,6,1,2,4,2,4,5,2
s296,3,6,2,4,1,7,3,7,3,5
s044,7,6,2,3,5,4,3,4,4,2
s171,4,4,1,5,3,7,1,4,1,5
s216,3,3,7,3,3,4,5,4,6,4
s325,5,3,6,4,2,5,5,4,6,4
s266,4,2,6,4,6,6,3,3,5,6
s292,7,4,5,2,6,4,3,4,6,3
s329,3,5,6,3,3,5,3,5,4,3
s166,3,4,4,5,6,6,4,3,6,2
s008,4,3,5,2,4,2,3,1,5,3
s207,3,3,3,4,4,2,5,4,4,6
s272,4,4,5,3,3,4,5,4,6,3
s002,4,3,3,2,1,2,3,3,4,6
s220,3,4,3,2,2,4,4,6,4,4
s231,5,1,4,3,3,4,4,2,4,6
s344,6,4,3,3,6,1,7,5,7,1
s331,5,1,6,1,7,1,7,1,5,5
s072,3,5,1,3,3,4,4,7,1,4
s334,5,1,5,1,5,1,6,4,5,2
s188,6,5,2,1,4,3,4,4,4,3
s283,4,4,2,3,3,5,2,6,3,3
s194,4,4,2,4,4,4,5,5,3,7
s232,3,3,4,2,4,7,5,4,3,4
s003,5,5,2,2,4,2,5,2,5,4
s256,3,5,3,3,1,4,3,5,4,5
s197,4,NA,4,2,3,2,3,3,5,2
s250,5,2,5,3,7,4,3,1,2,4
s090,5,2,4,4,4,2,4,4,5,4
s005,4,3,2,4,4,5,3,3,4,6
s258,2,4,2,2,2,4,2,7,3,4
s067,5,4,3,4,3,3,2,4,3,3
s086,4,1,3,3,5,1,7,2,5,5
s037,3,3,2,4,1,4,3,5,4,5
s031,6,2,4,1,5,1,4,3,4,4
s159,3,6,2,5,2,6,2,6,3,4
s255,3,3,1,2,2,4,3,3,4,2
s342,2,3,4,4,4,3,3,6,1,4
s195,1,4,3,4,3,4,6,5,5,4
s106,3,2,4,1,4,3,5,5,6,5
s278,6,3,4,4,2,4,3,4,6,6
s039,6,3,2,3,3,4,5,6,7,4
s267,5,4,5,2,6,5,5,3,4,4
s311,1,4,2,4,2,6,1,4,5,5
s227,4,3,5,2,1,2,5,3,5,2
s245,5,1,5,1,5,4,5,4,7,3
s151,3,3,5,3,5,3,4,1,6,4
s181,3,4,5,5,4,5,4,6,5,4
s217,5,4,5,4,5,4,4,4,4,5
s205,2,5,3,3,3,4,1,5,1,4
s071,4,1,2,5,5,4,3,5,1,3
s339,5,2,3,4,4,2,6,3,5,3
s288,5,2,4,4,4,4,3,3,4,4
s132,4,1,3,3,5,3,5,5,4,4
s126,5,1,7,1,5,3,5,4,4,3
s253,5,4,2,2,3,6,7,4,4,2
s104,4,2,3,2,4,4,2,3,3,5
s317,2,5,3,3,4,6,3,4,2,4
s054,2,6,1,4,1,7,3,3,2,6
s298,3,3,3,3,1,5,4,6,3,5
s318,5,3,3,2,2,4,4,3,3,4
s303,6,4,7,4,5,3,NA,3,4,3
s022,4,3,3,7,3,7,4,5,2,6
s075,6,2,5,2,4,1,5,5,5,2
s335,4,2,6,2,3,4,6,4,5,2
s145,4,4,3,3,3,5,6,4,4,4
s057,3,7,4,2,3,4,2,5,2,6
s184,5,2,4,1,7,2,5,2,7,2
s162,4,4,1,5,3,7,2,4,3,3
s001,4,3,4,4,5,3,2,3,3,5
s091,3,3,3,2,3,3,4,4,2,3
s265,3,1,5,2,6,4,4,3,5,4
s228,4,5,4,3,3,7,4,4,3,4
s155,4,7,3,6,1,5,1,5,1,5
s035,5,1,3,6,4,4,4,1,4,1
s209,4,1,7,1,7,4,6,2,7,1
s301,4,4,3,6,4,5,2,5,5,3
s210,3,5,3,3,3,5,2,7,2,4
s274,3,4,6,3,3,3,3,1,3,5
s118,3,5,4,2,4,4,4,4,4,3
s111,6,2,7,2,1,4,4,3,5,4
s239,4,3,4,4,4,1,4,4,6,NA
s110,5,2,6,2,5,3,4,4,4,2
s013,4,6,4,2,2,4,2,3,5,4
s203,2,6,5,1,3,5,2,5,1,7
s143,5,4,4,3,4,3,4,2,4,1
s297,4,4,4,3,4,3,2,4,5,4
s338,3,5,4,3,3,4,2,3,7,1
s131,6,4,4,3,3,6,6,4,4,2
s049,1,4,2,4,5,4,3,6,4,4
s234,4,3,5,2,5,4,7,3,4,3
s212,4,2,3,4,4,7,5,3,4,5
s149,5,4,4,5,4,5,NA,5,3,2
s079,5,2,5,4,6,4,4,4,3,4
s167,2,4,3,5,1,4,5,6,3,3
s236,5,6,3,3,5,4,4,5,3,4
s103,3,3,3,3,2,6,3,5,3,3
s045,5,3,3,4,3,4,1,5,3,5
s201,4,6,4,3,5,3,3,4,5,1
s068,4,4,2,5,1,5,3,4,2,4
s023,4,3,4,5,4,4,6,5,7,3
s177,7,5,4,3,3,2,5,3,3,4
s259,4,3,3,1,5,1,5,1,5,4
s065,1,4,2,4,3,4,4,6,5,4
s012,4,4,4,3,3,6,2,7,1,5
s300,1,7,1,6,1,7,3,5,1,7
s337,4,1,4,3,2,3,2,4,2,5
s336,3,1,4,4,4,2,4,4,2,4
s179,5,5,1,4,3,4,4,5,4,4
s056,3,4,6,3,4,4,3,4,3,2
s305,2,1,4,3,5,3,5,4,5,4
s080,3,3,4,1,6,4,4,5,4,4
s059,3,2,3,4,5,5,3,3,6,5
s235,5,2,5,2,6,3,5,2,6,5
s096,3,4,3,4,1,7,3,6,4,4
s119,7,4,5,1,5,1,7,2,5,2
s244,4,2,5,2,3,3,4,1,6,2
s182,5,4,5,2,4,5,6,1,4,2
s192,6,4,5,1,5,4,3,4,4,4
s113,3,6,3,4,3,6,4,3,4,6
s053,4,3,4,2,7,1,5,4,4,1
s011,6,4,4,3,3,3,4,4,4,2
s349,5,1,4,3,5,4,2,2,6,3
s277,4,4,5,3,3,4,3,2,3,3
s101,5,3,3,4,3,7,4,4,3,4
s116,5,6,4,5,3,4,5,7,3,6
s140,4,4,1,5,1,6,3,6,4,5
s204,4,2,4,4,2,5,4,5,3,5
s293,6,1,5,3,3,3,6,2,7,3
s060,4,6,3,7,1,7,1,6,5,4
s094,3,6,1,6,2,4,3,5,3,7
s043,3,5,4,5,4,2,4,2,5,4
s226,6,4,4,3,3,3,5,3,4,3
s312,5,5,3,3,5,4,4,5,4,4
s180,5,4,4,2,6,3,4,4,4,2
s261,6,3,4,3,3,2,2,4,5,3
s294,4,3,6,2,4,3,3,5,4,3
s024,4,5,4,3,3,3,4,3,4,5
s074,3,4,6,3,3,5,5,4,4,1
s147,4,2,4,2,4,3,3,3,4,3
s015,2,5,4,1,1,4,6,4,4,4
s323,6,2,4,3,2,4,3,3,4,4
s158,4,4,3,3,5,5,4,4,5,3
s287,5,4,5,1,6,5,4,5,4,4
s066,5,4,2,4,2,4,4,5,4,3
s213,6,5,4,3,4,4,3,3,5,6
s247,3,4,1,3,3,4,6,4,3,5
s330,5,5,4,4,4,6,4,5,3,5
s168,3,4,4,3,3,3,4,3,2,5
s347,5,2,4,2,4,4,3,3,5,4
s222,1,5,2,3,2,4,3,5,2,3
s034,7,3,7,3,5,2,6,4,4,3
s224,5,NA,4,4,4,5,6,4,6,5
s189,7,NA,4,1,6,4,5,5,4,2
s042,2,4,3,6,3,4,1,3,3,5
s304,3,1,3,4,5,5,5,5,3,2
s186,4,2,4,1,4,4,3,2,7,3
s282,3,NA,4,3,3,4,3,2,4,4
s229,2,4,2,2,3,3,2,4,3,5
s069,6,5,5,2,4,3,5,4,4,1
s148,2,3,3,1,4,4,3,3,6,2
s223,3,2,5,4,2,3,4,2,3,5
s246,5,4,7,5,4,4,2,3,4,4
s172,3,4,3,4,5,5,7,6,2,2
s268,6,1,5,1,4,5,6,3,5,3
s084,1,5,1,5,3,5,3,6,3,5
s310,6,1,5,1,5,2,6,2,7,2
s112,3,4,3,2,4,4,3,4,5,4
s322,4,1,3,2,5,4,4,3,4,4
s183,4,4,5,1,3,3,3,4,4,3
s038,4,4,5,1,3,6,3,3,3,4
s076,5,3,4,5,2,4,7,6,5,3
s041,3,3,3,7,3,2,3,4,5,4
s343,3,4,2,3,5,5,4,2,4,3
s215,5,4,4,4,2,6,3,5,5,5
s286,2,5,3,3,3,4,3,4,5,6
s281,4,6,3,6,5,4,4,5,3,2
s251,3,3,5,1,3,5,3,5,2,5
