subj_id,q01 F,q02 R,q03 F,q04 R,q05 F,q06 R,q07 F,q08 R,q09 F,q10 R,q11 F,q12 R,q13 F,q14 R
s189,4,5,3,2,2,4,6,6,3,4,3,5,2,4
s066,6,2,5,2,4,1,4,4,5,4,7,5,5,4
s023,2,6,5,4,3,3,5,4,4,4,4,5,4,3
s279,4,6,2,5,5,3,4,4,3,3,2,2,5,6
s179,1,5,4,7,3,6,3,4,3,4,2,3,4,6
s094,4,1,4,2,6,4,5,5,5,4,5,3,2,4
s098,4,2,3,3,4,6,5,3,6,3,4,4,2,4
s260,2,4,5,5,4,4,6,3,4,6,4,4,4,4
s012,4,5,2,5,2,6,4,7,5,6,1,4,1,6
s200,4,5,5,5,5,6,4,5,2,5,4,4,2,7
s266,4,1,4,5,4,3,6,3,2,5,3,4,4,6
s129,5,5,6,3,4,3,6,4,2,2,4,5,4,4
s072,4,4,4,3,6,3,5,2,5,1,6,2,4,5
s173,5,4,4,4,4,4,4,4,4,3,4,4,6,4
s254,4,4,4,4,4,3,6,2,3,5,5,5,3,4
s112,4,2,5,4,7,4,6,2,7,5,5,4,6,3
s280,2,4,2,3,3,5,4,4,5,4,3,7,3,6
s308,3,4,5,3,4,5,4,3,4,7,3,6,4,6
s198,5,4,2,5,4,4,3,6,3,7,4,3,3,7
s309,4,5,4,6,4,3,4,5,6,3,6,4,2,3
s209,4,5,6,4,5,3,4,5,6,5,4,4,2,3
s081,3,5,4,1,6,4,5,3,6,4,6,2,5,6
s140,3,3,4,4,3,6,4,4,3,5,5,5,2,4
s278,4,6,4,5,5,4,3,5,4,5,5,5,5,4
s153,4,5,7,4,5,5,5,5,4,7,3,4,4,5
s180,2,2,4,2,3,4,6,3,4,5,2,5,4,5
s165,4,5,4,3,6,4,5,4,5,4,2,4,4,4
s206,4,4,5,2,5,5,4,4,4,5,4,6,3,3
s335,4,5,5,3,7,3,6,2,5,4,5,3,5,5
s016,1,6,3,3,3,7,5,4,2,6,4,7,2,6
s329,5,4,3,4,4,6,7,3,3,3,5,4,3,3
s006,5,5,4,3,6,1,4,3,4,4,4,3,5,5
s250,3,4,3,6,5,5,4,3,5,4,4,5,4,4
s124,4,3,6,4,7,6,5,3,5,4,3,3,6,3
s092,3,4,4,6,4,7,4,4,4,4,6,5,3,5
s287,3,2,7,4,7,3,5,3,4,3,5,4,4,4
s163,4,3,2,4,1,4,6,4,5,3,4,5,4,4
