subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10,F_q11,R_q12
s332,3,5,4,4,4,5,4,3,6,5,5,1
s013,3,3,3,2,7,5,4,5,5,2,4,2
s358,4,5,5,5,4,5,5,4,3,2,2,4
s189,3,5,4,4,3,2,4,4,4,5,3,2
s227,5,2,5,5,7,2,4,4,4,2,4,1
s158,7,6,4,5,3,5,6,2,3,6,3,3
s119,5,4,4,3,3,4,7,3,2,3,4,3
s349,4,5,5,5,4,4,5,4,4,7,2,5
s135,4,4,4,5,4,5,7,5,4,3,5,2
s162,5,4,5,4,5,5,7,3,5,5,2,2
s269,2,5,4,5,4,5,5,6,1,4,4,5
s063,3,5,4,4,4,5,4,2,4,3,4,4
s210,7,1,6,3,4,1,6,2,3,4,4,1
s046,3,4,4,5,4,3,2,3,1,4,2,4
s243,4,6,2,4,3,5,4,5,4,6,3,4
s021,3,5,7,4,6,5,6,3,3,7,6,4
s350,1,5,3,7,4,4,3,5,4,4,1,6
s258,4,4,5,4,4,2,7,3,5,4,6,4
s245,5,4,6,5,3,3,7,2,6,2,5,2
s146,3,4,4,4,2,6,NA,7,4,7,3,4
s355,3,4,3,5,5,4,6,3,5,5,4,3
s148,7,3,6,2,6,2,6,2,3,3,4,3
s270,5,1,4,4,4,2,3,3,4,6,5,1
s145,3,4,3,4,4,5,4,1,5,3,1,4
s092,3,6,4,7,4,3,3,4,2,4,3,6
s027,3,7,3,5,5,4,4,3,2,5,1,4
s260,3,6,4,6,1,7,3,6,2,4,2,4
s298,4,4,5,5,3,4,3,2,6,5,2,4
s138,3,6,4,6,2,4,5,6,4,5,2,6
s089,2,7,2,7,3,NA,4,7,1,6,1,3
s247,4,4,6,4,4,4,5,6,5,6,3,4
s166,5,4,1,6,4,7,6,4,4,5,4,5
s126,4,4,6,6,4,5,3,3,4,7,2,5
s303,3,4,5,5,4,5,3,6,4,4,6,3
s183,1,4,1,7,2,7,6,5,1,4,4,5
s001,NA,2,6,4,7,4,4,5,5,3,6,5
s028,3,5,3,1,5,4,7,6,5,4,4,2
s008,6,6,5,4,3,4,4,2,4,5,4,3
s366,3,6,5,4,2,4,5,3,3,4,3,3
s234,3,4,6,3,2,4,6,5,4,4,5,3
s024,3,4,4,4,5,5,2,5,3,4,4,3
s343,4,1,7,1,7,4,7,1,4,1,7,1
s235,4,4,5,5,4,4,5,7,4,5,3,2
s050,NA,6,3,4,4,3,5,2,4,5,4,5
s337,2,3,5,3,2,4,6,6,2,7,5,2
s294,4,5,4,3,3,3,3,6,3,4,3,3
s173,3,4,3,3,3,2,5,3,1,2,5,4
s078,4,6,2,5,4,6,5,6,4,5,3,3
s056,1,7,2,4,3,7,1,7,3,7,1,5
s277,3,4,4,3,4,2,5,4,5,4,5,5
s282,5,1,6,1,6,3,5,3,6,1,7,2
s002,4,7,7,3,4,4,7,1,4,3,5,5
s320,6,5,4,4,4,3,4,5,5,3,5,5
s331,4,4,4,4,3,4,1,3,2,6,2,4
s010,3,2,6,4,5,3,4,1,5,1,5,2
s072,3,5,4,3,4,3,5,3,5,2,4,4
s233,1,3,5,2,4,3,6,2,4,1,4,3
s122,3,4,5,5,4,7,4,5,3,5,2,4
s280,5,1,6,1,5,3,7,1,5,3,5,2
s351,4,5,4,4,4,6,5,3,6,6,4,4
s176,4,7,6,2,4,6,4,6,6,4,4,2
s017,4,4,3,5,4,2,4,4,6,4,5,2
s340,4,3,5,1,3,5,6,1,4,4,4,4
s324,7,4,7,2,5,3,6,2,4,1,2,1
s085,1,5,4,4,5,5,4,6,3,4,5,4
s086,4,3,4,5,3,4,7,3,5,3,3,4
s109,4,3,6,3,6,1,7,1,6,3,5,2
s279,2,4,4,7,3,6,2,4,2,5,3,4
s096,4,3,3,5,3,3,6,4,3,3,5,4
s151,3,7,2,6,3,4,3,7,4,NA,1,7
s043,4,4,3,3,3,5,3,3,5,4,4,4
s224,2,3,4,3,7,4,4,3,3,2,6,4
s274,5,6,4,3,4,4,7,4,5,3,3,4
s231,2,6,5,7,3,3,4,4,4,3,1,6
s015,5,6,4,3,5,4,4,5,3,3,3,2
s261,3,4,5,4,5,3,5,3,2,2,3,5
s276,2,3,3,4,3,4,5,7,5,4,1,4
s302,7,3,6,1,5,2,7,2,6,1,6,3
s069,4,5,4,3,5,5,5,2,7,4,5,2
s251,1,4,3,4,3,5,4,6,3,4,2,3
s285,4,5,3,4,4,4,5,4,6,6,4,5
s262,1,7,3,6,1,5,2,4,2,4,3,6
s033,4,5,5,4,4,3,4,4,4,3,2,2
s256,6,2,4,3,4,3,6,3,4,5,4,1
s177,4,2,5,4,6,4,7,4,5,3,4,1
s329,2,4,4,5,4,5,4,7,2,7,2,5
s218,3,4,6,4,4,5,4,4,5,2,5,5
s291,3,3,4,4,7,1,6,3,5,3,4,2
s171,1,5,3,4,4,7,5,5,3,4,4,4
s163,4,4,2,4,1,1,1,5,3,5,4,4
s202,4,5,4,4,2,4,4,5,4,3,3,5
s057,4,3,4,3,4,5,7,5,6,5,3,3
