subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R
s003,2,3,5,5,3,4
s292,6,5,4,4,3,2
s014,3,5,3,4,6,5
s324,3,4,4,4,6,4
s217,3,7,4,4,4,5
s297,5,2,5,2,6,7
s262,2,7,3,4,3,5
s087,3,5,3,4,2,4
s133,2,4,4,4,3,4
s084,3,7,4,3,5,4
s199,3,4,4,3,4,7
s023,5,3,5,4,4,2
s056,4,5,6,3,7,3
s091,4,4,4,5,4,6
s257,3,5,1,7,3,4
s196,6,2,4,4,3,4
s279,4,3,3,4,5,4
s092,4,6,5,5,5,2
s037,2,3,1,4,1,4
s223,3,3,3,5,2,3
s321,4,5,5,4,5,4
s053,6,3,5,2,6,3
s256,1,1,3,4,3,5
s170,4,3,3,4,4,4
s299,5,2,7,4,5,1
s236,3,4,4,4,5,5
s128,6,1,3,4,4,4
s145,3,6,2,6,4,7
s221,3,4,4,6,3,5
s171,5,4,2,2,5,3
s185,4,7,4,3,4,4
s206,5,4,4,4,2,3
s028,4,4,4,3,4,4
s272,4,4,3,6,5,5
s283,5,2,4,4,2,5
s180,4,3,2,5,5,3
s195,3,5,4,7,5,5
s130,4,5,3,5,5,2
s149,2,5,4,4,5,6
s110,3,4,3,6,5,5
s045,6,3,5,4,5,1
s322,3,4,3,5,4,5
s328,3,4,4,4,5,2
s067,6,5,4,2,1,5
s029,5,4,3,5,3,3
s331,3,5,4,5,3,7
s018,2,5,5,4,3,4
s040,6,6,3,3,3,4
s281,NA,5,7,3,5,4
s289,5,4,4,4,4,2
s231,5,2,5,2,5,4
s013,2,4,6,3,6,2
s089,7,1,6,NA,5,3
s212,4,5,4,4,4,3
s064,5,2,3,3,2,3
s330,3,4,4,4,4,5
s044,3,1,2,3,4,4
s304,4,5,2,4,3,3
s057,2,4,6,3,6,5
s158,2,4,4,4,4,6
s208,1,6,3,5,2,7
s261,2,5,4,4,2,5
s222,4,4,4,6,1,5
s295,4,5,6,3,4,5
s122,5,4,4,3,3,3
s017,3,4,2,6,4,4
s278,4,1,6,5,5,2
s009,2,2,3,3,4,1
s294,3,5,1,6,2,6
s070,7,3,4,5,4,4
s184,3,4,4,7,3,5
s302,5,5,3,4,2,4
s138,7,3,5,5,4,4
s269,6,5,4,5,2,4
s093,3,4,4,3,4,2
s219,4,4,4,6,4,5
s109,7,3,4,4,5,4
s074,4,5,4,3,4,3
s104,5,5,2,4,3,4
s059,4,6,2,6,5,6
s063,1,5,2,6,3,7
s136,5,3,4,6,4,4
s046,1,7,4,7,3,5
s049,5,5,6,1,4,2
s016,6,4,5,1,6,2
s153,4,5,7,4,4,4
s284,4,7,3,6,3,5
s254,2,3,3,5,2,5
s102,5,3,7,5,3,3
s333,4,4,3,5,5,3
s021,4,2,3,5,2,3
s246,3,5,5,5,6,3
s175,5,4,4,4,4,3
s085,1,4,3,5,5,6
s285,7,5,NA,5,5,3
s309,4,4,4,4,6,3
s276,1,3,4,6,2,4
s116,4,4,5,3,6,3
s121,3,4,4,4,3,5
s251,4,6,4,6,4,4
s263,4,4,4,4,4,4
s150,3,4,7,7,5,2
s022,3,4,1,4,3,3
s055,4,4,7,4,6,3
s151,4,3,4,5,2,4
s200,7,3,4,3,4,3
s249,3,7,1,6,7,4
s267,4,5,3,2,5,3
s193,4,3,3,3,4,1
s176,5,3,3,3,2,6
s233,6,2,7,4,6,3
s264,5,3,5,2,3,4
s081,4,4,5,4,4,4
s011,4,4,6,4,2,2
s047,5,5,6,2,4,3
s323,4,2,5,2,7,3
s065,4,3,3,5,6,4
s168,1,5,4,5,2,4
s259,4,4,2,4,4,6
s041,3,5,2,4,3,4
s325,4,4,2,5,4,4
s119,1,5,1,3,3,5
s118,3,3,5,5,2,4
s094,5,4,4,4,5,4
s007,7,3,4,3,4,5
s006,4,4,4,3,6,4
s218,3,7,4,6,1,7
s090,3,2,3,4,4,6
s160,3,2,5,4,3,4
s141,7,4,6,4,4,7
s213,1,1,2,4,5,5
s327,3,4,3,7,1,3
s205,3,2,6,4,4,4
s086,3,5,4,3,3,5
s232,6,2,4,6,5,3
s004,4,4,5,4,5,3
s135,3,3,4,4,1,7
s237,4,7,3,4,3,2
s123,4,7,4,4,4,5
s242,2,3,3,4,5,6
s096,3,5,3,2,5,3
s179,3,4,4,4,4,5
s034,4,6,2,5,4,5
s315,2,1,3,4,5,4
s288,6,1,4,4,6,2
s188,4,4,5,5,4,NA
s019,5,4,4,7,5,3
s106,1,4,2,7,4,6
s298,4,3,5,5,2,2
s035,6,3,7,1,6,3
s296,6,5,3,4,4,3
s164,6,2,6,2,6,1
s252,5,1,7,3,3,2
s229,3,6,2,5,3,7
s005,5,5,4,4,4,4
s181,7,7,5,2,4,3
s241,6,5,3,4,3,4
s306,4,4,6,4,4,5
s190,7,6,2,5,4,5
s111,5,5,5,4,4,5
s335,7,5,6,5,5,1
s015,5,6,5,4,4,4
s268,4,4,4,2,4,4
s050,4,2,5,4,3,3
s125,5,5,4,3,3,5
s101,3,4,5,3,7,4
s124,6,7,3,NA,1,4
s154,7,3,4,1,4,3
s032,5,3,5,4,4,2
s266,3,5,6,3,3,5
s156,2,6,3,6,6,6
s224,5,4,2,3,3,NA
s317,4,4,1,6,5,2
s098,3,1,5,3,5,2
s112,3,4,5,5,2,4
s131,4,4,4,5,4,5
s270,4,4,4,4,6,4
s072,7,6,3,3,5,5
s148,5,2,7,4,NA,2
s207,3,3,4,5,4,4
s243,6,4,NA,3,6,1
s097,4,4,4,4,4,4
s174,3,4,6,6,3,4
s183,4,6,4,4,3,2
s275,3,4,2,5,4,4
s099,3,3,2,5,3,5
s225,3,7,6,6,2,4
s068,4,5,4,5,4,4
s058,4,4,5,4,3,2
s083,2,5,5,2,4,6
s250,7,4,4,3,5,1
s320,3,3,3,4,1,3
s197,7,1,6,3,5,3
s282,5,5,5,5,2,5
s226,1,4,5,5,3,7
s274,5,5,3,4,2,6
s245,5,4,4,4,5,4
s100,6,4,2,5,6,4
s052,4,4,5,2,7,4
s191,4,4,6,5,4,4
s253,7,4,4,4,4,4
s071,4,2,4,6,2,5
s220,6,4,4,2,6,5
s082,4,2,4,3,2,4
s027,6,6,5,2,5,3
s192,4,2,6,2,4,3
s146,3,5,3,4,3,3
s248,4,1,5,1,5,4
s305,3,4,4,4,4,5
s108,3,4,3,3,2,6
s239,5,3,7,4,4,3
s177,5,3,5,6,4,4
s240,2,1,4,1,5,3
s244,3,4,2,4,3,2
s172,3,6,3,5,1,6
s061,4,2,4,6,4,4
s144,2,2,5,3,3,5
s313,2,5,3,7,2,7
s114,7,2,4,1,6,1
s129,2,4,4,5,4,4
s186,2,4,1,7,3,7
s079,3,5,3,6,2,6
s210,6,5,4,3,5,3
s054,5,4,7,6,5,4
s137,5,4,5,4,5,4
s069,7,3,6,1,7,1
s187,5,6,5,5,5,4
s076,4,2,5,1,3,1
s258,2,7,4,6,2,4
s326,3,4,2,6,2,7
s308,4,4,5,4,3,4
s169,4,4,4,3,5,4
s310,5,6,3,5,3,6
s152,5,6,4,3,3,2
s159,4,5,4,2,4,4
s287,4,5,4,7,4,3
s265,5,4,4,4,2,4
s230,4,5,5,3,5,2
s120,3,6,3,3,3,5
s039,4,4,4,3,3,4
s008,1,NA,2,6,5,4
s228,3,6,3,7,5,4
s113,3,7,1,7,1,4
s216,3,3,6,4,4,4
s271,6,4,5,6,6,4
s025,3,3,5,4,4,4
s088,7,2,6,4,5,2
s105,2,5,4,6,4,5
s165,4,6,4,5,4,3
s300,2,4,5,4,3,4
s157,7,5,5,5,6,4
s273,4,3,5,5,4,1
s203,4,3,5,3,6,3
s318,3,4,3,4,3,4
s038,2,6,1,7,1,6
s077,4,4,3,4,4,6
s329,5,5,5,5,3,7
s314,6,4,5,3,5,5
s247,5,3,4,6,3,4
s280,1,6,4,7,1,7
s010,2,5,3,5,2,4
s255,6,3,5,4,6,1
