subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11,R-q12,F-q13,R-q14,F-q15
s248,6,2,5,3,4,4,5,1,7,2,5,3,4,2,7
s169,4,1,4,NA,2,2,5,4,2,3,5,3,4,4,5
s196,3,6,2,5,3,4,3,5,4,6,4,5,2,5,3
s294,5,3,3,4,4,3,5,3,5,3,5,4,5,4,6
s381,4,3,2,5,4,5,3,6,5,5,NA,5,3,3,3
s314,4,2,5,6,3,1,4,4,6,3,2,3,4,4,4
s129,4,5,5,6,3,4,5,7,4,6,3,5,4,4,3
s220,3,4,1,4,3,4,4,5,4,7,4,2,1,NA,3
s091,5,1,3,5,NA,4,4,3,5,1,3,2,5,4,3
s054,6,4,4,5,2,2,5,4,4,5,3,5,4,2,4
s083,3,3,3,5,4,3,5,5,3,5,5,4,4,3,3
s105,3,3,3,4,3,6,3,7,5,7,1,4,3,5,2
s306,6,3,4,4,5,2,2,5,3,2,3,4,4,4,3
s106,6,4,5,3,4,2,5,5,4,4,5,3,4,2,6
s374,7,4,4,3,4,4,4,6,3,3,3,7,4,3,3
s024,4,3,3,3,3,3,4,7,7,4,5,3,4,3,5
s272,6,2,7,1,3,4,6,1,5,1,4,1,5,3,5
s301,6,4,4,6,4,3,6,4,6,5,5,4,5,3,6
s291,6,3,4,2,4,4,4,5,7,5,3,3,3,3,5
s165,4,6,3,6,5,4,4,5,4,4,1,4,6,4,3
s138,5,4,5,4,1,3,3,2,3,4,3,4,5,7,4
s268,3,3,2,5,3,4,4,6,4,4,4,5,4,4,4
s067,5,3,7,5,3,3,4,4,6,5,3,5,5,4,5
s152,7,1,4,3,5,1,6,4,7,1,5,4,6,1,6
s168,3,3,4,5,3,3,5,5,5,3,5,4,6,7,3
s047,4,2,3,6,3,4,4,4,5,3,5,3,4,5,4
s261,3,4,3,6,1,5,2,7,4,3,2,7,4,6,3
s363,5,6,4,7,1,5,3,3,3,4,4,6,3,5,3
s157,6,4,4,7,3,4,4,5,3,4,3,3,1,4,4
s148,4,4,4,4,3,3,3,4,3,2,4,3,6,6,5
s078,5,4,6,4,4,3,5,3,4,2,2,3,5,3,4
s225,4,1,5,3,3,5,4,6,3,4,4,4,5,5,5
s195,4,4,4,2,3,5,4,3,6,6,4,5,4,5,4
s048,4,4,6,7,3,5,4,5,4,4,2,5,4,3,3
s081,6,5,3,6,4,4,4,4,6,7,3,4,1,4,4
s249,3,5,3,4,1,3,3,5,1,4,4,6,3,5,4
s012,3,4,3,7,1,6,3,4,2,5,1,5,2,5,2
s055,6,3,4,4,6,5,6,3,5,5,5,3,4,3,4
s182,4,4,5,5,3,5,4,3,5,4,4,4,4,5,4
s156,7,1,7,1,6,1,7,2,5,1,5,1,5,1,4
s207,3,2,4,5,3,4,5,5,3,4,4,4,5,4,3
s242,4,3,3,4,3,4,4,4,5,4,5,5,4,6,5
s377,3,6,5,7,2,5,4,5,4,6,3,6,4,5,5
s358,6,2,6,3,4,3,5,4,5,3,4,3,4,4,5
s204,3,4,4,4,4,1,6,5,6,4,4,4,6,2,4
s108,2,4,4,2,4,3,4,2,6,5,4,3,5,3,6
s124,6,5,4,3,4,4,5,6,6,4,1,4,4,3,5
s037,6,NA,4,3,2,4,6,6,4,5,3,3,7,4,2
s246,4,4,4,3,3,2,4,6,3,4,2,2,5,4,3
s339,5,4,6,5,5,3,5,4,5,2,3,3,3,2,5
s279,6,2,3,4,2,2,6,5,6,4,4,4,4,4,4
s226,4,6,1,5,3,5,2,7,4,7,2,6,2,7,3
s087,2,1,4,4,5,2,4,5,5,5,3,3,5,5,4
s312,4,3,NA,4,7,5,5,5,5,2,3,1,6,4,4
s269,4,4,4,4,3,1,4,6,4,5,1,3,5,5,4
s040,4,6,2,3,2,3,3,7,4,4,3,3,4,6,3
s296,3,3,3,5,3,5,6,3,7,4,4,4,4,3,4
s010,4,5,3,4,1,4,2,4,1,6,3,5,3,6,2
s318,4,5,2,4,3,5,4,5,3,5,3,4,3,6,2
s032,4,5,1,5,2,3,3,2,3,2,3,3,4,4,NA
s035,4,3,3,5,5,3,4,4,3,4,6,2,4,7,4
s260,3,4,4,7,4,4,4,6,3,5,3,4,4,4,3
s230,4,4,5,4,4,4,4,6,6,4,4,2,5,6,7
s202,7,1,5,2,4,5,5,4,7,1,4,2,4,3,4
s098,3,3,3,5,2,4,3,5,4,5,1,3,4,3,1
s102,4,2,4,4,3,1,4,4,4,3,6,3,5,2,7
s197,3,5,4,4,3,1,3,5,6,4,4,4,3,4,3
s344,3,4,3,4,1,5,3,7,4,5,2,6,2,6,1
s308,5,1,3,4,4,2,4,4,6,4,4,3,4,4,4
s092,4,3,3,6,4,4,4,5,4,4,4,NA,3,4,4
s015,5,4,4,5,2,2,6,3,4,6,4,3,4,4,4
s258,5,3,6,4,4,1,7,2,7,4,4,4,3,3,4
s284,3,3,4,7,3,4,1,6,1,4,1,4,2,6,2
s243,5,5,3,7,3,5,2,7,3,5,4,4,4,4,4
s362,NA,2,5,4,4,4,5,2,4,2,4,2,5,4,4
s300,4,6,2,5,4,5,5,7,4,4,4,4,2,5,5
s060,4,5,2,4,1,4,1,5,4,6,3,5,3,4,3
s117,5,3,4,2,5,4,2,NA,4,3,4,5,5,3,4
s345,3,3,4,5,3,1,4,4,4,5,3,3,4,3,3
s330,2,5,4,5,2,4,2,5,2,7,3,3,2,3,4
s364,2,5,5,6,5,2,4,6,5,3,6,4,3,3,4
s033,4,2,6,6,2,5,5,5,4,4,4,3,3,4,5
s285,6,3,5,6,3,2,5,4,5,4,7,3,5,4,5
s283,4,4,4,4,1,2,4,6,2,4,3,6,3,5,4
s062,3,5,2,5,2,3,3,6,4,4,3,4,4,5,2
s177,5,4,5,3,2,2,4,4,7,4,4,3,3,4,5
s370,4,4,4,5,4,4,5,5,6,1,2,4,6,4,4
s227,6,1,3,2,5,2,5,3,4,2,5,2,5,3,5
s141,6,1,5,3,5,3,6,3,6,2,4,2,5,4,4
s325,2,6,4,7,4,5,5,6,5,5,2,6,4,5,2
s112,7,3,5,3,5,2,4,2,6,2,3,4,5,2,5
s373,2,4,2,4,2,5,5,4,4,7,3,4,4,6,6
s282,5,2,5,3,4,2,4,2,5,1,7,3,6,4,4
s135,5,2,4,4,6,3,5,1,5,1,4,2,6,1,5
s053,3,5,5,3,3,2,6,2,6,5,4,4,7,4,3
s005,5,4,5,4,4,2,4,6,7,3,4,3,5,1,6
s065,5,3,3,4,4,3,5,4,3,5,4,3,4,3,4
s223,5,2,6,4,4,3,6,3,5,4,4,3,6,3,6
s115,4,4,2,5,5,3,2,6,4,4,4,4,4,3,3
s288,3,6,3,6,4,3,2,6,4,4,2,5,4,6,1
s150,6,5,3,5,5,4,3,4,6,4,2,4,3,4,5
s352,7,3,4,4,5,3,6,2,6,3,5,3,5,4,4
s348,4,2,7,6,NA,3,5,4,4,4,4,3,5,4,4
s043,4,5,5,3,2,4,3,6,4,4,4,3,5,4,5
s329,5,2,4,5,3,4,7,3,6,4,5,4,5,4,4
s340,5,3,5,3,4,2,5,3,7,3,5,1,5,2,5
s209,4,5,2,7,3,3,4,4,4,5,1,4,3,4,2
s130,4,4,4,3,4,1,5,2,5,2,5,2,5,4,4
s297,2,5,4,6,1,5,2,5,5,6,1,4,2,5,3
s180,6,3,1,5,3,4,4,2,4,4,3,3,5,4,3
s334,3,4,2,5,3,6,2,5,3,6,1,4,2,4,2
s155,5,3,4,6,3,3,4,5,4,7,1,4,4,4,2
s299,4,4,4,5,2,4,4,4,5,4,3,1,4,5,5
s286,5,4,2,6,6,3,3,NA,5,5,2,3,3,3,3
s116,7,3,3,3,4,1,3,3,7,5,4,3,5,4,5
s232,6,3,5,4,3,4,6,4,6,4,5,1,3,4,4
s154,4,4,4,3,2,2,6,4,3,4,4,4,3,4,4
s134,5,5,3,7,3,4,2,3,3,5,1,6,4,6,3
s109,4,2,4,3,4,4,3,3,5,4,5,2,3,3,5
s022,3,6,1,6,1,5,1,4,5,4,3,5,5,5,5
s189,5,7,3,4,3,3,4,6,4,4,4,5,4,4,3
s289,3,4,4,4,3,4,3,5,7,6,3,5,3,4,4
s354,5,1,4,4,3,4,4,6,4,4,3,4,4,5,6
s120,6,1,7,2,4,3,7,4,7,4,5,3,5,4,4
s173,4,4,5,3,3,4,6,4,5,7,5,4,4,4,5
s042,3,3,4,5,2,4,5,4,4,3,3,3,4,4,2
s239,4,4,3,2,3,4,4,3,4,4,4,4,3,4,2
s104,5,5,2,4,2,6,2,4,4,5,3,6,4,5,3
s305,6,4,3,5,2,4,3,6,5,5,3,5,4,7,3
s211,3,3,3,4,3,3,3,5,5,6,4,4,4,2,5
s316,7,2,3,4,4,3,4,4,6,4,4,4,4,4,4
s319,5,3,2,5,1,3,4,4,3,2,2,3,3,4,3
s021,6,6,6,5,5,4,4,3,4,3,3,3,5,3,4
s026,4,3,4,5,3,2,5,5,6,5,3,4,3,7,5
s266,4,2,6,3,6,2,7,2,7,1,7,1,7,3,6
s213,2,6,1,7,1,7,3,5,1,4,3,7,4,7,2
s036,6,4,2,4,4,3,3,3,4,3,4,4,4,4,3
s146,5,2,5,3,4,4,6,3,5,2,5,3,5,3,6
s259,2,6,2,6,1,5,3,4,4,5,2,5,3,6,1
s159,4,6,1,7,2,7,2,5,3,6,3,5,3,5,2
s254,6,3,4,4,4,3,4,3,5,2,5,3,7,3,5
s174,4,3,4,3,2,3,4,4,4,5,5,3,4,1,5
s188,3,5,4,5,3,6,3,4,2,4,4,4,4,4,3
s153,4,4,6,4,3,2,4,3,3,2,4,4,4,4,5
s328,4,5,5,3,5,3,5,3,2,4,4,4,4,5,7
s128,5,1,7,5,4,3,5,3,4,1,6,2,7,3,4
s113,4,1,5,2,7,2,4,3,5,5,5,3,4,4,4
s257,4,2,5,5,2,4,5,5,4,6,4,3,4,4,3
s004,4,3,1,4,4,4,2,3,4,5,4,3,4,5,3
s235,4,4,4,3,1,3,2,5,5,6,3,5,2,6,4
s137,2,6,1,5,1,7,1,7,2,6,2,6,1,6,2
s278,6,1,2,2,4,1,6,4,4,3,6,1,6,2,5
s075,4,5,4,6,3,3,4,3,5,4,3,4,5,3,3
s136,4,3,4,7,4,3,6,4,4,5,3,6,5,3,4
s206,2,5,1,5,4,7,3,6,3,7,2,6,4,2,4
s310,4,4,3,6,1,4,1,7,4,5,2,6,4,NA,3
s251,5,4,3,5,5,4,5,5,2,4,3,3,5,5,2
s184,4,3,7,6,5,4,4,1,4,4,5,1,4,4,3
s343,4,7,2,7,4,4,3,4,4,4,2,4,4,6,2
s375,4,6,3,6,2,4,1,5,4,5,1,4,3,4,2
s367,2,4,4,6,2,4,2,7,3,6,1,3,2,6,4
s183,6,1,6,2,6,1,6,2,7,1,5,2,6,2,6
s231,5,3,4,4,4,1,6,1,5,4,4,4,5,3,5
s074,2,3,4,5,4,4,3,5,4,2,4,6,3,3,2
s071,5,3,4,2,3,4,7,2,5,3,5,4,4,2,6
s214,2,3,2,4,1,3,3,3,5,6,4,6,3,5,3
s317,6,3,4,5,3,2,6,3,5,3,3,5,4,4,5
s326,3,5,3,5,3,2,3,6,5,2,2,6,3,5,5
s238,3,4,4,6,1,6,2,6,2,4,1,4,1,4,3
s114,7,2,5,3,4,3,7,3,5,4,7,2,4,1,6
s072,3,4,3,4,3,4,3,4,5,5,4,4,3,4,3
s186,1,4,1,5,1,5,5,6,4,5,4,7,4,5,3
s133,4,3,5,1,5,2,6,3,6,1,5,1,5,1,6
s073,4,2,3,5,4,3,2,4,3,4,2,4,4,4,1
