subj_id,gender,age,language
s003,male,22,monolingual
s007,NA,22,monolingual
s011,nonbinary,21,monolingual
s015,female,21,monolingual
s019,female,21,monolingual
s023,male,19,monolingual
s027,female,22,monolingual
s031,female,22,monolingual
s035,female,20,bilingual
s039,male,21,bilingual
s043,male,21,monolingual
s047,NA,21,bilingual
s051,female,20,monolingual
s055,male,21,monolingual
s059,female,19,bilingual
s063,male,missing,monolingual
s067,male,22,bilingual
s071,male,missing,bilingual
s075,female,23,monolingual
s079,male,21,monolingual
s083,male,19,monolingual
s087,male,26,bilingual
s091,nonbinary,20,bilingual
s095,female,19,monolingual
s099,male,21,monolingual
s103,NA,22,monolingual
s107,NA,24,monolingual
s111,female,22,bilingual
s115,female,19,bilingual
s119,male,20,monolingual
s123,male,18,monolingual
s127,male,20,bilingual
s131,nonbinary,missing,monolingual
s135,male,20,bilingual
s139,female,22,monolingual
s143,male,19,bilingual
s147,male,24,bilingual
s151,male,missing,monolingual
s155,male,19,bilingual
s159,male,20,monolingual
s163,nonbinary,20,bilingual
s167,female,20,monolingual
s171,female,23,monolingual
s175,female,21,monolingual
s179,nonbinary,20,monolingual
s183,male,20,bilingual
s187,male,22,monolingual
s191,male,22,monolingual
s195,male,19,bilingual
s199,male,26,monolingual
s203,NA,19,monolingual
s207,female,22,monolingual
s211,male,22,monolingual
s215,male,24,monolingual
s219,male,22,monolingual
s223,male,21,monolingual
s227,male,18,monolingual
s231,male,21,monolingual
s235,male,19,bilingual
s239,male,23,monolingual
s243,female,24,bilingual
s247,male,20,monolingual
s251,female,19,bilingual
s255,female,21,bilingual
s259,male,25,monolingual
s263,male,23,monolingual
s267,female,21,bilingual
s271,male,20,monolingual
s275,male,18,monolingual
s279,male,26,monolingual
s283,female,19,bilingual
s287,nonbinary,missing,monolingual
s291,male,20,monolingual
s295,female,20,monolingual
s299,male,21,monolingual
s303,male,22,monolingual
s307,male,20,bilingual
s311,male,missing,monolingual
s315,NA,22,monolingual
s319,female,missing,monolingual
s323,male,20,monolingual
s327,male,22,monolingual
s331,male,18,monolingual
s335,nonbinary,23,monolingual
s339,female,22,monolingual
s343,female,21,bilingual
s347,male,19,bilingual
s351,male,20,monolingual
s355,male,23,monolingual
s359,male,21,monolingual
s363,female,24,monolingual
s367,male,22,bilingual
s371,female,20,monolingual
s375,male,24,bilingual
s379,nonbinary,20,bilingual
