subj_id,gender,age,language
s004,male,19,bilingual
s008,male,20,bilingual
s012,nonbinary,18,monolingual
s016,nonbinary,21,monolingual
s020,male,19,bilingual
s024,male,19,monolingual
s028,nonbinary,20,monolingual
s032,female,19,bilingual
s036,male,22,monolingual
s040,male,20,monolingual
s044,female,19,bilingual
s048,male,20,monolingual
s052,female,21,monolingual
s056,NA,19,bilingual
s060,male,24,bilingual
s064,nonbinary,20,monolingual
s068,female,21,monolingual
s072,female,19,bilingual
s076,male,20,monolingual
s080,male,22,monolingual
s084,female,22,monolingual
s088,male,19,monolingual
s092,male,20,monolingual
s096,male,19,bilingual
s100,male,20,monolingual
s104,male,19,monolingual
s108,male,20,bilingual
s112,male,21,monolingual
s116,male,22,monolingual
s120,nonbinary,21,monolingual
s124,male,23,bilingual
s128,nonbinary,24,bilingual
s132,male,22,bilingual
s136,male,20,bilingual
s140,male,20,bilingual
s144,female,22,monolingual
s148,male,18,monolingual
s152,male,21,monolingual
s156,nonbinary,19,bilingual
s160,male,25,monolingual
s164,male,22,monolingual
s168,female,21,monolingual
s172,NA,20,monolingual
s176,male,20,monolingual
s180,female,21,monolingual
s184,NA,21,monolingual
s188,male,21,monolingual
s192,male,21,monolingual
s196,male,22,monolingual
s200,male,22,monolingual
s204,male,21,bilingual
s208,male,23,monolingual
s212,male,25,monolingual
s216,male,22,monolingual
s220,male,20,monolingual
s224,male,20,monolingual
s228,female,23,bilingual
s232,female,20,monolingual
s236,female,23,monolingual
s240,male,18,bilingual
s244,male,18,bilingual
s248,female,18,bilingual
s252,male,21,monolingual
s256,male,20,monolingual
s260,female,19,monolingual
s264,nonbinary,24,bilingual
s268,male,22,bilingual
s272,male,21,monolingual
s276,nonbinary,20,monolingual
s280,male,21,monolingual
s284,female,23,bilingual
s288,nonbinary,20,monolingual
s292,female,22,monolingual
s296,male,21,bilingual
s300,NA,20,monolingual
s304,nonbinary,20,monolingual
s308,female,22,monolingual
s312,female,20,monolingual
s316,male,22,bilingual
s320,male,21,monolingual
s324,male,22,bilingual
s328,female,18,bilingual
s332,male,23,bilingual
s336,male,21,monolingual
s340,male,20,monolingual
s344,male,23,monolingual
s348,male,23,monolingual
s352,male,22,monolingual
s356,female,22,monolingual
s360,nonbinary,19,bilingual
s364,male,25,monolingual
s368,female,21,monolingual
s372,female,20,monolingual
s376,female,18,monolingual
s380,female,19,bilingual
