subj_id,F_q1,R_q2,F_q3,R_q4,F_q5,R_q6
s120,6,1,7,1,2,4
s030,6,4,4,6,2,4
s293,5,5,4,4,3,4
s114,3,6,4,7,1,7
s171,3,6,7,6,3,3
s236,1,6,3,3,1,5
s145,5,1,7,4,5,2
s188,2,4,4,4,5,5
s165,4,1,6,4,3,3
s238,5,4,7,2,4,2
s177,3,4,5,4,3,7
s180,5,4,4,6,3,5
s245,3,1,4,7,4,3
s274,6,3,7,3,NA,4
s039,3,3,7,5,5,3
s179,2,5,4,4,3,5
s115,5,3,5,3,5,4
s270,4,3,5,5,3,6
s168,4,4,7,2,6,3
s023,6,4,7,4,6,3
s002,4,5,2,6,3,4
s045,5,4,6,7,2,5
s271,4,6,5,3,3,4
s216,4,6,3,3,4,5
s178,5,4,7,4,3,3
s169,4,3,5,5,4,6
s001,3,4,4,4,3,5
s292,4,5,2,5,5,6
s088,5,5,6,2,1,4
s097,7,4,6,3,3,1
s176,3,5,3,6,2,4
s287,7,2,7,3,7,3
s210,4,5,5,4,1,3
s141,4,5,4,2,4,3
s289,4,3,7,4,4,3
s053,2,4,5,4,2,2
s152,3,4,6,3,4,6
s226,3,7,2,4,1,6
s046,4,4,6,NA,4,4
s021,4,3,4,4,5,3
s092,4,5,4,3,1,4
s265,2,2,4,2,4,1
s050,4,4,6,1,2,3
s281,2,6,3,5,4,7
s195,5,4,6,4,3,3
s241,5,3,7,NA,5,4
s222,2,7,3,5,3,6
s032,3,4,3,5,5,6
s010,4,7,3,6,2,7
s104,3,4,2,4,1,6
s123,4,4,5,3,4,4
s252,5,1,3,2,3,2
s016,4,5,4,3,5,NA
s081,4,2,3,4,4,2
s065,5,5,4,3,2,6
s080,5,4,6,4,3,4
s203,5,2,6,3,2,2
s055,4,5,4,4,5,3
s276,4,3,4,4,5,3
s129,4,3,2,3,4,6
s185,3,6,4,3,2,6
s157,2,6,2,3,2,7
s049,4,1,5,3,NA,4
s018,4,3,2,3,2,7
s149,2,5,4,3,1,7
s099,3,6,4,7,2,6
s060,3,2,7,4,2,2
s112,6,4,3,5,2,7
s064,5,1,6,2,7,3
s147,5,5,3,3,2,5
s263,5,3,5,3,5,5
s302,3,5,2,4,1,6
s128,5,3,4,3,2,4
s122,6,5,4,3,2,4
s298,4,4,3,5,1,5
s143,6,5,5,5,3,6
s209,1,5,3,6,4,NA
s101,2,5,3,7,3,7
s262,4,4,4,1,4,6
s040,3,3,4,4,3,4
s194,3,5,1,5,1,5
s014,5,2,6,3,4,5
s028,4,5,6,4,4,5
s121,5,2,5,3,4,6
s024,2,3,3,4,3,5
s066,2,4,3,6,2,5
s211,6,5,3,5,4,5
s154,4,5,2,4,4,6
s116,6,5,5,4,5,4
s139,6,1,6,2,3,3
s237,7,2,4,5,3,5
s076,5,3,5,2,4,4
s063,7,2,5,1,5,3
s296,3,4,4,6,4,6
s213,4,4,5,2,3,3
s011,4,4,4,4,4,5
s305,3,5,5,4,4,4
s301,4,4,4,4,4,2
s134,3,7,2,6,1,6
s026,4,4,5,4,4,3
s130,4,4,2,4,2,6
s224,5,4,7,3,3,6
s156,5,3,4,7,3,3
s163,5,3,7,4,5,3
s205,4,4,5,5,4,4
s214,4,4,7,4,5,4
s164,4,3,6,4,4,3
s240,4,4,4,3,3,6
s125,4,5,5,4,6,3
s124,3,5,3,5,2,5
s196,1,6,1,6,2,5
s056,NA,4,5,5,3,4
s034,3,3,4,6,4,6
s184,4,1,6,1,4,3
s110,4,5,5,NA,2,2
s100,1,6,3,5,3,3
s258,2,6,4,4,4,6
s197,4,4,6,3,4,3
s052,7,4,5,3,4,3
s234,4,5,4,4,3,4
s186,6,3,4,4,4,3
s288,3,3,3,5,3,5
s250,7,1,7,3,6,2
s025,4,4,5,3,2,3
s248,5,4,4,3,4,3
s118,5,3,6,4,5,3
s087,5,3,7,3,3,4
s278,5,2,6,4,4,2
s244,4,4,4,3,4,5
s220,2,3,3,4,4,4
s075,2,5,4,5,1,6
s294,5,3,6,5,4,5
s280,1,4,5,4,3,3
s189,4,4,4,4,2,5
s136,5,4,6,4,6,6
s225,3,4,6,4,3,4
s304,4,2,4,5,1,4
s202,2,5,3,4,3,7
s307,6,2,5,3,4,4
s221,3,5,5,3,4,6
s007,6,4,7,3,5,3
s072,6,4,2,3,4,4
s249,5,1,7,3,5,3
s267,2,5,4,6,2,6
s084,5,6,4,3,5,6
s150,6,6,1,4,3,4
s090,1,5,4,4,2,6
s212,5,4,5,3,2,4
s269,5,5,3,5,2,4
s204,4,4,5,3,1,5
s148,3,4,6,4,4,6
s208,5,4,7,4,3,6
s161,2,7,4,4,1,5
s275,5,3,5,3,4,4
s206,3,4,6,5,3,4
s227,4,5,4,5,4,4
s070,5,3,5,2,3,5
s290,3,5,5,6,1,4
s095,4,4,6,5,4,4
s111,2,4,4,5,6,6
s043,6,3,7,4,5,4
s083,6,1,7,4,4,4
s142,2,5,5,5,1,6
s207,5,5,5,1,3,4
s175,1,6,4,5,NA,4
s283,6,4,3,6,6,4
s048,2,7,4,5,2,6
s027,4,4,5,5,5,4
s098,6,4,5,3,3,4
s253,7,4,5,1,2,3
s042,5,4,4,5,3,6
s015,1,5,4,4,2,5
s183,5,3,5,4,4,4
s286,5,6,2,3,1,3
s051,2,4,6,5,3,4
s223,7,3,5,4,6,2
s170,5,4,5,2,4,3
s022,4,2,3,3,2,5
s254,5,4,6,6,4,6
s086,5,1,6,4,3,4
s079,3,6,4,3,4,5
s243,4,3,1,5,3,6
s299,5,4,6,4,6,3
s153,6,5,4,3,4,5
s260,3,7,4,3,1,6
s085,4,2,3,5,4,4
s109,6,2,4,2,4,6
s041,6,4,4,4,4,4
s102,7,3,7,4,4,5
s036,5,4,5,5,4,5
s228,4,3,3,4,4,4
s232,4,3,3,5,4,5
s284,3,5,6,3,3,6
s266,4,5,6,3,3,5
s059,6,4,1,5,5,6
s047,6,3,6,3,7,4
s251,3,3,6,4,5,3
s035,6,4,5,4,5,4
s191,6,4,3,2,4,4
s155,1,4,2,5,2,7
s182,4,3,5,7,2,5
s089,5,2,7,5,3,5
s173,5,4,4,4,2,4
s273,5,3,5,4,4,3
s003,4,3,5,2,6,3
s272,3,5,5,4,2,4
s229,3,6,3,5,2,4
s277,5,4,5,2,2,4
s151,4,3,3,4,3,4
s012,5,4,7,6,3,4
s067,7,2,6,2,5,1
s071,1,4,3,4,2,6
s218,3,4,5,4,5,2
s140,4,3,5,3,3,2
s038,4,1,6,3,4,3
s131,4,5,5,2,4,5
s054,4,1,4,3,5,5
s008,4,1,6,5,3,2
s193,5,3,6,2,4,4
s257,5,4,5,4,4,2
s167,5,1,6,2,4,3
s199,5,2,6,5,4,4
s078,4,5,4,2,4,4
s094,5,5,4,4,4,3
s044,5,3,6,3,2,5
s013,3,3,7,5,2,6
s198,5,6,2,4,3,5
s235,1,5,3,4,4,4
s033,6,2,6,3,4,2
s242,2,7,4,7,4,6
s069,4,5,6,4,4,3
s306,3,6,3,4,2,4
s068,1,4,3,5,4,6
s103,5,4,6,3,2,6
s106,4,6,2,5,4,7
s126,5,4,7,3,4,4
s006,5,7,5,4,2,1
s133,6,4,7,4,7,3
s172,6,5,5,2,4,6
s105,4,4,4,4,3,6
s181,4,4,6,5,4,4
s093,4,2,6,4,3,5
s082,5,2,6,2,5,3
s217,5,5,4,5,4,4
s146,4,5,5,6,4,5
s108,5,4,5,5,4,4
s279,4,3,7,3,3,3
s009,1,5,3,3,2,5
s037,3,4,5,4,5,4
s073,6,2,7,2,6,4
s219,4,2,6,2,4,4
s004,4,2,6,1,3,3
s135,4,1,5,4,4,6
s119,4,4,3,4,2,6
s117,5,4,4,5,3,5
s231,4,2,5,4,2,4
s303,3,4,4,3,2,3
s201,3,5,1,4,2,5
s300,4,4,7,1,5,3
s144,3,7,3,5,4,5
s127,4,4,2,3,2,5
s019,5,3,5,3,4,2
s107,4,2,5,4,4,4
s058,3,6,2,4,2,6
s091,4,3,5,3,5,5
s291,4,3,5,2,6,3
s113,2,5,3,7,4,5
s261,6,3,6,4,2,4
s159,2,7,4,4,2,6
s137,3,5,4,5,4,7
s297,2,5,6,4,2,4
s268,4,4,6,5,2,3
s074,4,7,6,5,4,5
s255,5,4,4,3,5,5
s162,4,4,4,7,3,3
s247,3,6,2,6,2,6
s096,3,4,5,3,5,2
s132,7,3,4,2,4,2
s017,2,3,3,5,4,4
s029,5,3,6,4,4,5
s160,2,5,5,4,5,6
s057,4,1,3,4,4,3
s215,5,2,7,2,3,5
s256,6,2,4,2,4,5
s166,4,2,3,5,5,3
s005,4,2,5,4,6,3
s295,2,3,4,4,5,4
