subj_id,F q1,R q2,F q3,R q4,F q5
s129,2,NA,3,6,3
s250,4,4,4,3,6
s230,6,2,5,4,5
s363,4,5,2,7,3
s123,6,4,4,5,4
s134,5,4,4,3,6
s252,6,3,4,2,2
s096,3,3,6,4,4
s087,7,5,4,4,7
s215,6,4,2,4,6
s158,2,2,6,3,5
s239,5,4,4,3,5
s199,6,2,5,3,7
s128,3,4,3,2,4
s147,NA,4,5,4,7
s085,2,6,2,4,2
s185,4,5,3,7,4
s164,2,6,4,5,1
s338,6,4,5,4,4
s011,4,4,4,4,3
s133,4,5,5,4,6
s222,4,6,4,5,7
s225,2,3,4,4,6
s116,5,5,4,4,2
s190,3,6,4,4,2
s318,3,6,2,3,5
s175,5,2,7,3,6
s050,2,3,4,6,5
s368,5,5,4,4,5
s263,5,5,4,3,5
s052,4,4,2,6,4
s152,7,3,5,1,7
s211,4,4,5,3,7
s255,1,4,1,7,4
s113,4,7,2,5,4
s161,4,4,5,3,4
s069,7,1,3,2,5
s295,4,4,2,4,3
s282,6,3,3,5,7
s204,1,4,4,4,3
s127,3,6,3,7,7
s362,5,5,1,4,5
s307,4,4,1,3,4
s261,4,5,3,5,4
s214,4,4,6,4,4
s219,3,2,1,4,3
s121,5,3,3,4,4
s082,5,3,3,4,5
s285,3,5,4,4,4
s292,6,4,4,3,6
s372,5,2,5,1,6
s274,4,7,4,5,5
s357,3,5,4,1,7
s317,3,4,5,2,5
s186,3,4,1,7,4
s289,4,4,5,5,6
s018,5,4,3,5,2
s268,1,6,3,3,5
s017,4,4,4,5,2
s079,3,4,5,4,5
s300,2,7,2,6,1
s103,6,5,4,4,4
s293,5,3,5,4,7
s029,5,2,3,3,5
s313,4,4,5,3,4
s351,2,4,4,3,4
s216,5,5,2,4,5
s308,4,1,6,2,6
s068,4,4,3,4,4
s319,3,3,4,4,5
s181,5,6,5,2,4
s153,3,5,5,3,4
s196,4,4,5,3,4
s067,3,5,2,5,3
s046,4,5,4,6,5
s203,4,6,3,4,4
s226,4,4,6,4,5
s358,2,4,6,NA,6
s081,4,5,4,3,5
s013,4,4,5,2,4
s138,4,5,4,4,6
s145,3,4,3,4,4
s136,5,3,3,4,5
s311,2,6,5,6,4
s328,3,5,1,5,2
s270,3,3,3,4,7
s254,5,5,2,5,2
s373,4,6,6,4,6
s303,2,3,2,5,2
s286,5,2,5,3,6
s302,4,5,3,4,4
s039,3,4,4,5,4
s058,5,2,3,5,5
s033,4,5,2,4,4
s299,1,4,5,4,2
s110,6,2,6,2,6
s197,5,3,4,3,4
s124,4,4,6,3,5
s329,5,3,4,4,4
s323,3,6,4,7,4
s051,1,5,1,5,4
s111,1,5,5,5,4
s312,7,3,6,2,6
s027,2,6,3,5,2
s249,4,4,4,3,5
s272,1,6,3,5,4
s095,4,3,2,6,5
s108,4,4,5,6,4
s228,3,7,2,5,3
s315,5,4,6,5,4
s083,5,2,5,4,6
