subj_id,Fq01,Rq02,Fq03,Rq04,Fq05,Rq06,Fq07,Rq08,Fq09,Rq10,Fq11
s159,7,3,4,3,5,3,4,3,4,4,5
s382,4,7,3,4,1,6,2,5,2,4,1
s371,3,3,4,5,4,1,5,4,7,4,6
s140,1,5,1,4,1,6,2,5,1,5,1
s065,5,4,6,4,2,2,4,3,5,5,1
s310,4,4,5,6,4,4,5,4,4,4,4
s029,6,1,7,4,5,1,4,4,5,2,7
s229,5,4,4,4,1,4,5,4,2,5,4
s118,1,6,4,7,3,5,5,3,1,2,3
s004,4,5,5,4,3,4,4,4,3,4,4
s133,5,3,4,4,2,4,4,4,6,4,3
s304,4,2,4,5,2,3,7,5,4,4,5
s079,6,5,4,4,2,5,4,4,2,4,4
s281,4,4,5,5,5,3,2,4,3,4,4
s067,2,6,4,5,5,4,5,5,5,3,4
s215,4,3,3,3,4,2,7,2,7,5,5
s295,5,3,NA,1,4,1,4,1,4,1,5
s023,1,7,3,4,4,3,2,5,2,4,1
s011,4,4,4,6,4,2,5,5,3,2,3
s137,1,5,4,3,5,2,4,5,5,3,3
s091,6,5,3,2,4,3,4,5,4,6,4
s117,3,6,3,5,4,4,3,6,3,5,3
s153,5,7,4,3,5,4,2,2,5,4,4
s303,6,4,5,3,4,1,5,4,2,4,3
s164,5,4,5,3,6,4,4,3,2,5,4
s107,2,4,4,4,4,3,3,3,3,3,3
s315,5,4,5,3,6,3,7,1,5,1,6
s242,4,2,4,4,4,4,5,4,5,5,5
s291,4,3,3,4,3,1,5,4,4,2,4
s054,3,5,2,5,3,6,3,6,2,5,4
s143,5,2,4,4,4,5,4,4,3,3,6
s150,4,5,4,5,1,5,3,5,5,4,1
s214,6,NA,3,4,2,4,5,3,4,2,5
s171,5,3,4,4,2,4,4,5,4,5,4
s330,5,3,5,2,4,4,7,2,5,5,3
s213,6,2,6,2,6,2,5,4,6,3,5
s083,4,4,4,3,5,2,7,4,2,4,4
s108,3,4,4,5,2,5,3,1,4,3,3
s120,3,6,4,3,6,3,3,5,2,4,3
s278,6,4,6,2,5,2,6,4,5,2,6
s387,2,4,6,3,5,1,5,3,5,2,5
s287,3,3,5,4,4,2,4,5,4,5,4
s058,4,3,3,5,3,4,4,4,2,6,4
s144,2,5,5,4,4,4,3,2,3,4,4
s127,3,5,5,1,5,2,5,3,3,5,3
s259,5,3,6,1,6,2,5,4,6,2,5
s044,7,1,6,1,4,3,7,3,5,3,5
s238,4,1,7,2,5,3,6,3,3,1,4
s025,4,NA,3,2,4,3,6,5,3,5,4
s328,2,6,4,4,4,4,3,5,3,5,2
s252,3,1,3,3,3,2,5,2,7,3,4
s088,2,5,5,6,4,NA,5,2,4,3,3
s112,4,3,3,7,4,5,2,5,5,5,4
s196,2,6,4,5,4,3,1,2,3,5,4
s141,4,2,6,4,5,3,5,2,6,2,7
s221,3,4,5,5,4,3,3,5,3,6,4
s390,2,3,5,3,4,2,5,3,4,3,5
s271,6,1,NA,3,6,1,7,3,5,1,4
s026,4,5,4,5,2,6,3,4,3,6,3
s050,4,5,6,5,4,3,5,4,6,2,6
s236,3,5,5,5,3,3,3,4,4,6,2
s125,5,6,4,3,4,3,4,5,6,2,4
s277,3,6,6,1,5,2,6,4,4,2,7
s057,1,6,4,6,3,4,4,4,3,6,1
s021,4,4,7,3,3,2,5,3,7,3,4
s106,4,5,4,6,3,4,4,6,NA,6,4
s228,4,4,5,4,3,3,4,4,4,5,6
s220,6,3,7,3,6,1,6,3,4,2,6
s051,4,5,7,5,3,4,7,7,2,5,3
s268,5,3,4,3,5,2,6,5,5,3,6
s267,7,5,5,3,6,3,5,4,5,4,5
s280,6,3,6,5,5,2,1,4,3,2,3
s363,2,7,1,3,5,3,2,5,5,5,4
s186,3,6,3,5,2,3,5,5,3,5,3
s132,2,5,2,5,3,7,2,6,4,5,3
s323,3,7,5,3,4,2,5,6,4,3,5
s272,2,5,2,4,4,3,4,7,4,7,2
s216,5,5,4,4,5,5,4,5,4,4,3
s317,4,7,2,6,3,2,3,5,5,3,3
s093,1,7,2,6,1,4,2,7,3,NA,2
s018,3,2,5,1,5,3,5,5,5,5,3
s099,6,2,6,1,7,3,5,3,4,5,2
s183,1,7,2,5,1,5,5,NA,3,3,3
s378,4,7,4,3,3,4,4,6,1,6,4
s043,2,7,5,2,6,5,5,4,3,5,NA
s008,4,7,2,7,4,2,1,4,4,2,4
s327,4,4,5,5,4,1,4,2,2,5,3
s370,2,3,3,2,4,3,6,3,4,3,5
s350,5,3,5,5,2,4,6,7,5,2,3
s096,5,4,5,1,3,3,4,3,4,1,6
s103,6,3,7,4,5,2,5,3,5,2,6
s366,4,5,2,4,3,2,3,5,4,5,4
s016,3,3,5,5,4,1,6,1,3,1,4
s249,3,5,2,3,1,4,3,7,2,5,3
s066,5,6,6,5,4,4,5,4,4,3,4
s322,2,5,2,5,3,4,3,7,3,7,4
s361,2,5,5,5,6,4,4,5,5,3,4
s075,4,4,1,3,7,2,4,4,4,3,3
s053,3,5,4,4,3,3,5,3,3,4,6
s017,5,2,4,4,2,3,5,3,2,2,4
s049,2,3,4,3,3,6,4,5,3,6,2
s166,2,2,4,4,3,3,2,5,4,4,7
s369,2,6,5,4,2,5,4,4,2,6,3
s302,1,5,4,7,4,7,2,6,1,6,1
s089,4,7,5,2,5,2,7,3,3,3,5
s195,4,7,3,6,2,4,3,6,3,4,1
s251,5,2,4,3,5,1,3,4,5,4,6
s364,5,4,5,4,4,2,4,4,5,5,3
s009,3,6,2,5,2,NA,1,6,2,4,4
s319,4,3,5,5,5,2,6,3,6,4,4
s284,2,5,2,4,2,5,4,5,4,5,2
s110,4,5,4,6,4,5,5,7,4,7,3
s116,3,3,3,4,4,2,6,3,3,5,3
s282,5,6,3,3,5,7,5,4,5,1,3
s055,NA,5,4,3,4,4,3,4,5,3,3
s257,6,3,6,4,4,2,5,2,5,4,4
s013,3,4,2,2,3,4,5,5,3,7,1
s042,3,4,4,4,3,3,4,5,4,4,3
s139,3,4,5,2,6,3,7,2,5,3,3
s321,5,6,4,3,5,2,4,3,6,4,4
s365,1,5,3,7,2,4,3,4,3,5,4
s237,1,5,4,6,3,3,5,7,3,4,4
s379,6,2,6,1,6,3,5,1,6,2,7
s173,5,5,2,4,4,3,3,7,3,2,4
s349,4,4,5,5,5,3,5,7,4,3,5
s136,7,1,6,3,4,1,6,3,6,4,7
s056,3,4,4,4,4,4,2,5,4,7,2
s375,4,3,5,3,5,1,7,4,5,1,5
s156,7,3,6,3,4,1,5,3,5,3,7
s245,3,6,4,7,4,4,5,7,5,5,4
s326,5,5,4,4,4,5,4,5,1,6,3
s217,5,4,6,3,5,4,5,5,3,3,6
s308,3,4,5,3,3,5,7,5,4,5,4
s059,3,6,4,4,1,4,4,4,7,4,4
s147,5,1,6,5,2,2,5,5,4,5,4
s142,2,2,6,3,7,1,4,2,5,2,4
s100,3,2,5,4,3,4,4,5,4,4,4
s101,4,4,4,6,2,4,3,7,3,7,4
s122,7,1,7,1,7,1,5,2,5,2,3
s161,3,6,3,5,3,5,2,3,3,6,4
s085,5,4,4,4,4,3,5,4,4,5,2
s073,4,4,7,3,5,4,3,4,7,3,3
s377,5,3,6,5,6,5,4,4,4,3,5
s290,4,4,2,4,3,3,6,4,2,5,3
s012,5,4,6,5,4,3,3,4,3,4,3
s266,4,3,2,4,2,6,3,6,2,3,2
s002,5,4,5,3,2,2,3,6,4,5,4
s076,4,5,4,4,4,3,1,5,3,2,6
s033,4,7,4,6,1,4,4,4,3,6,3
s293,5,4,5,5,5,4,7,6,5,3,2
s250,3,7,3,4,1,7,3,4,2,5,4
s357,4,2,5,2,4,4,3,5,5,5,3
s192,5,2,7,4,5,2,4,2,6,3,6
s325,5,4,6,5,2,2,6,1,5,5,5
s077,4,4,5,1,5,5,7,4,5,4,3
s218,4,1,3,2,3,4,5,3,7,4,3
s104,3,4,4,3,1,6,3,4,2,4,2
s274,6,6,3,4,3,3,3,5,5,2,4
s148,4,3,2,5,2,3,3,5,3,3,2
s241,5,3,6,5,7,4,2,4,6,5,4
s352,1,7,5,5,4,4,3,5,1,5,1
s316,5,5,3,5,3,5,6,4,5,4,4
s337,4,3,3,5,3,4,4,5,4,4,4
s081,2,4,1,6,2,4,6,4,4,4,3
s297,5,7,2,7,2,7,3,6,2,6,1
s222,4,4,6,4,3,2,3,4,4,5,4
s115,5,4,6,3,4,2,6,3,5,3,5
s179,3,4,4,5,2,4,1,4,5,6,7
s037,3,6,4,5,4,6,4,7,3,4,1
s202,4,6,3,6,4,5,5,6,3,6,3
s014,2,7,4,4,3,6,2,5,3,4,3
s177,2,5,3,4,4,3,3,7,2,5,4
s006,5,6,5,3,3,2,4,4,4,6,4
s022,5,4,3,4,4,3,4,5,5,2,4
s048,1,7,4,4,3,5,2,6,4,7,1
s225,2,6,4,6,5,5,4,4,6,7,5
s169,2,7,2,5,2,3,4,6,1,3,2
s345,4,4,4,4,3,6,5,4,4,1,3
s270,2,6,5,1,4,1,5,5,4,4,4
s172,6,4,4,4,5,4,5,6,3,3,5
s198,2,6,3,4,3,6,2,7,4,6,3
s128,5,4,4,4,4,4,4,5,3,5,4
s174,2,4,4,4,1,3,3,3,4,5,3
s355,2,5,5,5,5,4,2,3,3,3,3
s184,5,4,5,3,4,3,6,3,4,5,5
s178,5,4,3,4,5,6,5,2,4,4,6
s314,4,4,5,3,4,4,5,4,5,4,6
s030,1,4,3,4,2,4,2,3,1,3,4
s358,3,5,4,2,2,4,5,7,4,4,4
s336,5,4,4,4,5,3,NA,4,4,6,2
s312,4,4,6,2,4,1,3,4,3,3,4
s176,5,4,5,4,6,2,5,4,3,4,5
s296,7,2,2,4,5,2,3,3,5,1,6
s163,5,4,6,5,7,4,4,4,6,2,2
s098,2,6,3,5,2,7,2,7,2,4,4
s197,7,3,6,5,4,1,5,2,3,2,6
s078,2,6,4,6,3,3,2,5,1,5,4
s180,3,5,3,4,4,3,2,2,4,5,2
s234,5,4,4,7,5,3,4,6,4,4,2
s265,6,4,6,3,4,2,5,4,4,3,5
s247,5,5,3,4,5,2,2,4,4,3,3
s167,7,2,5,1,NA,2,7,2,5,1,7
s152,4,4,7,3,3,5,5,6,3,2,4
s094,4,3,4,3,3,2,4,3,1,5,3
s185,4,7,5,5,3,3,7,4,3,4,3
s135,5,6,3,3,4,4,3,2,6,NA,4
s263,4,4,4,6,3,4,1,4,4,5,3
s158,5,4,3,3,4,3,3,3,4,1,5
s393,4,4,7,5,4,4,5,4,5,4,4
s200,4,2,4,4,4,5,1,4,4,6,3
s283,3,3,6,2,4,1,5,5,4,2,5
s353,3,6,3,4,2,3,3,6,4,1,4
s041,4,2,6,3,4,2,7,3,5,5,4
s040,1,4,3,3,5,4,5,5,4,5,2
s344,3,3,4,5,4,4,7,6,4,4,4
s374,1,7,4,5,2,4,5,5,1,7,2
s333,4,5,4,3,4,4,6,2,4,3,5
s347,4,2,7,6,6,4,5,4,3,4,2
s346,6,4,5,4,3,NA,4,4,4,3,4
s341,4,3,4,5,4,3,4,4,4,5,3
s246,4,3,4,5,5,2,4,5,4,3,6
s130,4,6,5,3,3,3,5,4,2,3,3
s300,4,6,2,3,5,4,5,4,2,3,4
s389,1,3,6,3,3,5,2,4,2,6,1
s373,2,5,4,5,3,3,5,6,4,4,4
s386,6,2,6,3,6,2,7,3,5,4,7
s384,3,3,4,5,3,2,4,4,4,1,6
s243,3,7,4,4,2,5,4,3,4,2,6
s224,4,4,5,6,5,4,4,3,4,5,4
s254,4,6,4,4,4,5,2,7,4,5,6
s070,3,5,5,5,2,2,4,5,5,4,5
s047,4,2,6,3,4,3,4,5,7,4,4
s311,4,3,6,4,1,1,4,5,2,5,5
s360,4,4,3,7,3,5,3,4,4,5,4
s138,2,4,4,3,5,2,6,4,5,2,5
s286,1,5,5,5,4,6,2,5,3,6,3
s320,2,4,4,6,3,5,4,7,6,4,3
s309,2,5,4,6,2,5,3,6,2,4,4
s123,2,6,4,5,1,4,2,5,3,2,4
s306,4,3,5,3,6,4,7,4,5,5,4
s170,2,3,4,3,6,3,5,2,6,4,4
s204,2,3,5,6,5,5,2,3,3,5,3
s090,2,6,4,4,3,4,3,5,4,4,3
s007,4,5,4,3,3,4,3,5,4,3,1
s260,3,5,4,5,3,5,4,5,6,3,3
s264,3,5,4,4,6,6,4,5,4,4,1
s275,3,3,4,4,4,4,5,4,3,7,4
s226,4,4,5,2,6,2,2,2,5,1,4
s165,2,3,5,6,4,2,4,4,5,4,4
s046,2,4,4,2,5,3,4,4,2,4,4
s276,2,5,2,6,4,3,4,5,3,4,3
s039,4,3,3,4,5,1,5,4,5,4,4
s181,3,NA,7,4,4,3,4,4,7,1,4
s262,2,6,6,6,4,5,5,3,2,5,3
s385,4,4,5,3,4,3,4,5,3,4,5
s212,1,5,3,5,2,1,1,5,2,6,1
s111,5,3,4,4,4,3,7,3,5,5,6
s233,3,4,3,4,4,3,3,5,5,7,2
s207,2,4,4,2,2,1,2,4,4,5,4
s010,4,4,3,3,4,3,4,6,5,4,4
s194,1,4,5,7,4,6,3,7,2,5,3
s256,5,3,6,1,5,1,6,4,5,1,7
s035,3,4,6,4,7,1,6,5,3,4,4
s038,2,3,7,5,4,3,3,4,6,6,4
s188,3,3,4,5,3,3,3,5,4,4,4
s124,4,3,4,6,4,4,5,5,7,6,3
s292,5,5,4,7,4,4,4,6,5,5,6
s072,3,4,6,5,5,4,4,4,5,2,5
s395,5,3,5,3,7,1,5,2,5,1,5
s219,4,3,5,3,5,1,3,3,3,3,4
s313,3,4,4,4,3,5,1,6,4,6,2
s396,3,3,4,4,4,5,4,4,5,5,4
s359,3,5,4,4,4,5,4,5,3,5,5
s255,4,2,2,5,4,5,4,6,3,4,4
s062,2,5,4,6,4,5,4,6,3,7,2
s109,2,5,3,2,4,7,4,4,3,3,3
s258,1,7,2,6,1,6,2,6,2,5,2
s131,3,3,6,3,5,3,4,4,4,1,5
s338,6,3,5,3,5,2,1,2,4,5,4
s203,3,5,3,3,4,6,5,3,4,5,4
s318,3,4,5,4,3,4,3,4,4,NA,4
s391,5,5,4,3,3,3,3,5,5,5,3
s329,4,5,4,3,4,4,3,3,3,4,3
s175,6,4,6,1,5,2,5,1,4,4,5
s092,5,4,6,5,4,4,4,5,4,5,5
s157,5,5,3,4,4,2,3,3,5,3,5
s289,5,3,6,1,4,1,4,3,5,3,5
s113,1,4,4,5,2,4,3,7,2,7,3
s294,3,5,3,4,1,7,2,5,2,3,1
s095,6,4,6,2,5,3,2,3,3,3,5
s339,4,7,6,4,5,3,4,5,3,5,6
s145,4,4,6,6,3,6,3,5,4,4,3
s307,5,5,6,3,4,4,4,1,3,5,7
s003,7,2,6,1,7,1,7,3,6,1,5
s210,5,5,3,6,3,5,3,4,2,4,4
s160,5,4,4,4,3,3,4,4,6,5,3
s211,6,3,4,6,4,4,5,4,3,4,3
s082,3,7,3,7,1,7,4,4,4,4,3
s119,2,6,5,3,2,4,3,4,5,3,4
s305,4,2,6,4,4,2,4,4,3,4,5
s084,5,3,4,5,2,5,7,6,4,3,4
s244,4,3,5,2,5,2,4,3,6,3,6
s206,5,5,4,4,5,2,6,3,6,2,5
s231,5,3,4,2,5,2,5,4,3,4,4
s162,2,6,5,5,4,3,4,4,3,4,3
s068,6,5,4,4,4,5,5,4,3,6,4
s015,3,4,4,5,5,3,4,2,4,5,7
s205,3,4,5,5,3,3,3,6,5,5,5
s187,4,6,4,3,3,3,3,7,4,4,4
s235,1,6,4,5,3,4,3,6,5,6,4
s376,3,3,5,6,2,4,3,4,4,4,4
s335,4,5,2,3,6,1,4,4,4,2,5
s080,2,2,4,4,5,4,4,3,3,2,7
s279,5,5,4,6,6,4,5,2,4,5,6
s223,4,5,4,4,3,2,2,7,4,4,5
s097,3,4,6,4,4,4,3,4,5,5,2
s168,4,5,4,4,2,4,2,4,1,6,2
s189,5,3,5,4,4,5,5,4,5,3,5
s298,5,2,6,2,5,1,4,3,3,3,5
s343,4,1,6,4,6,1,5,1,4,5,3
s146,4,2,4,3,3,2,5,5,4,3,5
s380,5,5,5,2,3,2,6,3,3,4,3
s001,3,5,3,4,4,5,3,4,6,5,3
s102,4,5,4,5,3,3,4,2,5,2,5
s199,NA,7,2,4,1,4,4,4,1,7,2
s356,4,4,5,2,5,3,7,4,5,4,6
s334,3,5,4,4,4,4,4,4,4,6,4
s129,4,3,5,3,7,1,4,3,5,2,5
s331,4,3,7,3,5,3,4,4,5,3,6
s230,1,6,4,4,4,3,3,7,5,2,5
s301,3,4,4,4,3,4,1,5,3,4,4
s045,7,4,5,3,5,4,4,2,4,5,4
s064,1,5,4,6,2,6,3,6,3,5,2
s182,4,5,6,4,4,5,5,4,4,3,5
s149,3,4,4,3,5,4,3,6,3,7,2
s388,2,4,3,6,2,3,1,6,2,5,3
s028,4,3,6,2,3,2,5,2,5,5,7
s063,6,3,6,3,4,1,6,1,7,1,4
s324,2,7,3,3,3,1,4,5,3,4,5
s087,5,4,4,4,3,2,4,4,4,2,6
s027,6,3,4,3,4,3,4,4,3,4,4
s299,6,5,5,3,4,3,3,3,5,5,5
s060,4,3,5,1,4,3,4,2,5,2,5
s034,3,NA,4,4,7,3,4,3,4,7,3
s239,4,5,7,5,3,6,3,4,4,6,3
s354,4,2,5,3,4,4,4,4,4,4,4
s024,1,5,3,6,3,4,2,5,1,7,2
s191,4,5,3,4,5,3,2,3,5,5,7
s261,3,3,7,3,5,2,4,3,5,3,4
s340,3,7,1,6,3,4,4,5,2,6,2
s154,3,3,4,4,4,1,4,5,4,2,3
s394,1,3,3,5,3,3,2,5,2,6,3
s071,2,4,4,6,3,4,4,3,3,5,3
s074,3,5,2,6,3,4,6,5,4,4,4
s273,4,4,2,4,2,2,1,6,4,3,2
s285,6,4,5,3,5,1,7,1,7,4,4
s288,3,5,3,4,2,5,2,6,4,4,4
s036,3,6,5,4,3,5,3,6,3,4,3
s020,4,4,3,3,3,4,1,5,5,2,4
s227,4,4,6,5,4,4,7,3,4,3,4
s348,2,3,4,3,6,2,5,4,3,1,4
s208,6,4,5,6,4,4,5,3,3,5,6
s061,3,4,4,4,4,2,3,3,2,4,4
s367,4,4,4,5,2,5,4,6,4,3,3
s190,2,3,7,4,4,3,5,3,4,1,5
s114,3,5,4,4,4,4,6,6,2,4,4
s032,2,3,4,6,3,1,3,6,4,2,5
s351,2,4,4,6,3,6,3,5,5,6,2
s372,3,5,5,4,2,5,2,7,3,5,4
s031,7,3,5,2,6,1,6,1,4,2,4
s332,5,4,7,5,4,2,5,3,6,1,4
s069,2,7,3,4,4,5,2,4,5,6,3
s052,4,2,6,4,5,4,4,5,7,2,6
s253,4,6,5,4,4,2,5,4,4,3,3
s121,4,4,3,5,5,3,5,2,5,3,2
s201,4,5,4,5,3,4,3,3,2,5,4
