subj_id,gender,age,language
s002,male,21,monolingual
s006,female,19,monolingual
s010,female,21,monolingual
s014,male,19,bilingual
s018,nonbinary,23,monolingual
s022,female,26,monolingual
s026,nonbinary,21,monolingual
s030,NA,23,monolingual
s034,female,19,monolingual
s038,female,21,monolingual
s042,male,19,bilingual
s046,male,23,monolingual
s050,male,26,monolingual
s054,male,21,monolingual
s058,male,20,bilingual
s062,male,18,monolingual
s066,nonbinary,20,bilingual
s070,male,20,monolingual
s074,male,22,monolingual
s078,male,20,monolingual
s082,male,22,monolingual
s086,female,20,monolingual
s090,female,missing,monolingual
s094,female,25,monolingual
s098,female,21,monolingual
s102,female,23,bilingual
s106,male,19,monolingual
s110,male,19,monolingual
s114,male,19,monolingual
s118,male,22,monolingual
s122,female,20,bilingual
s126,male,22,monolingual
s130,male,24,bilingual
s134,female,20,monolingual
s138,female,21,bilingual
s142,nonbinary,20,monolingual
s146,male,21,bilingual
s150,male,21,monolingual
s154,male,22,monolingual
s158,female,missing,bilingual
s162,male,23,monolingual
s166,male,20,monolingual
s170,male,21,bilingual
s174,female,21,monolingual
s178,NA,19,monolingual
s182,NA,20,bilingual
s186,male,21,monolingual
s190,female,19,monolingual
s194,NA,21,bilingual
s198,male,20,monolingual
s202,male,22,monolingual
s206,male,21,bilingual
s210,nonbinary,21,monolingual
s214,male,missing,monolingual
s218,nonbinary,20,monolingual
s222,male,19,monolingual
s226,female,19,monolingual
s230,female,24,monolingual
s234,male,20,monolingual
s238,nonbinary,21,monolingual
s242,female,23,monolingual
s246,female,20,monolingual
s250,male,19,monolingual
s254,female,22,bilingual
s258,male,22,bilingual
s262,female,18,monolingual
s266,male,19,monolingual
s270,male,21,bilingual
s274,female,18,monolingual
s278,female,24,bilingual
s282,female,20,monolingual
s286,male,20,bilingual
s290,male,22,bilingual
s294,female,21,monolingual
s298,female,21,monolingual
s302,female,20,monolingual
s306,nonbinary,23,monolingual
s310,male,23,monolingual
s314,male,20,bilingual
s318,male,21,monolingual
s322,female,21,monolingual
s326,male,20,bilingual
s330,male,missing,monolingual
s334,male,21,monolingual
s338,female,23,monolingual
s342,nonbinary,19,bilingual
s346,female,19,monolingual
s350,male,22,bilingual
s354,male,23,monolingual
s358,female,18,monolingual
s362,male,24,monolingual
s366,male,23,bilingual
s370,male,20,bilingual
s374,male,20,monolingual
s378,male,21,monolingual
s382,NA,21,monolingual
s386,male,23,monolingual
s390,female,22,bilingual
s394,female,21,monolingual
