subj_id,F_q01,R_q02,F_q03,R_q04,F_q05,R_q06,F_q07,R_q08,F_q09,R_q10,F_q11,R_q12,F_q13,R_q14
s162,NA,6,4,3,4,2,4,2,6,4,3,5,1,6
s005,4,5,5,2,2,3,4,3,4,5,3,4,4,4
s155,4,4,4,3,2,3,4,2,7,2,3,4,5,4
s370,4,5,2,2,2,2,4,4,6,1,5,6,5,4
s185,3,2,3,2,4,4,4,5,5,5,4,7,4,6
s148,4,5,4,2,3,5,4,3,3,2,4,4,3,4
s151,3,3,4,4,5,3,4,4,7,1,4,4,4,2
s297,6,3,6,5,6,4,5,4,3,5,4,5,3,4
s089,5,3,3,5,2,3,5,4,4,3,1,7,4,5
s212,4,4,5,4,1,4,4,3,4,4,4,7,2,6
s341,5,6,3,4,4,5,2,3,7,3,4,6,5,5
s207,4,6,5,4,3,3,3,4,5,3,3,7,2,3
s013,4,4,1,3,1,4,4,4,7,3,3,5,4,6
s256,5,5,2,4,4,3,4,5,4,3,4,5,4,4
s276,4,4,6,4,6,2,7,1,7,3,4,5,4,2
s085,3,5,3,5,3,3,5,2,5,3,3,4,5,5
s145,7,NA,4,3,5,2,6,2,5,3,7,3,5,4
s309,5,3,5,3,5,4,4,5,4,4,4,5,4,4
s220,5,2,5,2,6,1,6,2,7,4,5,4,6,4
s192,4,5,3,5,5,4,4,3,3,3,2,4,5,5
s246,5,4,2,5,4,4,3,4,4,4,2,6,1,4
s137,5,4,3,4,4,2,5,4,2,3,1,3,3,4
s366,5,3,5,4,3,2,6,4,4,2,2,4,4,4
s157,3,4,1,6,2,4,4,4,3,6,2,6,3,4
s078,3,7,4,4,5,4,2,3,3,3,2,6,3,4
s150,3,4,6,3,4,3,4,3,4,2,2,4,4,5
s032,3,5,2,4,4,5,3,3,4,5,3,7,3,7
s374,7,2,7,1,3,2,7,1,7,3,5,4,6,3
s195,4,5,5,5,4,3,4,4,3,4,3,5,5,6
s142,4,4,4,2,4,1,6,NA,6,4,3,6,4,3
s363,5,6,3,5,4,3,4,4,4,4,2,5,3,3
s022,6,1,6,1,7,1,5,3,7,2,7,1,7,2
s222,6,3,5,2,NA,2,7,3,7,2,4,5,2,4
