subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R,q13_F,q14_R
s226,7,5,6,1,5,3,4,3,5,3,2,2,6,2
s320,6,4,6,2,4,4,2,4,6,4,1,2,3,4
s003,5,4,3,6,3,6,2,4,4,5,5,4,4,6
s130,4,3,2,5,4,4,7,4,5,4,1,4,5,6
s139,4,3,4,4,3,2,5,4,3,5,4,5,4,4
s044,5,5,6,4,5,3,5,5,NA,6,2,6,4,4
s264,6,4,4,1,3,5,5,2,6,4,5,2,6,2
s234,5,5,5,3,5,3,6,2,6,3,4,5,4,5
s229,4,5,4,3,4,4,5,2,6,5,4,4,4,4
s151,5,3,2,3,4,3,3,5,5,4,4,3,3,6
s336,5,4,6,4,4,3,4,3,7,4,4,2,4,5
s267,6,3,2,3,3,4,3,5,3,4,3,4,4,6
s354,6,4,4,2,6,3,4,2,5,2,6,3,7,6
s021,7,4,6,4,6,3,3,4,4,4,6,3,4,5
s321,2,3,4,4,4,5,4,5,4,5,2,5,2,7
s084,3,4,3,5,3,5,3,3,5,1,2,3,3,4
s128,5,5,5,3,5,3,4,4,4,2,4,3,3,7
s047,4,2,4,2,5,3,4,3,5,4,4,4,5,4
s135,6,1,7,2,6,1,6,2,7,1,6,3,6,3
s065,5,3,6,4,5,4,2,3,4,3,7,3,4,2
s045,5,3,6,4,4,1,3,3,5,3,3,4,5,4
s030,4,5,4,5,6,6,4,4,3,4,4,4,1,5
s201,5,5,3,4,3,2,5,2,4,4,2,4,3,5
s033,7,3,4,3,6,3,4,4,7,5,6,4,4,3
s243,5,6,3,4,4,4,6,5,3,4,4,4,3,5
s013,5,4,5,2,7,1,3,2,6,2,5,1,4,3
s198,6,3,4,4,3,3,4,3,3,4,3,4,4,6
s232,6,4,5,4,3,4,4,3,6,4,3,6,6,3
s181,3,6,4,4,2,2,3,NA,3,4,1,3,2,5
s338,4,3,5,4,4,5,NA,1,4,4,5,5,5,4
s010,3,4,4,4,6,1,3,5,3,5,3,7,5,7
s270,7,4,4,1,7,3,6,3,4,5,4,2,4,5
s255,4,5,7,6,4,4,2,6,4,4,3,7,2,6
s268,3,5,4,4,3,4,4,5,4,4,4,2,2,5
s331,3,6,2,7,3,5,2,7,4,5,1,7,1,7
s286,5,1,3,5,5,3,6,2,6,4,5,3,4,3
s212,2,6,3,5,2,5,3,3,4,7,1,3,1,7
s195,7,5,4,4,6,3,4,4,5,3,4,4,2,4
s248,3,5,5,5,3,2,2,5,3,5,5,4,2,2
s110,2,7,3,6,3,5,2,5,1,7,1,5,4,4
s174,7,3,6,5,7,2,3,3,6,2,4,3,3,1
s209,4,4,5,5,4,3,5,4,3,2,2,4,5,5
s049,6,4,6,2,4,5,6,3,5,4,6,4,5,3
s332,5,5,4,5,6,3,3,4,4,6,2,6,3,6
s253,7,3,7,2,7,4,7,1,7,4,4,3,4,3
s220,4,2,2,5,4,5,5,5,6,3,5,4,3,3
s190,4,2,6,3,4,2,5,5,6,2,2,3,5,6
s036,4,5,6,3,5,2,6,5,7,4,6,2,4,4
s318,5,6,3,5,4,3,3,6,3,4,3,5,1,4
s161,6,5,4,2,3,3,5,5,2,5,4,4,3,7
s023,6,5,3,4,4,2,4,6,5,2,3,3,4,4
s304,4,4,3,4,6,2,5,4,4,4,4,6,2,4
s154,6,3,3,2,3,2,3,4,6,3,4,3,7,4
s126,5,4,4,4,3,5,3,4,NA,7,4,2,4,5
s164,7,7,3,5,4,4,3,5,2,3,3,6,3,6
s099,5,3,4,6,5,5,6,4,1,6,2,3,3,4
s152,2,7,3,7,5,4,1,4,2,7,1,5,3,6
s202,3,5,5,5,5,2,3,4,5,4,3,4,7,4
s204,5,3,2,5,2,6,2,4,3,5,3,5,1,5
s326,5,4,3,2,1,1,2,3,3,2,6,3,4,3
s159,4,4,5,3,5,3,5,4,5,4,7,2,4,2
s350,7,5,2,2,4,4,5,4,5,5,4,4,7,4
s348,5,5,2,4,1,3,4,5,3,4,3,6,2,5
s333,5,4,5,6,5,4,4,2,5,4,4,4,3,6
s005,5,3,3,5,6,3,4,4,4,4,5,3,3,4
s070,5,4,5,5,5,3,7,4,4,4,4,3,5,5
s173,3,7,1,6,3,5,1,6,2,5,1,5,1,6
s012,7,4,6,1,5,3,6,3,7,3,6,1,6,3
s199,5,7,4,4,4,5,4,5,4,2,1,4,3,4
s015,5,4,5,1,5,2,3,1,3,3,7,2,7,4
s302,3,7,1,6,2,5,2,5,3,7,1,6,1,7
s116,4,5,5,3,7,4,6,3,5,3,5,3,4,4
s075,4,4,3,3,3,3,4,3,4,4,3,4,2,3
s177,6,4,5,5,4,NA,3,4,5,1,6,3,2,5
s279,5,3,5,1,6,3,6,3,5,6,6,6,5,4
s262,3,7,1,7,1,6,3,7,1,5,1,7,1,7
s178,5,4,4,4,4,6,4,5,4,6,3,2,5,4
s230,5,5,3,3,4,1,3,6,4,6,4,6,5,4
s347,5,5,4,3,3,2,1,3,5,5,5,6,4,3
s137,5,4,3,4,3,3,3,5,3,4,4,4,6,7
s210,4,4,4,6,3,7,3,5,2,4,3,6,2,7
s222,5,3,4,4,3,3,4,3,3,4,4,2,4,5
s356,2,4,3,3,4,5,2,4,3,7,1,3,3,3
s298,6,5,3,6,3,5,3,3,5,4,3,5,3,7
s186,5,1,4,1,5,3,5,3,4,5,6,3,7,1
s215,6,6,3,4,3,7,4,6,1,7,1,6,3,7
s088,4,4,4,4,5,4,4,2,4,5,5,4,3,5
s083,4,5,4,4,2,3,4,5,2,7,4,4,3,4
s022,5,2,7,3,4,1,6,3,4,2,6,2,5,4
s068,4,7,1,7,5,5,2,4,3,7,2,4,4,3
s197,4,1,3,3,5,2,5,3,4,1,4,1,7,3
s108,7,3,5,3,5,1,4,4,6,2,5,3,7,4
s031,6,3,4,2,5,3,4,3,6,4,4,3,6,5
s203,4,4,4,4,3,3,4,5,4,7,2,5,2,7
s017,5,3,3,2,3,2,3,2,6,2,4,1,6,3
s188,5,3,7,4,4,1,5,2,7,2,4,4,7,3
s219,4,3,4,3,4,4,4,2,3,4,4,3,5,4
s040,6,6,3,5,4,6,4,5,3,5,3,4,5,6
s168,7,2,3,4,2,5,4,3,4,4,5,2,7,7
s296,5,4,4,4,7,4,3,2,4,4,3,4,4,3
s217,5,4,5,4,5,5,4,4,5,4,2,4,4,7
s323,4,5,5,5,5,4,4,5,3,5,3,2,3,5
s144,3,4,5,3,4,3,4,4,4,3,4,3,4,4
s236,3,4,4,3,5,4,5,3,3,4,5,2,3,4
s172,6,1,5,3,7,3,5,3,7,1,5,NA,4,4
s170,5,5,3,5,2,4,4,5,3,2,4,2,2,3
s057,4,6,4,3,4,3,3,6,5,4,4,2,2,3
