subj_id,gender,age,language
s001,female,19,monolingual
s005,male,20,bilingual
s009,male,20,bilingual
s013,male,21,monolingual
s017,female,19,monolingual
s021,male,missing,monolingual
s025,female,22,monolingual
s029,female,23,monolingual
s033,female,19,monolingual
s037,female,23,bilingual
s041,male,20,bilingual
s045,NA,26,monolingual
s049,male,25,monolingual
s053,female,21,monolingual
s057,male,21,monolingual
s061,nonbinary,21,monolingual
s065,male,21,monolingual
s069,nonbinary,20,monolingual
s073,male,22,monolingual
s077,male,22,monolingual
s081,male,20,bilingual
s085,male,21,monolingual
s089,male,22,bilingual
s093,male,21,monolingual
s097,male,19,monolingual
s101,nonbinary,missing,monolingual
s105,male,20,monolingual
s109,male,21,bilingual
s113,nonbinary,21,bilingual
s117,female,21,monolingual
s121,NA,20,bilingual
s125,male,20,monolingual
s129,female,20,monolingual
s133,male,22,bilingual
s137,male,19,monolingual
s141,nonbinary,23,monolingual
s145,NA,21,bilingual
s149,female,19,bilingual
s153,male,21,monolingual
s157,male,missing,monolingual
s161,female,19,monolingual
s165,male,20,monolingual
s169,female,19,monolingual
s173,female,22,monolingual
s177,male,20,monolingual
s181,male,23,bilingual
s185,male,missing,monolingual
s189,female,22,bilingual
s193,male,20,monolingual
s197,male,24,bilingual
s201,male,24,monolingual
s205,male,19,monolingual
s209,male,21,monolingual
s213,male,23,monolingual
s217,nonbinary,19,monolingual
s221,female,20,bilingual
s225,NA,20,monolingual
s229,male,19,monolingual
s233,male,missing,bilingual
s237,female,21,bilingual
s241,NA,19,monolingual
s245,male,20,bilingual
s249,female,missing,bilingual
s253,male,23,monolingual
s257,male,19,bilingual
s261,male,21,monolingual
s265,male,23,bilingual
s269,male,21,monolingual
s273,male,23,monolingual
s277,male,23,bilingual
s281,nonbinary,20,monolingual
s285,male,21,monolingual
s289,NA,22,monolingual
s293,nonbinary,22,monolingual
s297,female,19,monolingual
s301,male,19,monolingual
s305,female,20,bilingual
s309,male,missing,monolingual
s313,male,21,bilingual
s317,nonbinary,20,bilingual
s321,male,18,bilingual
s325,male,22,monolingual
s329,male,22,monolingual
s333,female,20,monolingual
s337,male,23,monolingual
s341,NA,20,monolingual
s345,male,23,bilingual
s349,male,23,bilingual
s353,male,20,monolingual
s357,male,22,monolingual
s361,male,18,bilingual
s365,female,23,bilingual
s369,male,20,monolingual
s373,male,19,monolingual
s377,male,20,monolingual
s381,female,19,monolingual
s385,female,22,monolingual
s389,male,21,bilingual
