subj_id,gender,age,language
s003,male,23,bilingual
s007,nonbinary,24,monolingual
s011,male,22,monolingual
s015,female,22,monolingual
s019,nonbinary,25,bilingual
s023,male,21,monolingual
s027,female,23,monolingual
s031,female,18,monolingual
s035,female,21,monolingual
s039,female,23,monolingual
s043,nonbinary,21,monolingual
s047,female,22,monolingual
s051,male,20,monolingual
s055,female,20,monolingual
s059,nonbinary,22,bilingual
s063,female,24,monolingual
s067,male,21,monolingual
s071,male,26,monolingual
s075,female,20,monolingual
s079,NA,23,monolingual
s083,nonbinary,23,monolingual
s087,female,22,monolingual
s091,female,18,monolingual
s095,male,19,monolingual
s099,male,21,bilingual
s103,male,20,monolingual
s107,female,20,bilingual
s111,nonbinary,22,bilingual
s115,male,24,bilingual
s119,female,20,monolingual
s123,male,19,monolingual
s127,male,19,monolingual
s131,female,22,bilingual
s135,male,19,bilingual
s139,male,19,monolingual
s143,male,21,monolingual
s147,male,20,bilingual
s151,male,missing,monolingual
s155,male,25,monolingual
s159,nonbinary,19,monolingual
s163,female,19,bilingual
s167,female,21,bilingual
s171,male,20,bilingual
s175,male,19,monolingual
s179,female,24,monolingual
s183,male,20,monolingual
s187,nonbinary,23,monolingual
s191,male,20,monolingual
s195,female,21,monolingual
s199,male,20,monolingual
s203,female,22,monolingual
s207,female,21,monolingual
s211,male,21,monolingual
s215,male,missing,bilingual
s219,nonbinary,22,monolingual
s223,nonbinary,20,monolingual
s227,female,22,monolingual
s231,male,22,bilingual
s235,male,22,bilingual
s239,male,23,monolingual
s243,male,22,monolingual
s247,male,20,bilingual
s251,male,20,monolingual
s255,female,22,monolingual
s259,female,19,monolingual
s263,male,22,monolingual
s267,male,22,bilingual
s271,female,21,bilingual
s275,male,20,bilingual
s279,female,20,monolingual
s283,female,23,monolingual
s287,female,23,monolingual
s291,male,22,monolingual
s295,female,24,bilingual
s299,male,missing,monolingual
s303,male,19,monolingual
s307,male,22,bilingual
s311,male,22,monolingual
s315,male,19,monolingual
s319,male,21,bilingual
s323,male,21,bilingual
s327,male,19,monolingual
s331,female,19,monolingual
s335,male,22,monolingual
s339,male,22,bilingual
s343,male,19,monolingual
s347,male,20,monolingual
s351,female,18,monolingual
s355,female,22,monolingual
s359,male,21,monolingual
s363,male,21,monolingual
s367,female,20,monolingual
s371,male,19,bilingual
s375,nonbinary,23,bilingual
s379,female,21,bilingual
s383,male,20,monolingual
s387,nonbinary,23,monolingual
